workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,latency_median,latency_average,latency_75,latency_95,throughput_ops_per_sec
ycsb_a,4,engine,1,lmdb,1,0,10000000,sync_on,2667991.5,10254983.675137363,19864966.25,40620062.0,201.33211783409473
ycsb_a,4,hard,32,lmdb,3,10000,10000000,sync_on,2555184.0,2201513.087231353,3222322.0,5599592.400000002,327.23317658045323
ycsb_a,4,hard,32,lmdb,1,10000,10000000,sync_on,2751130.0,6043771.85675529,6554431.0,26304656.299999997,252.0432176723069
ycsb_a,4,hard,32,lmdb,3,0,10000000,sync_on,2560788.0,1994428.125932063,3180434.25,5032612.65,333.92185968216245
ycsb_a,4,hard,32,lmdb,1,0,10000000,sync_on,3039225.0,8746798.608082104,17879641.5,29206547.299999986,214.35189530584572
ycsb_a,4,lock_stripping,32,lmdb,3,0,10000000,sync_on,2551755.0,2446510.189027004,3199029.0,6268885.800000001,321.96541543573346
ycsb_a,4,lock_stripping,32,lmdb,1,0,10000000,sync_on,2820937.0,7883577.345533499,15825178.0,29021019.149999984,221.17477099208577
ycsb_a,8,engine,1,lmdb,1,0,10000000,sync_on,2777555.5,27083202.7342615,63578120.5,89722472.55,219.79245432252142
ycsb_a,8,hard,32,lmdb,3,10000,10000000,sync_on,2601716.0,3445680.3702437915,3640924.0,16530024.39999999,589.3208975825199
ycsb_a,8,hard,32,lmdb,3,0,10000000,sync_on,2626582.0,3769218.405418029,3919343.5,18852392.24999999,572.7541089522167
ycsb_a,8,hard,32,lmdb,1,0,10000000,sync_on,3902677.0,9880424.21056084,18392236.0,36223753.8,404.20322287727674
ycsb_a,8,hard,32,lmdb,1,10000,10000000,sync_on,4463480.0,9540522.074699577,17975590.0,33490893.19999999,408.71470791412173
ycsb_a,8,lock_stripping,32,lmdb,1,0,10000000,sync_on,3673199.0,11158923.006507592,23168081.75,37168361.5,367.1779614307308
ycsb_a,8,lock_stripping,32,lmdb,3,0,10000000,sync_on,2554520.0,3090388.354407836,3426869.5,14437882.149999997,603.8224923285185
ycsb_a,12,engine,1,lmdb,1,0,10000000,sync_on,14015.5,35590818.26010363,78205183.25,137312312.75,261.3964383672884
ycsb_a,12,hard,32,lmdb,3,0,10000000,sync_on,3078461.5,7403777.442412451,7455582.5,34218155.800000004,695.3133494615354
ycsb_a,12,hard,32,lmdb,3,10000,10000000,sync_on,2882815.0,5483988.464734637,5651825.75,25706429.199999988,778.401825723446
ycsb_a,12,hard,32,lmdb,1,0,10000000,sync_on,8004445.0,14575534.272931276,25953927.0,45727292.79999997,481.00944722338716
ycsb_a,12,hard,32,lmdb,1,10000,10000000,sync_on,8263396.0,15171060.779151447,26558536.0,48116282.699999996,479.9339433109256
ycsb_a,12,lock_stripping,32,lmdb,1,0,10000000,sync_on,6825651.0,12410542.587863464,23854678.5,36893605.699999996,531.0524313720997
ycsb_a,12,lock_stripping,32,lmdb,3,0,10000000,sync_on,2638512.0,4718666.696449408,4465741.0,27143307.499999985,814.7799742300319
ycsb_a,16,engine,1,lmdb,1,0,10000000,sync_on,8307.5,58477197.6875,147202252.0,190483877.19999996,227.75681057064003
ycsb_a,16,hard,32,lmdb,3,10000,10000000,sync_on,4437519.5,9252209.704595186,13642508.75,35199466.99999999,836.2638410450658
ycsb_a,16,hard,32,lmdb,1,0,10000000,sync_on,10052055.5,18264657.55373832,31586483.5,57475761.69999999,567.2256313294799
ycsb_a,16,hard,32,lmdb,3,0,10000000,sync_on,3402180.0,7277336.039954174,7937871.0,31003852.699999955,922.6548802808641
ycsb_a,16,hard,32,lmdb,1,10000,10000000,sync_on,10301264.5,19085232.060738582,32049692.0,62667727.0,548.983486798146
ycsb_a,16,lock_stripping,32,lmdb,1,0,10000000,sync_on,7065502.0,14189736.112964066,20328811.0,53680787.199999996,661.4972524023694
ycsb_a,16,lock_stripping,32,lmdb,3,0,10000000,sync_on,2796306.0,6812005.458619742,5322138.25,32450200.69999995,961.6770194987782
