workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,latency_median,latency_average,latency_75,latency_95,throughput_ops_per_sec
ycsb_d,4,engine,1,leveldb,1,0,20000,sync_off,4659.0,10487.345584827332,5587.0,12816.0,93603.90899635688
ycsb_d,4,hard,32,leveldb,3,0,20000,sync_off,5187.0,8152.092763234648,8853.0,21179.0,140500.12359400978
ycsb_d,4,hard,32,leveldb,1,10000,20000,sync_off,5331.0,8478.999523247649,9658.0,22167.0,139450.20147439855
ycsb_d,4,hard,32,leveldb,1,0,20000,sync_off,5150.0,8592.475008564252,8804.0,21279.0,140025.18862823807
ycsb_d,4,hard,32,leveldb,3,10000,20000,sync_off,5258.0,8271.7849577284,9517.0,22154.0,140763.38643498757
ycsb_d,4,lock_stripping,32,leveldb,1,0,20000,sync_off,2840.0,4191.950377527749,3910.0,8259.0,163712.61349429973
ycsb_d,4,lock_stripping,32,leveldb,3,0,20000,sync_off,2736.0,3692.2382681555364,3555.0,7544.0,167818.05468431424
ycsb_d,8,engine,1,leveldb,1,0,20000,sync_off,5289.0,26619.32332771534,6721.0,14389.0,123865.13125613448
ycsb_d,8,hard,32,leveldb,3,0,20000,sync_off,6272.0,11001.849649445288,14211.0,26966.0,251008.03491687286
ycsb_d,8,hard,32,leveldb,1,0,20000,sync_off,6229.0,11370.301986965855,14429.0,27575.0,243198.8476364531
ycsb_d,8,hard,32,leveldb,1,10000,20000,sync_off,7428.0,12599.426358986573,16151.0,31034.949999999953,219347.5565749292
ycsb_d,8,hard,32,leveldb,3,10000,20000,sync_off,6763.0,11182.258900850342,14911.0,28432.0,249852.3807454485
ycsb_d,8,lock_stripping,32,leveldb,3,0,20000,sync_off,2926.0,4029.2673711160264,3785.0,7786.0,315602.3524773583
ycsb_d,8,lock_stripping,32,leveldb,1,0,20000,sync_off,2972.0,4728.558579041071,4075.0,8237.0,302837.6466870111
ycsb_d,12,engine,1,leveldb,1,0,20000,sync_off,10941.0,93132.82694025591,13831.0,21572.0,99137.68503601819
ycsb_d,12,hard,32,leveldb,1,0,20000,sync_off,8894.0,21309.503310941738,20210.0,49034.0,238737.50959232877
ycsb_d,12,hard,32,leveldb,1,10000,20000,sync_off,12208.0,24623.039183305227,25567.0,62435.89999999991,206478.45246406953
ycsb_d,12,hard,32,leveldb,3,0,20000,sync_off,7822.0,15303.609692136806,18883.0,42331.69999999995,271478.6000099757
ycsb_d,12,hard,32,leveldb,3,10000,20000,sync_off,9943.0,19497.445362130286,22063.0,53738.0,230691.79618721324
ycsb_d,12,lock_stripping,32,leveldb,1,0,20000,sync_off,6398.0,9918.421929967299,8650.0,19173.0,161373.8560814426
ycsb_d,12,lock_stripping,32,leveldb,3,0,20000,sync_off,6331.0,8628.384539223587,8172.0,18529.0,163595.79731918062
ycsb_d,16,engine,1,leveldb,1,0,20000,sync_off,10674.0,83692.67715474714,13785.0,22158.0,99556.01609432514
ycsb_d,16,hard,32,leveldb,1,10000,20000,sync_off,11504.0,31115.466103187067,24761.5,60210.89999999991,207815.4576433183
ycsb_d,16,hard,32,leveldb,3,0,20000,sync_off,12391.0,22340.247115298873,23290.0,56881.0,224106.64167992468
ycsb_d,16,hard,32,leveldb,1,0,20000,sync_off,13327.0,27031.712179212616,26580.0,63304.0,188645.79543351178
ycsb_d,16,hard,32,leveldb,3,10000,20000,sync_off,10603.0,20655.84658901389,22595.0,52159.799999999814,251171.29722953803
ycsb_d,16,lock_stripping,32,leveldb,3,0,20000,sync_off,6434.0,8964.92651186422,8359.0,18909.0,161266.91087182847
ycsb_d,16,lock_stripping,32,leveldb,1,0,20000,sync_off,6444.0,9738.010746473412,8622.0,19190.0,160181.43809666098
