workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,latency_median,latency_average,latency_75,latency_95,throughput_ops_per_sec
ycsb_d,4,engine,1,leveldb,1,0,200000,sync_on,7914.0,1990372.2734917244,13313.25,39059.74999999986,2004.653505224926
ycsb_d,4,hard,32,leveldb,1,0,200000,sync_on,8412.0,1205904.48604534,31538.0,6444625.799999993,2650.869508752638
ycsb_d,4,hard,32,leveldb,1,10000,200000,sync_on,8369.0,1483892.5709865016,31215.0,6094593.899999981,2508.401361038359
ycsb_d,4,hard,32,leveldb,3,0,200000,sync_on,8787.0,440807.6732166593,30166.0,3122218.699999997,6054.516866302367
ycsb_d,4,hard,32,leveldb,3,10000,200000,sync_on,8884.0,687328.7961422197,31541.0,3371397.799999989,4652.072070999256
ycsb_d,4,lock_stripping,32,leveldb,3,0,200000,sync_on,5723.0,422021.80149221915,20211.5,3015090.649999996,6311.529031114499
ycsb_d,4,lock_stripping,32,leveldb,1,0,200000,sync_on,5251.0,1267456.201653976,20405.0,7480783.5,2647.462691807382
ycsb_d,8,engine,1,leveldb,1,0,200000,sync_on,9672.0,1584243.7711178483,13925.0,61706.00000000277,4729.437051619733
ycsb_d,8,hard,32,leveldb,1,0,200000,sync_on,8810.0,2009797.9811877124,40827.0,7955647.0,3559.7088521386368
ycsb_d,8,hard,32,leveldb,1,10000,200000,sync_on,9180.5,1590237.9060150376,42736.5,7037145.25,4095.100508395118
ycsb_d,8,hard,32,leveldb,3,0,200000,sync_on,9459.0,1116231.2876819978,39332.5,5509562.5,6083.167259521566
ycsb_d,8,hard,32,leveldb,3,10000,200000,sync_on,9876.0,802827.0798144594,41845.25,4986069.599999979,8280.760595999574
ycsb_d,8,lock_stripping,32,leveldb,1,0,200000,sync_on,5636.0,1939536.4763710918,21789.0,7398821.4,3874.7837246166832
ycsb_d,8,lock_stripping,32,leveldb,3,0,200000,sync_on,6268.0,790646.4841804416,21473.0,4154427.0,7933.791643754143
ycsb_d,12,engine,1,leveldb,1,0,200000,sync_on,9880.0,1186615.3215548845,14091.0,65835.0,8227.96993310651
ycsb_d,12,hard,32,leveldb,1,0,200000,sync_on,9468.0,2531312.6720791226,47000.5,9739220.25,4334.206934294879
ycsb_d,12,hard,32,leveldb,3,10000,200000,sync_on,10314.0,1413259.647864772,47988.0,7204810.199999998,7357.325445393118
ycsb_d,12,hard,32,leveldb,3,0,200000,sync_on,10106.0,1546272.7506828157,46131.0,6875038.599999999,7129.913450687925
ycsb_d,12,hard,32,leveldb,1,10000,200000,sync_on,9873.0,2497162.5920021534,48461.25,9542993.149999999,4491.187621445943
ycsb_d,12,lock_stripping,32,leveldb,1,0,200000,sync_on,5952.0,2118438.20872449,22869.75,7495477.05,5226.143979186864
ycsb_d,12,lock_stripping,32,leveldb,3,0,200000,sync_on,6568.0,1025154.6460026511,22788.0,5501163.799999999,9967.230026606456
ycsb_d,16,engine,1,leveldb,1,0,200000,sync_on,10441.5,1369996.5690750498,14419.0,3154061.899999915,10459.167033807615
ycsb_d,16,hard,32,leveldb,1,10000,200000,sync_on,10397.0,2861239.6184412437,51720.0,13927190.399999978,4965.397868154347
ycsb_d,16,hard,32,leveldb,3,0,200000,sync_on,10765.0,1489488.245905827,49670.25,8353757.25,9337.063894251845
ycsb_d,16,hard,32,leveldb,3,10000,200000,sync_on,10878.0,1617642.7934049196,51430.0,9592841.599999994,8722.48146576198
ycsb_d,16,hard,32,leveldb,1,0,200000,sync_on,9973.0,3992133.0647679125,51008.0,15225683.999999994,4207.4924943878605
ycsb_d,16,lock_stripping,32,leveldb,3,0,200000,sync_on,6960.0,1259787.4511859617,26541.75,6507303.899999986,10746.726739234678
ycsb_d,16,lock_stripping,32,leveldb,1,0,200000,sync_on,6208.0,2902258.2136235074,26830.25,11695706.799999997,5108.4326552451075
