workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,latency_median,latency_average,latency_75,latency_95,throughput_ops_per_sec
ycsb_d,4,engine,1,lmdb,1,0,20000,sync_off,1113.0,2093.356851104533,1452.0,11460.0,179678.52592488864
ycsb_d,4,hard,32,lmdb,3,10000,20000,sync_off,2144.0,4714.890618668668,2758.0,26608.649999999907,160616.51080212393
ycsb_d,4,hard,32,lmdb,3,0,20000,sync_off,2089.0,4478.562022937204,2693.0,25532.75,160625.09404154628
ycsb_d,4,hard,32,lmdb,1,10000,20000,sync_off,2117.0,4651.360227391173,2730.0,26195.949999999953,161214.59704986966
ycsb_d,4,hard,32,lmdb,1,0,20000,sync_off,2092.0,4948.083041741013,2704.0,25609.649999999907,161141.2970827091
ycsb_d,4,lock_stripping,32,lmdb,1,0,20000,sync_off,1221.0,2063.2642325732445,1508.0,12693.949999999953,179977.38483709373
ycsb_d,4,lock_stripping,32,lmdb,3,0,20000,sync_off,1181.0,2022.7308516372057,1470.0,12586.0,180235.50076806336
ycsb_d,8,engine,1,lmdb,1,0,20000,sync_off,1190.0,2422.232686553475,1538.0,11757.0,334933.88761076453
ycsb_d,8,hard,32,lmdb,3,0,20000,sync_off,2391.0,6555.478082108839,3303.0,29835.0,279653.1477022191
ycsb_d,8,hard,32,lmdb,1,10000,20000,sync_off,2442.0,7074.080989377795,3546.0,30935.0,273132.0316941653
ycsb_d,8,hard,32,lmdb,3,10000,20000,sync_off,2471.0,7102.361190462067,3635.0,31313.0,271872.57020541665
ycsb_d,8,hard,32,lmdb,1,0,20000,sync_off,2377.0,6503.215154438545,3290.0,29927.299999999814,279867.63093477266
ycsb_d,8,lock_stripping,32,lmdb,1,0,20000,sync_off,1286.0,2305.7936770417477,1572.0,14366.0,334566.5789300515
ycsb_d,8,lock_stripping,32,lmdb,3,0,20000,sync_off,1270.0,3772.57047517385,1560.0,14140.0,325910.6947567287
ycsb_d,12,engine,1,lmdb,1,0,20000,sync_off,2539.0,5962.1971277684515,3130.0,24905.0,174102.54276309157
ycsb_d,12,hard,32,lmdb,3,10000,20000,sync_off,5510.0,19190.179395799718,28389.0,72641.0,148761.8677099785
ycsb_d,12,hard,32,lmdb,1,0,20000,sync_off,5362.0,18239.07104602001,26625.0,70256.0,150991.54211017166
ycsb_d,12,hard,32,lmdb,1,10000,20000,sync_off,5480.0,18938.892423821966,27853.0,71753.19999999995,150269.95763703127
ycsb_d,12,hard,32,lmdb,3,0,20000,sync_off,5412.0,18633.05327940665,26390.0,70576.0,148286.095880373
ycsb_d,12,lock_stripping,32,lmdb,1,0,20000,sync_off,2663.0,5038.211747446872,3134.0,34318.0,174243.8366575937
ycsb_d,12,lock_stripping,32,lmdb,3,0,20000,sync_off,2726.0,5075.17376637953,3200.0,34109.44999999995,173826.3637856041
ycsb_d,16,engine,1,lmdb,1,0,20000,sync_off,2566.0,6062.648454500312,3154.0,20070.19999999972,171801.60583865904
ycsb_d,16,hard,32,lmdb,1,0,20000,sync_off,5402.0,19103.44651035406,28081.0,72838.0,148739.23130317478
ycsb_d,16,hard,32,lmdb,3,10000,20000,sync_off,5486.0,19513.668748630676,28609.0,72734.0,149445.94564225464
ycsb_d,16,hard,32,lmdb,3,0,20000,sync_off,5489.0,19159.822828909237,27571.0,72064.29999999981,148396.09970532428
ycsb_d,16,hard,32,lmdb,1,10000,20000,sync_off,5550.0,19606.546222672016,28835.0,72975.94999999995,148883.68320068432
ycsb_d,16,lock_stripping,32,lmdb,3,0,20000,sync_off,2713.0,5205.725473197737,3171.0,33925.0,172531.4150938719
ycsb_d,16,lock_stripping,32,lmdb,1,0,20000,sync_off,2706.0,5054.255714359543,3164.0,33990.0,172535.14746575902
