workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,latency_median,latency_average,latency_75,latency_95,throughput_ops_per_sec
ycsb_e,4,engine,1,lmdb,1,0,20000,sync_off,21185.0,22394.42669363423,32243.0,43527.0,94101.30135811286
ycsb_e,4,hard,32,lmdb,3,10000,20000,sync_off,73396.0,73267.78239399957,103933.0,130612.60000000003,42742.34236519056
ycsb_e,4,hard,32,lmdb,1,0,20000,sync_off,74875.0,73632.6798273268,103350.0,128210.0,42681.45231495947
ycsb_e,4,hard,32,lmdb,1,10000,20000,sync_off,73958.0,74048.58890622259,104747.25,131517.0,42532.47168852
ycsb_e,4,hard,32,lmdb,3,0,20000,sync_off,74745.0,73607.03711296391,103325.25,128096.0,42636.219239214006
ycsb_e,4,lock_stripping,32,lmdb,3,0,20000,sync_off,1958705.5,2494895.309243552,3102060.25,4118855.65,1565.419105330453
ycsb_e,4,lock_stripping,32,lmdb,1,0,20000,sync_off,1964694.0,2577070.5511348927,3120469.0,4143796.299999996,1568.5461367762373
ycsb_e,8,engine,1,lmdb,1,0,20000,sync_off,22132.0,23313.94378347818,33680.75,45226.0,184157.92794993447
ycsb_e,8,hard,32,lmdb,3,10000,20000,sync_off,80862.0,81420.55948063903,112662.0,146766.0,78824.57934535181
ycsb_e,8,hard,32,lmdb,3,0,20000,sync_off,81612.0,80644.82645920153,110832.0,139788.0,79361.8106322776
ycsb_e,8,hard,32,lmdb,1,0,20000,sync_off,81808.0,80717.2046672359,110921.0,139619.25,79362.56990479978
ycsb_e,8,hard,32,lmdb,1,10000,20000,sync_off,81082.0,81562.32082044918,112516.25,146765.0,78678.43552987117
ycsb_e,8,lock_stripping,32,lmdb,3,0,20000,sync_off,2245894.0,3962533.791959535,3501267.0,6183261.699999999,2030.1913144831638
ycsb_e,8,lock_stripping,32,lmdb,1,0,20000,sync_off,2205807.0,3880512.518356985,3452067.5,5887275.649999989,2050.237583285312
ycsb_e,12,engine,1,lmdb,1,0,20000,sync_off,22933.0,24178.47839404777,34937.0,46802.0,270847.0718963052
ycsb_e,12,hard,32,lmdb,1,0,20000,sync_off,88395.0,88154.78435466856,118662.5,162331.0,110816.0036707479
ycsb_e,12,hard,32,lmdb,3,10000,20000,sync_off,87344.0,93789.45701946355,120465.0,173429.0,105506.57136177
ycsb_e,12,hard,32,lmdb,3,0,20000,sync_off,87981.0,88145.68365603987,118186.0,161842.0,111130.7722968749
ycsb_e,12,hard,32,lmdb,1,10000,20000,sync_off,87802.0,89859.77370194957,120898.0,172821.3999999999,109107.8091785897
ycsb_e,12,lock_stripping,32,lmdb,1,0,20000,sync_off,2424509.0,5178473.479712788,3787836.25,7442784.599999979,2356.609513148159
ycsb_e,12,lock_stripping,32,lmdb,3,0,20000,sync_off,2371599.0,4969046.353326125,3740632.0,7168951.799999999,2361.237118755209
ycsb_e,16,engine,1,lmdb,1,0,20000,sync_off,23561.0,25055.350761004902,36083.0,48348.0,353284.26075987716
ycsb_e,16,hard,32,lmdb,1,0,20000,sync_off,95213.0,97928.52340241626,126843.25,182212.04999999993,135479.00542513822
ycsb_e,16,hard,32,lmdb,1,10000,20000,sync_off,94552.0,100861.87423311341,128872.0,191110.8999999999,132294.53664276312
ycsb_e,16,hard,32,lmdb,3,0,20000,sync_off,94876.0,97695.85244263774,126448.0,181706.0,135594.32144597458
ycsb_e,16,hard,32,lmdb,3,10000,20000,sync_off,94085.0,100239.4173609719,128200.0,189676.0,132726.6981866541
ycsb_e,16,lock_stripping,32,lmdb,1,0,20000,sync_off,2499197.0,5928204.467876039,3924427.0,7873101.999999989,2663.7870341426415
ycsb_e,16,lock_stripping,32,lmdb,3,0,20000,sync_off,2423306.0,6088609.01693111,3890242.0,8088417.300000002,2649.1074499264314
