workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,latency_median,latency_average,latency_75,latency_95,throughput_ops_per_sec
ycsb_e,4,engine,1,lmdb,1,0,200000,sync_on,47083.0,2253370.7773866397,68689.5,183284.5,1618.4026122019516
ycsb_e,4,hard,32,lmdb,3,10000,200000,sync_on,197103.0,1952193.743139161,2825576.0,8096532.2,1802.1517632373295
ycsb_e,4,hard,32,lmdb,3,0,200000,sync_on,181674.0,1216696.6260573696,253757.0,5132331.0,2833.152770056805
ycsb_e,4,hard,32,lmdb,1,10000,200000,sync_on,196007.0,3895582.240717564,3355148.0,23058062.5,976.4772813368111
ycsb_e,4,hard,32,lmdb,1,0,200000,sync_on,182135.0,2108259.1874614437,256577.75,14600180.049999997,1749.9991188323322
ycsb_e,4,lock_stripping,32,lmdb,1,0,200000,sync_on,2672051.5,3945752.54031355,4131898.75,10872302.849999974,968.6784240149263
ycsb_e,4,lock_stripping,32,lmdb,3,0,200000,sync_on,2507162.5,3274844.475821596,3804269.0,8430413.849999998,1155.1833635144267
ycsb_e,8,engine,1,lmdb,1,0,200000,sync_on,47065.0,3770437.578813828,68792.0,14976611.799999982,2093.734368691877
ycsb_e,8,hard,32,lmdb,3,0,200000,sync_on,214826.5,2052051.2143666868,3293355.0,8310689.249999994,3515.4091957954197
ycsb_e,8,hard,32,lmdb,1,10000,200000,sync_on,260765.0,7513566.862590486,9688287.25,34325749.0,1037.4240203732113
ycsb_e,8,hard,32,lmdb,3,10000,200000,sync_on,248494.5,3386107.3382300036,4581589.0,14690843.599999998,2216.6747227474157
ycsb_e,8,hard,32,lmdb,1,0,200000,sync_on,220185.0,5775402.432385205,9741386.0,24652805.0,1376.1153896749804
ycsb_e,8,lock_stripping,32,lmdb,1,0,200000,sync_on,3013244.0,6397824.942479376,5095698.0,27256932.00000001,1177.9297668529423
ycsb_e,8,lock_stripping,32,lmdb,3,0,200000,sync_on,2899948.0,5059049.072231874,4554209.0,12933822.39999999,1463.9662198981014
ycsb_e,12,engine,1,lmdb,1,0,200000,sync_on,46448.0,6237942.9774969835,68649.0,29814691.199999448,1897.6658283667923
ycsb_e,12,hard,32,lmdb,3,10000,200000,sync_on,3039713.0,4167392.269092324,5241608.25,15635402.149999993,2777.763752754342
ycsb_e,12,hard,32,lmdb,1,0,200000,sync_on,1524523.0,7293904.337346289,12692910.0,26820145.400000002,1574.487144835798
ycsb_e,12,hard,32,lmdb,3,0,200000,sync_on,290038.0,2652969.6555872113,4232661.25,8466841.35,4250.323127166155
ycsb_e,12,hard,32,lmdb,1,10000,200000,sync_on,4882586.5,10850412.655699609,17800187.0,38689340.0,1111.2557225641135
ycsb_e,12,lock_stripping,32,lmdb,3,0,200000,sync_on,3006442.5,6980502.196417636,4927517.25,26636843.49999997,1762.2956229636643
ycsb_e,12,lock_stripping,32,lmdb,1,0,200000,sync_on,3056579.0,7119898.8781665675,5046839.5,25060335.799999997,1597.6309884788618
ycsb_e,16,engine,1,lmdb,1,0,200000,sync_on,46766.0,5692167.148695788,69095.0,115205.80000000089,2569.3378939439153
ycsb_e,16,hard,32,lmdb,1,0,200000,sync_on,5541867.0,10240592.150131926,16978735.5,30361208.39999999,1532.0827259471334
ycsb_e,16,hard,32,lmdb,3,10000,200000,sync_on,3526981.0,6236531.601729973,7227389.0,23637400.599999953,2496.969209056076
ycsb_e,16,hard,32,lmdb,3,0,200000,sync_on,2986880.5,3566445.5482804235,4680631.25,12718184.249999994,4259.82334943806
ycsb_e,16,hard,32,lmdb,1,10000,200000,sync_on,8528824.0,12991790.558641627,19502764.0,38650352.99999999,1198.2475714789186
ycsb_e,16,lock_stripping,32,lmdb,3,0,200000,sync_on,2966521.0,7068996.008107599,4974936.5,21720254.0,2128.306619903885
ycsb_e,16,lock_stripping,32,lmdb,1,0,200000,sync_on,3185579.0,9067733.025484975,5319652.0,44947282.19999988,1775.4859779969306
