workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,makespan_s
ycsb_a,4,engine,1,leveldb,1,0,100000,sync_off,29.9712
ycsb_a,4,hard,32,leveldb,3,0,100000,sync_off,29.9826
ycsb_a,4,hard,32,leveldb,3,10000,100000,sync_off,29.9774
ycsb_a,4,hard,32,leveldb,1,10000,100000,sync_off,29.9832
ycsb_a,4,hard,32,leveldb,1,0,100000,sync_off,29.9578
ycsb_a,4,lock_stripping,32,leveldb,3,0,100000,sync_off,29.934800000000003
ycsb_a,4,lock_stripping,32,leveldb,1,0,100000,sync_off,30.151
ycsb_a,8,engine,1,leveldb,1,0,100000,sync_off,30.5588
ycsb_a,8,hard,32,leveldb,3,0,100000,sync_off,30.312599999999996
ycsb_a,8,hard,32,leveldb,1,0,100000,sync_off,30.9752
ycsb_a,8,hard,32,leveldb,3,10000,100000,sync_off,29.979200000000002
ycsb_a,8,hard,32,leveldb,1,10000,100000,sync_off,30.115
ycsb_a,8,lock_stripping,32,leveldb,1,0,100000,sync_off,30.137400000000003
ycsb_a,8,lock_stripping,32,leveldb,3,0,100000,sync_off,29.994400000000002
ycsb_a,12,engine,1,leveldb,1,0,100000,sync_off,31.2108
ycsb_a,12,hard,32,leveldb,1,0,100000,sync_off,31.526400000000002
ycsb_a,12,hard,32,leveldb,3,10000,100000,sync_off,29.9938
ycsb_a,12,hard,32,leveldb,1,10000,100000,sync_off,30.038400000000003
ycsb_a,12,hard,32,leveldb,3,0,100000,sync_off,29.9478
ycsb_a,12,lock_stripping,32,leveldb,3,0,100000,sync_off,29.9774
ycsb_a,12,lock_stripping,32,leveldb,1,0,100000,sync_off,31.916000000000004
ycsb_a,16,engine,1,leveldb,1,0,100000,sync_off,31.7746
ycsb_a,16,hard,32,leveldb,3,10000,100000,sync_off,29.969
ycsb_a,16,hard,32,leveldb,1,0,100000,sync_off,31.1946
ycsb_a,16,hard,32,leveldb,3,0,100000,sync_off,29.9646
ycsb_a,16,hard,32,leveldb,1,10000,100000,sync_off,30.593399999999995
ycsb_a,16,lock_stripping,32,leveldb,1,0,100000,sync_off,31.6582
ycsb_a,16,lock_stripping,32,leveldb,3,0,100000,sync_off,30.6346
