workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,makespan_s
ycsb_a,4,engine,1,leveldb,1,0,10000000,sync_on,30.064999999999998
ycsb_a,4,hard,32,leveldb,3,10000,10000000,sync_on,29.998199999999997
ycsb_a,4,hard,32,leveldb,1,10000,10000000,sync_on,30.0648
ycsb_a,4,hard,32,leveldb,3,0,10000000,sync_on,30.0024
ycsb_a,4,hard,32,leveldb,1,0,10000000,sync_on,30.0156
ycsb_a,4,lock_stripping,32,leveldb,1,0,10000000,sync_on,29.975
ycsb_a,4,lock_stripping,32,leveldb,3,0,10000000,sync_on,29.9846
ycsb_a,8,engine,1,leveldb,1,0,10000000,sync_on,30.137
ycsb_a,8,hard,32,leveldb,1,0,10000000,sync_on,30.012999999999998
ycsb_a,8,hard,32,leveldb,1,10000,10000000,sync_on,30.0214
ycsb_a,8,hard,32,leveldb,3,0,10000000,sync_on,30.0174
ycsb_a,8,hard,32,leveldb,3,10000,10000000,sync_on,30.0
ycsb_a,8,lock_stripping,32,leveldb,3,0,10000000,sync_on,30.0118
ycsb_a,8,lock_stripping,32,leveldb,1,0,10000000,sync_on,30.121199999999998
ycsb_a,12,engine,1,leveldb,1,0,10000000,sync_on,30.2298
ycsb_a,12,hard,32,leveldb,1,10000,10000000,sync_on,30.0406
ycsb_a,12,hard,32,leveldb,1,0,10000000,sync_on,30.089199999999998
ycsb_a,12,hard,32,leveldb,3,0,10000000,sync_on,29.9848
ycsb_a,12,hard,32,leveldb,3,10000,10000000,sync_on,30.0408
ycsb_a,12,lock_stripping,32,leveldb,1,0,10000000,sync_on,30.0514
ycsb_a,12,lock_stripping,32,leveldb,3,0,10000000,sync_on,30.1658
ycsb_a,16,engine,1,leveldb,1,0,10000000,sync_on,30.3812
ycsb_a,16,hard,32,leveldb,1,0,10000000,sync_on,30.0722
ycsb_a,16,hard,32,leveldb,1,10000,10000000,sync_on,30.006999999999998
ycsb_a,16,hard,32,leveldb,3,10000,10000000,sync_on,30.043400000000002
ycsb_a,16,hard,32,leveldb,3,0,10000000,sync_on,30.0678
ycsb_a,16,lock_stripping,32,leveldb,3,0,10000000,sync_on,30.0522
ycsb_a,16,lock_stripping,32,leveldb,1,0,10000000,sync_on,30.175400000000003
