workload,workers,storage_type,partitions,storage_engine,paths,interval,makespan_s
ycsb_a,1,engine,1,lmdb,1,0,57.274
ycsb_a,1,hard,1,lmdb,1,5000,72.918
ycsb_a,1,hard,1,lmdb,1,0,75.019
ycsb_a,1,hard,8,lmdb,1,0,73.984
ycsb_a,1,hard,8,lmdb,1,5000,70.827
ycsb_a,2,engine,1,lmdb,1,0,134.386
ycsb_a,2,hard,1,lmdb,1,0,262.713
ycsb_a,2,hard,1,lmdb,1,5000,243.814
ycsb_a,2,hard,8,lmdb,1,0,100.034
ycsb_a,2,hard,8,lmdb,1,5000,55.146
ycsb_a,4,engine,1,lmdb,1,0,194.998
ycsb_a,4,hard,1,lmdb,1,0,305.457
ycsb_a,4,hard,1,lmdb,1,5000,304.666
ycsb_a,4,hard,8,lmdb,1,5000,128.198
ycsb_a,4,hard,8,lmdb,1,0,163.683
