workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,makespan_s
ycsb_a,4,engine,1,lmdb,1,0,100000,sync_off,29.9788
ycsb_a,4,hard,32,lmdb,1,0,100000,sync_off,30.0036
ycsb_a,4,hard,32,lmdb,1,10000,100000,sync_off,30.0012
ycsb_a,4,hard,32,lmdb,3,0,100000,sync_off,29.934800000000003
ycsb_a,4,hard,32,lmdb,3,10000,100000,sync_off,29.937
ycsb_a,4,lock_stripping,32,lmdb,3,0,100000,sync_off,30.012999999999998
ycsb_a,4,lock_stripping,32,lmdb,1,0,100000,sync_off,29.9784
ycsb_a,8,engine,1,lmdb,1,0,100000,sync_off,29.9794
ycsb_a,8,hard,32,lmdb,3,0,100000,sync_off,29.940800000000003
ycsb_a,8,hard,32,lmdb,1,10000,100000,sync_off,30.006999999999998
ycsb_a,8,hard,32,lmdb,3,10000,100000,sync_off,29.9428
ycsb_a,8,hard,32,lmdb,1,0,100000,sync_off,30.0012
ycsb_a,8,lock_stripping,32,lmdb,1,0,100000,sync_off,29.980399999999996
ycsb_a,8,lock_stripping,32,lmdb,3,0,100000,sync_off,29.9788
ycsb_a,12,engine,1,lmdb,1,0,100000,sync_off,29.988800000000005
ycsb_a,12,hard,32,lmdb,1,0,100000,sync_off,30.0002
ycsb_a,12,hard,32,lmdb,3,0,100000,sync_off,29.9536
ycsb_a,12,hard,32,lmdb,1,10000,100000,sync_off,30.019799999999996
ycsb_a,12,hard,32,lmdb,3,10000,100000,sync_off,29.9592
ycsb_a,12,lock_stripping,32,lmdb,3,0,100000,sync_off,29.966199999999997
ycsb_a,12,lock_stripping,32,lmdb,1,0,100000,sync_off,29.9894
ycsb_a,16,engine,1,lmdb,1,0,100000,sync_off,29.994400000000002
ycsb_a,16,hard,32,lmdb,1,0,100000,sync_off,29.942200000000003
ycsb_a,16,hard,32,lmdb,1,10000,100000,sync_off,29.961399999999998
ycsb_a,16,hard,32,lmdb,3,10000,100000,sync_off,29.9668
ycsb_a,16,hard,32,lmdb,3,0,100000,sync_off,29.9678
ycsb_a,16,lock_stripping,32,lmdb,1,0,100000,sync_off,29.9704
ycsb_a,16,lock_stripping,32,lmdb,3,0,100000,sync_off,29.9754
