workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,makespan_s
ycsb_d,4,engine,1,leveldb,1,0,200000,sync_on,30.114800000000002
ycsb_d,4,hard,32,leveldb,1,10000,200000,sync_on,30.017000000000003
ycsb_d,4,hard,32,leveldb,3,0,200000,sync_on,30.031
ycsb_d,4,hard,32,leveldb,1,0,200000,sync_on,30.0242
ycsb_d,4,hard,32,leveldb,3,10000,200000,sync_on,30.065199999999997
ycsb_d,4,lock_stripping,32,leveldb,1,0,200000,sync_on,29.9858
ycsb_d,4,lock_stripping,32,leveldb,3,0,200000,sync_on,29.977800000000002
ycsb_d,8,engine,1,leveldb,1,0,200000,sync_on,30.2214
ycsb_d,8,hard,32,leveldb,3,10000,200000,sync_on,30.198
ycsb_d,8,hard,32,leveldb,1,0,200000,sync_on,30.008
ycsb_d,8,hard,32,leveldb,1,10000,200000,sync_on,30.037599999999998
ycsb_d,8,hard,32,leveldb,3,0,200000,sync_on,29.994
ycsb_d,8,lock_stripping,32,leveldb,3,0,200000,sync_on,30.109199999999998
ycsb_d,8,lock_stripping,32,leveldb,1,0,200000,sync_on,29.9586
ycsb_d,12,engine,1,leveldb,1,0,200000,sync_on,30.3762
ycsb_d,12,hard,32,leveldb,3,10000,200000,sync_on,30.0988
ycsb_d,12,hard,32,leveldb,1,10000,200000,sync_on,30.015800000000002
ycsb_d,12,hard,32,leveldb,3,0,200000,sync_on,29.9912
ycsb_d,12,hard,32,leveldb,1,0,200000,sync_on,30.1318
ycsb_d,12,lock_stripping,32,leveldb,1,0,200000,sync_on,30.1188
ycsb_d,12,lock_stripping,32,leveldb,3,0,200000,sync_on,30.182
ycsb_d,16,engine,1,leveldb,1,0,200000,sync_on,30.377
ycsb_d,16,hard,32,leveldb,3,10000,200000,sync_on,30.150799999999997
ycsb_d,16,hard,32,leveldb,1,0,200000,sync_on,30.0014
ycsb_d,16,hard,32,leveldb,3,0,200000,sync_on,30.1156
ycsb_d,16,hard,32,leveldb,1,10000,200000,sync_on,30.0964
ycsb_d,16,lock_stripping,32,leveldb,1,0,200000,sync_on,29.991000000000003
ycsb_d,16,lock_stripping,32,leveldb,3,0,200000,sync_on,29.9882
