workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,makespan_s
ycsb_d,4,engine,1,lmdb,1,0,20000,sync_off,29.979000000000003
ycsb_d,4,hard,32,lmdb,3,10000,20000,sync_off,29.9384
ycsb_d,4,hard,32,lmdb,1,10000,20000,sync_off,30.0002
ycsb_d,4,hard,32,lmdb,1,0,20000,sync_off,29.999000000000002
ycsb_d,4,hard,32,lmdb,3,0,20000,sync_off,29.9384
ycsb_d,4,lock_stripping,32,lmdb,1,0,20000,sync_off,29.975
ycsb_d,4,lock_stripping,32,lmdb,3,0,20000,sync_off,30.0146
ycsb_d,8,engine,1,lmdb,1,0,20000,sync_off,29.842000000000002
ycsb_d,8,hard,32,lmdb,1,10000,20000,sync_off,30.0476
ycsb_d,8,hard,32,lmdb,1,0,20000,sync_off,30.0046
ycsb_d,8,hard,32,lmdb,3,10000,20000,sync_off,29.9424
ycsb_d,8,hard,32,lmdb,3,0,20000,sync_off,29.941399999999998
ycsb_d,8,lock_stripping,32,lmdb,1,0,20000,sync_off,29.8248
ycsb_d,8,lock_stripping,32,lmdb,3,0,20000,sync_off,29.676
ycsb_d,12,engine,1,lmdb,1,0,20000,sync_off,29.9908
ycsb_d,12,hard,32,lmdb,1,10000,20000,sync_off,29.9666
ycsb_d,12,hard,32,lmdb,3,10000,20000,sync_off,29.97
ycsb_d,12,hard,32,lmdb,3,0,20000,sync_off,29.969
ycsb_d,12,hard,32,lmdb,1,0,20000,sync_off,29.9484
ycsb_d,12,lock_stripping,32,lmdb,1,0,20000,sync_off,30.0022
ycsb_d,12,lock_stripping,32,lmdb,3,0,20000,sync_off,29.944200000000002
ycsb_d,16,engine,1,lmdb,1,0,20000,sync_off,29.9942
ycsb_d,16,hard,32,lmdb,1,0,20000,sync_off,29.940800000000003
ycsb_d,16,hard,32,lmdb,1,10000,20000,sync_off,29.9406
ycsb_d,16,hard,32,lmdb,3,0,20000,sync_off,29.970799999999997
ycsb_d,16,hard,32,lmdb,3,10000,20000,sync_off,29.9748
ycsb_d,16,lock_stripping,32,lmdb,1,0,20000,sync_off,30.005200000000002
ycsb_d,16,lock_stripping,32,lmdb,3,0,20000,sync_off,29.946800000000003
