workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,makespan_s
ycsb_d,4,engine,1,lmdb,1,0,200000,sync_on,29.9892
ycsb_d,4,hard,32,lmdb,3,10000,200000,sync_on,29.96
ycsb_d,4,hard,32,lmdb,1,10000,200000,sync_on,30.016399999999997
ycsb_d,4,hard,32,lmdb,3,0,200000,sync_on,29.9524
ycsb_d,4,hard,32,lmdb,1,0,200000,sync_on,30.0226
ycsb_d,4,lock_stripping,32,lmdb,1,0,200000,sync_on,29.9916
ycsb_d,4,lock_stripping,32,lmdb,3,0,200000,sync_on,30.017000000000003
ycsb_d,8,engine,1,lmdb,1,0,200000,sync_on,30.069
ycsb_d,8,hard,32,lmdb,3,0,200000,sync_on,29.984
ycsb_d,8,hard,32,lmdb,3,10000,200000,sync_on,29.997000000000003
ycsb_d,8,hard,32,lmdb,1,0,200000,sync_on,30.0206
ycsb_d,8,hard,32,lmdb,1,10000,200000,sync_on,30.026999999999997
ycsb_d,8,lock_stripping,32,lmdb,3,0,200000,sync_on,29.998199999999997
ycsb_d,8,lock_stripping,32,lmdb,1,0,200000,sync_on,29.998199999999997
ycsb_d,12,engine,1,lmdb,1,0,200000,sync_on,30.108800000000002
ycsb_d,12,hard,32,lmdb,3,0,200000,sync_on,29.987599999999997
ycsb_d,12,hard,32,lmdb,3,10000,200000,sync_on,30.053000000000004
ycsb_d,12,hard,32,lmdb,1,0,200000,sync_on,30.0246
ycsb_d,12,hard,32,lmdb,1,10000,200000,sync_on,30.026400000000002
ycsb_d,12,lock_stripping,32,lmdb,3,0,200000,sync_on,30.0464
ycsb_d,12,lock_stripping,32,lmdb,1,0,200000,sync_on,29.9998
ycsb_d,16,engine,1,lmdb,1,0,200000,sync_on,30.212200000000003
ycsb_d,16,hard,32,lmdb,1,10000,200000,sync_on,30.0522
ycsb_d,16,hard,32,lmdb,3,0,200000,sync_on,30.056
ycsb_d,16,hard,32,lmdb,3,10000,200000,sync_on,30.0648
ycsb_d,16,hard,32,lmdb,1,0,200000,sync_on,30.0288
ycsb_d,16,lock_stripping,32,lmdb,3,0,200000,sync_on,30.005200000000002
ycsb_d,16,lock_stripping,32,lmdb,1,0,200000,sync_on,30.007600000000004
