workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,makespan_s
ycsb_e,4,engine,1,leveldb,1,0,200000,sync_on,29.9942
ycsb_e,4,hard,32,leveldb,3,0,200000,sync_on,29.974400000000003
ycsb_e,4,hard,32,leveldb,1,0,200000,sync_on,29.9914
ycsb_e,4,hard,32,leveldb,3,10000,200000,sync_on,29.9942
ycsb_e,4,hard,32,leveldb,1,10000,200000,sync_on,30.2472
ycsb_e,4,lock_stripping,32,leveldb,3,0,200000,sync_on,29.9892
ycsb_e,4,lock_stripping,32,leveldb,1,0,200000,sync_on,29.9652
ycsb_e,8,engine,1,leveldb,1,0,200000,sync_on,30.0666
ycsb_e,8,hard,32,leveldb,3,10000,200000,sync_on,29.983800000000002
ycsb_e,8,hard,32,leveldb,1,10000,200000,sync_on,30.0306
ycsb_e,8,hard,32,leveldb,1,0,200000,sync_on,29.9822
ycsb_e,8,hard,32,leveldb,3,0,200000,sync_on,29.9678
ycsb_e,8,lock_stripping,32,leveldb,1,0,200000,sync_on,30.2006
ycsb_e,8,lock_stripping,32,leveldb,3,0,200000,sync_on,29.955399999999997
ycsb_e,12,engine,1,leveldb,1,0,200000,sync_on,30.2346
ycsb_e,12,hard,32,leveldb,1,10000,200000,sync_on,29.969600000000003
ycsb_e,12,hard,32,leveldb,3,0,200000,sync_on,29.9632
ycsb_e,12,hard,32,leveldb,3,10000,200000,sync_on,30.005200000000002
ycsb_e,12,hard,32,leveldb,1,0,200000,sync_on,30.1132
ycsb_e,12,lock_stripping,32,leveldb,3,0,200000,sync_on,30.036399999999997
ycsb_e,12,lock_stripping,32,leveldb,1,0,200000,sync_on,29.977600000000002
ycsb_e,16,engine,1,leveldb,1,0,200000,sync_on,30.2286
ycsb_e,16,hard,32,leveldb,3,0,200000,sync_on,29.9844
ycsb_e,16,hard,32,leveldb,1,0,200000,sync_on,30.012400000000003
ycsb_e,16,hard,32,leveldb,1,10000,200000,sync_on,29.973599999999998
ycsb_e,16,hard,32,leveldb,3,10000,200000,sync_on,29.982999999999997
ycsb_e,16,lock_stripping,32,leveldb,1,0,200000,sync_on,30.090600000000002
ycsb_e,16,lock_stripping,32,leveldb,3,0,200000,sync_on,29.973599999999998
