workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,makespan_s
ycsb_e,4,engine,1,lmdb,1,0,200000,sync_on,30.010199999999998
ycsb_e,4,hard,32,lmdb,3,0,200000,sync_on,29.9584
ycsb_e,4,hard,32,lmdb,3,10000,200000,sync_on,29.9612
ycsb_e,4,hard,32,lmdb,1,0,200000,sync_on,30.004399999999997
ycsb_e,4,hard,32,lmdb,1,10000,200000,sync_on,30.0046
ycsb_e,4,lock_stripping,32,lmdb,1,0,200000,sync_on,30.0128
ycsb_e,4,lock_stripping,32,lmdb,3,0,200000,sync_on,29.944799999999997
ycsb_e,8,engine,1,lmdb,1,0,200000,sync_on,30.069799999999997
ycsb_e,8,hard,32,lmdb,1,0,200000,sync_on,30.0246
ycsb_e,8,hard,32,lmdb,3,10000,200000,sync_on,29.958999999999996
ycsb_e,8,hard,32,lmdb,1,10000,200000,sync_on,30.004199999999997
ycsb_e,8,hard,32,lmdb,3,0,200000,sync_on,29.964999999999996
ycsb_e,8,lock_stripping,32,lmdb,1,0,200000,sync_on,30.0178
ycsb_e,8,lock_stripping,32,lmdb,3,0,200000,sync_on,29.951599999999996
ycsb_e,12,engine,1,lmdb,1,0,200000,sync_on,30.1718
ycsb_e,12,hard,32,lmdb,1,0,200000,sync_on,30.0236
ycsb_e,12,hard,32,lmdb,3,0,200000,sync_on,29.979599999999998
ycsb_e,12,hard,32,lmdb,1,10000,200000,sync_on,30.025
ycsb_e,12,hard,32,lmdb,3,10000,200000,sync_on,29.9874
ycsb_e,12,lock_stripping,32,lmdb,3,0,200000,sync_on,29.995799999999996
ycsb_e,12,lock_stripping,32,lmdb,1,0,200000,sync_on,30.022000000000002
ycsb_e,16,engine,1,lmdb,1,0,200000,sync_on,30.1552
ycsb_e,16,hard,32,lmdb,3,10000,200000,sync_on,30.0148
ycsb_e,16,hard,32,lmdb,1,10000,200000,sync_on,30.0394
ycsb_e,16,hard,32,lmdb,1,0,200000,sync_on,30.016399999999997
ycsb_e,16,hard,32,lmdb,3,0,200000,sync_on,29.989800000000002
ycsb_e,16,lock_stripping,32,lmdb,1,0,200000,sync_on,30.0452
ycsb_e,16,lock_stripping,32,lmdb,3,0,200000,sync_on,29.9806
