workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,ops_per_second
ycsb_a,4,engine,1,leveldb,1,0,10000000,sync_on,126.39777347289797
ycsb_a,4,hard,32,leveldb,3,10000,10000000,sync_on,309.35180169281057
ycsb_a,4,hard,32,leveldb,1,10000,10000000,sync_on,218.19577751775327
ycsb_a,4,hard,32,leveldb,3,0,10000000,sync_on,306.9841604134856
ycsb_a,4,hard,32,leveldb,1,0,10000000,sync_on,250.55337495888057
ycsb_a,4,lock_stripping,32,leveldb,1,0,10000000,sync_on,213.40894847740373
ycsb_a,4,lock_stripping,32,leveldb,3,0,10000000,sync_on,327.7951761468097
ycsb_a,8,engine,1,leveldb,1,0,10000000,sync_on,269.4365481825898
ycsb_a,8,hard,32,leveldb,1,0,10000000,sync_on,306.8085226287518
ycsb_a,8,hard,32,leveldb,1,10000,10000000,sync_on,330.3328192220356
ycsb_a,8,hard,32,leveldb,3,0,10000000,sync_on,502.12988307579326
ycsb_a,8,hard,32,leveldb,3,10000,10000000,sync_on,495.2415697938668
ycsb_a,8,lock_stripping,32,leveldb,3,0,10000000,sync_on,576.982466561674
ycsb_a,8,lock_stripping,32,leveldb,1,0,10000000,sync_on,337.6726038907932
ycsb_a,12,engine,1,leveldb,1,0,10000000,sync_on,449.74735120402465
ycsb_a,12,hard,32,leveldb,1,10000,10000000,sync_on,445.23243528750083
ycsb_a,12,hard,32,leveldb,1,0,10000000,sync_on,469.78728684550015
ycsb_a,12,hard,32,leveldb,3,0,10000000,sync_on,622.6503861751388
ycsb_a,12,hard,32,leveldb,3,10000,10000000,sync_on,760.6684485498839
ycsb_a,12,lock_stripping,32,leveldb,1,0,10000000,sync_on,481.6917135393551
ycsb_a,12,lock_stripping,32,leveldb,3,0,10000000,sync_on,850.8742159868391
ycsb_a,16,engine,1,leveldb,1,0,10000000,sync_on,735.5013670752356
ycsb_a,16,hard,32,leveldb,1,0,10000000,sync_on,517.7382044620127
ycsb_a,16,hard,32,leveldb,1,10000,10000000,sync_on,486.78856077521675
ycsb_a,16,hard,32,leveldb,3,10000,10000000,sync_on,903.4315279420967
ycsb_a,16,hard,32,leveldb,3,0,10000000,sync_on,786.45736481326
ycsb_a,16,lock_stripping,32,leveldb,3,0,10000000,sync_on,901.8660666638567
ycsb_a,16,lock_stripping,32,leveldb,1,0,10000000,sync_on,525.0566364398505
