workload,workers,storage_type,partitions,storage_engine,paths,interval,ops_per_second
ycsb_a,1,engine,1,lmdb,1,0,206109.17089562345
ycsb_a,1,hard,1,lmdb,1,0,172811.54837167222
ycsb_a,1,hard,1,lmdb,1,1000,171006.40899753151
ycsb_a,1,hard,8,lmdb,1,0,182781.37432027337
ycsb_a,1,hard,8,lmdb,1,1000,156096.18348012335
ycsb_a,2,engine,1,lmdb,1,0,173904.09705544132
ycsb_a,2,hard,1,lmdb,1,0,41994.54757743664
ycsb_a,2,hard,1,lmdb,1,1000,41683.19293001311
ycsb_a,2,hard,8,lmdb,1,0,212754.73951300737
ycsb_a,2,hard,8,lmdb,1,1000,178121.11758990225
