workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,ops_per_second
ycsb_a,4,engine,1,lmdb,1,0,100000,sync_off,36553.98599939248
ycsb_a,4,hard,32,lmdb,1,0,100000,sync_off,36792.998739464114
ycsb_a,4,hard,32,lmdb,1,10000,100000,sync_off,36756.51718124918
ycsb_a,4,hard,32,lmdb,3,0,100000,sync_off,36787.619922565485
ycsb_a,4,hard,32,lmdb,3,10000,100000,sync_off,36735.13607232111
ycsb_a,4,lock_stripping,32,lmdb,3,0,100000,sync_off,37293.714521662696
ycsb_a,4,lock_stripping,32,lmdb,1,0,100000,sync_off,37314.524888300875
ycsb_a,8,engine,1,lmdb,1,0,100000,sync_off,69832.71244183998
ycsb_a,8,hard,32,lmdb,3,0,100000,sync_off,72927.56249555052
ycsb_a,8,hard,32,lmdb,1,10000,100000,sync_off,72875.69434062799
ycsb_a,8,hard,32,lmdb,3,10000,100000,sync_off,72869.0548393162
ycsb_a,8,hard,32,lmdb,1,0,100000,sync_off,73006.38750719947
ycsb_a,8,lock_stripping,32,lmdb,1,0,100000,sync_off,74423.58810970113
ycsb_a,8,lock_stripping,32,lmdb,3,0,100000,sync_off,74385.59822947564
ycsb_a,12,engine,1,lmdb,1,0,100000,sync_off,36730.3649836326
ycsb_a,12,hard,32,lmdb,1,0,100000,sync_off,108531.8125729383
ycsb_a,12,hard,32,lmdb,3,0,100000,sync_off,108467.79526669401
ycsb_a,12,hard,32,lmdb,1,10000,100000,sync_off,108177.53502128882
ycsb_a,12,hard,32,lmdb,3,10000,100000,sync_off,108314.21184730428
ycsb_a,12,lock_stripping,32,lmdb,3,0,100000,sync_off,111403.60991533942
ycsb_a,12,lock_stripping,32,lmdb,1,0,100000,sync_off,111188.662180502
ycsb_a,16,engine,1,lmdb,1,0,100000,sync_off,35660.97893934285
ycsb_a,16,hard,32,lmdb,1,0,100000,sync_off,140378.53247066287
ycsb_a,16,hard,32,lmdb,1,10000,100000,sync_off,138833.6365575457
ycsb_a,16,hard,32,lmdb,3,10000,100000,sync_off,137363.03358819068
ycsb_a,16,hard,32,lmdb,3,0,100000,sync_off,139798.57959524958
ycsb_a,16,lock_stripping,32,lmdb,1,0,100000,sync_off,147634.0038913386
ycsb_a,16,lock_stripping,32,lmdb,3,0,100000,sync_off,147546.27604468339
