workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,ops_per_second
ycsb_a,4,engine,1,lmdb,1,0,10000000,sync_on,201.33211783409473
ycsb_a,4,hard,32,lmdb,1,10000,10000000,sync_on,252.0432176723069
ycsb_a,4,hard,32,lmdb,3,0,10000000,sync_on,333.92185968216245
ycsb_a,4,hard,32,lmdb,1,0,10000000,sync_on,214.35189530584572
ycsb_a,4,hard,32,lmdb,3,10000,10000000,sync_on,327.23317658045323
ycsb_a,4,lock_stripping,32,lmdb,1,0,10000000,sync_on,221.17477099208577
ycsb_a,4,lock_stripping,32,lmdb,3,0,10000000,sync_on,321.96541543573346
ycsb_a,8,engine,1,lmdb,1,0,10000000,sync_on,219.79245432252142
ycsb_a,8,hard,32,lmdb,1,10000,10000000,sync_on,408.71470791412173
ycsb_a,8,hard,32,lmdb,3,0,10000000,sync_on,572.7541089522167
ycsb_a,8,hard,32,lmdb,1,0,10000000,sync_on,404.20322287727674
ycsb_a,8,hard,32,lmdb,3,10000,10000000,sync_on,589.3208975825199
ycsb_a,8,lock_stripping,32,lmdb,1,0,10000000,sync_on,367.1779614307308
ycsb_a,8,lock_stripping,32,lmdb,3,0,10000000,sync_on,603.8224923285185
ycsb_a,12,engine,1,lmdb,1,0,10000000,sync_on,261.3964383672884
ycsb_a,12,hard,32,lmdb,1,10000,10000000,sync_on,479.9339433109256
ycsb_a,12,hard,32,lmdb,3,0,10000000,sync_on,695.3133494615354
ycsb_a,12,hard,32,lmdb,3,10000,10000000,sync_on,778.401825723446
ycsb_a,12,hard,32,lmdb,1,0,10000000,sync_on,481.00944722338716
ycsb_a,12,lock_stripping,32,lmdb,3,0,10000000,sync_on,814.7799742300319
ycsb_a,12,lock_stripping,32,lmdb,1,0,10000000,sync_on,531.0524313720997
ycsb_a,16,engine,1,lmdb,1,0,10000000,sync_on,227.75681057064003
ycsb_a,16,hard,32,lmdb,1,10000,10000000,sync_on,548.983486798146
ycsb_a,16,hard,32,lmdb,3,0,10000000,sync_on,922.6548802808641
ycsb_a,16,hard,32,lmdb,1,0,10000000,sync_on,567.2256313294799
ycsb_a,16,hard,32,lmdb,3,10000,10000000,sync_on,836.2638410450658
ycsb_a,16,lock_stripping,32,lmdb,1,0,10000000,sync_on,661.4972524023694
ycsb_a,16,lock_stripping,32,lmdb,3,0,10000000,sync_on,961.6770194987782
