workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,ops_per_second
ycsb_d,4,engine,1,leveldb,1,0,20000,sync_off,93603.90899635688
ycsb_d,4,hard,32,leveldb,3,0,20000,sync_off,140500.12359400978
ycsb_d,4,hard,32,leveldb,1,0,20000,sync_off,140025.18862823807
ycsb_d,4,hard,32,leveldb,1,10000,20000,sync_off,139450.20147439855
ycsb_d,4,hard,32,leveldb,3,10000,20000,sync_off,140763.38643498757
ycsb_d,4,lock_stripping,32,leveldb,1,0,20000,sync_off,163712.61349429973
ycsb_d,4,lock_stripping,32,leveldb,3,0,20000,sync_off,167818.05468431424
ycsb_d,8,engine,1,leveldb,1,0,20000,sync_off,123865.13125613448
ycsb_d,8,hard,32,leveldb,1,0,20000,sync_off,243198.8476364531
ycsb_d,8,hard,32,leveldb,3,0,20000,sync_off,251008.03491687286
ycsb_d,8,hard,32,leveldb,1,10000,20000,sync_off,219347.5565749292
ycsb_d,8,hard,32,leveldb,3,10000,20000,sync_off,249852.3807454485
ycsb_d,8,lock_stripping,32,leveldb,1,0,20000,sync_off,302837.6466870111
ycsb_d,8,lock_stripping,32,leveldb,3,0,20000,sync_off,315602.3524773583
ycsb_d,12,engine,1,leveldb,1,0,20000,sync_off,99137.68503601819
ycsb_d,12,hard,32,leveldb,3,0,20000,sync_off,271478.6000099757
ycsb_d,12,hard,32,leveldb,1,0,20000,sync_off,238737.50959232877
ycsb_d,12,hard,32,leveldb,3,10000,20000,sync_off,230691.79618721324
ycsb_d,12,hard,32,leveldb,1,10000,20000,sync_off,206478.45246406953
ycsb_d,12,lock_stripping,32,leveldb,3,0,20000,sync_off,163595.79731918062
ycsb_d,12,lock_stripping,32,leveldb,1,0,20000,sync_off,161373.8560814426
ycsb_d,16,engine,1,leveldb,1,0,20000,sync_off,99556.01609432514
ycsb_d,16,hard,32,leveldb,3,0,20000,sync_off,224106.64167992468
ycsb_d,16,hard,32,leveldb,1,10000,20000,sync_off,207815.4576433183
ycsb_d,16,hard,32,leveldb,3,10000,20000,sync_off,251171.29722953803
ycsb_d,16,hard,32,leveldb,1,0,20000,sync_off,188645.79543351178
ycsb_d,16,lock_stripping,32,leveldb,1,0,20000,sync_off,160181.43809666098
ycsb_d,16,lock_stripping,32,leveldb,3,0,20000,sync_off,161266.91087182847
