workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,ops_per_second
ycsb_d,4,engine,1,lmdb,1,0,20000,sync_off,179678.52592488864
ycsb_d,4,hard,32,lmdb,3,10000,20000,sync_off,160616.51080212393
ycsb_d,4,hard,32,lmdb,1,10000,20000,sync_off,161214.59704986966
ycsb_d,4,hard,32,lmdb,1,0,20000,sync_off,161141.2970827091
ycsb_d,4,hard,32,lmdb,3,0,20000,sync_off,160625.09404154628
ycsb_d,4,lock_stripping,32,lmdb,1,0,20000,sync_off,179977.38483709373
ycsb_d,4,lock_stripping,32,lmdb,3,0,20000,sync_off,180235.50076806336
ycsb_d,8,engine,1,lmdb,1,0,20000,sync_off,334933.88761076453
ycsb_d,8,hard,32,lmdb,1,10000,20000,sync_off,273132.0316941653
ycsb_d,8,hard,32,lmdb,1,0,20000,sync_off,279867.63093477266
ycsb_d,8,hard,32,lmdb,3,10000,20000,sync_off,271872.57020541665
ycsb_d,8,hard,32,lmdb,3,0,20000,sync_off,279653.1477022191
ycsb_d,8,lock_stripping,32,lmdb,1,0,20000,sync_off,334566.5789300515
ycsb_d,8,lock_stripping,32,lmdb,3,0,20000,sync_off,325910.6947567287
ycsb_d,12,engine,1,lmdb,1,0,20000,sync_off,174102.54276309157
ycsb_d,12,hard,32,lmdb,1,10000,20000,sync_off,150269.95763703127
ycsb_d,12,hard,32,lmdb,3,10000,20000,sync_off,148761.8677099785
ycsb_d,12,hard,32,lmdb,3,0,20000,sync_off,148286.095880373
ycsb_d,12,hard,32,lmdb,1,0,20000,sync_off,150991.54211017166
ycsb_d,12,lock_stripping,32,lmdb,1,0,20000,sync_off,174243.8366575937
ycsb_d,12,lock_stripping,32,lmdb,3,0,20000,sync_off,173826.3637856041
ycsb_d,16,engine,1,lmdb,1,0,20000,sync_off,171801.60583865904
ycsb_d,16,hard,32,lmdb,1,0,20000,sync_off,148739.23130317478
ycsb_d,16,hard,32,lmdb,1,10000,20000,sync_off,148883.68320068432
ycsb_d,16,hard,32,lmdb,3,0,20000,sync_off,148396.09970532428
ycsb_d,16,hard,32,lmdb,3,10000,20000,sync_off,149445.94564225464
ycsb_d,16,lock_stripping,32,lmdb,1,0,20000,sync_off,172535.14746575902
ycsb_d,16,lock_stripping,32,lmdb,3,0,20000,sync_off,172531.4150938719
