workload,workers,storage_type,partitions,storage_engine,paths,interval,ops_per_second
ycsb_d,1,engine,1,tkrzw_tree,1,0,146493.10632406283
ycsb_d,1,hard,1,tkrzw_tree,1,0,130617.85721114693
ycsb_d,1,hard,1,tkrzw_tree,1,1000,130455.6393550856
ycsb_d,1,hard,8,tkrzw_tree,1,0,621151.953125
ycsb_d,1,hard,8,tkrzw_tree,1,1000,493385.25123577786
ycsb_d,2,engine,1,tkrzw_tree,1,0,283954.7190299284
ycsb_d,2,hard,1,tkrzw_tree,1,1000,225157.00181118835
ycsb_d,2,hard,1,tkrzw_tree,1,0,225670.55354781062
ycsb_d,2,hard,8,tkrzw_tree,1,1000,724596.5001101599
ycsb_d,2,hard,8,tkrzw_tree,1,0,804929.8980058392
