workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,ops_per_second
ycsb_e,4,engine,1,leveldb,1,0,20000,sync_off,37724.17814566346
ycsb_e,4,hard,32,leveldb,3,0,20000,sync_off,11891.839029955972
ycsb_e,4,hard,32,leveldb,1,10000,20000,sync_off,11845.966003195985
ycsb_e,4,hard,32,leveldb,1,0,20000,sync_off,11584.379699747675
ycsb_e,4,hard,32,leveldb,3,10000,20000,sync_off,12251.811250131534
ycsb_e,4,lock_stripping,32,leveldb,1,0,20000,sync_off,876.295320375974
ycsb_e,4,lock_stripping,32,leveldb,3,0,20000,sync_off,888.6841343640348
ycsb_e,8,engine,1,leveldb,1,0,20000,sync_off,52301.42439633134
ycsb_e,8,hard,32,leveldb,1,10000,20000,sync_off,21025.246002550353
ycsb_e,8,hard,32,leveldb,3,10000,20000,sync_off,21452.989056495247
ycsb_e,8,hard,32,leveldb,1,0,20000,sync_off,22647.990972715383
ycsb_e,8,hard,32,leveldb,3,0,20000,sync_off,22936.018803476625
ycsb_e,8,lock_stripping,32,leveldb,3,0,20000,sync_off,1142.0416329381424
ycsb_e,8,lock_stripping,32,leveldb,1,0,20000,sync_off,1157.8555329675905
ycsb_e,12,engine,1,leveldb,1,0,20000,sync_off,85543.84050418582
ycsb_e,12,hard,32,leveldb,3,0,20000,sync_off,33313.9690079095
ycsb_e,12,hard,32,leveldb,1,0,20000,sync_off,32721.66208477684
ycsb_e,12,hard,32,leveldb,3,10000,20000,sync_off,29640.200799529346
ycsb_e,12,hard,32,leveldb,1,10000,20000,sync_off,26559.240189658005
ycsb_e,12,lock_stripping,32,leveldb,3,0,20000,sync_off,1451.0474065998296
ycsb_e,12,lock_stripping,32,leveldb,1,0,20000,sync_off,1448.7204294836502
ycsb_e,16,engine,1,leveldb,1,0,20000,sync_off,92781.54811745805
ycsb_e,16,hard,32,leveldb,3,0,20000,sync_off,40500.53433918212
ycsb_e,16,hard,32,leveldb,3,10000,20000,sync_off,32944.6833036547
ycsb_e,16,hard,32,leveldb,1,0,20000,sync_off,40501.155647689855
ycsb_e,16,hard,32,leveldb,1,10000,20000,sync_off,32162.27120112924
ycsb_e,16,lock_stripping,32,leveldb,1,0,20000,sync_off,1725.6855890947577
ycsb_e,16,lock_stripping,32,leveldb,3,0,20000,sync_off,1736.809699155187
