workload,workers,storage_type,partitions,storage_engine,paths,interval,thinking_time,sync_mode,ops_per_second
ycsb_e,4,engine,1,leveldb,1,0,200000,sync_on,2372.699789047124
ycsb_e,4,hard,32,leveldb,3,0,200000,sync_on,2838.4373055423725
ycsb_e,4,hard,32,leveldb,1,0,200000,sync_on,2549.1162496693005
ycsb_e,4,hard,32,leveldb,3,10000,200000,sync_on,1411.4552495312885
ycsb_e,4,hard,32,leveldb,1,10000,200000,sync_on,855.4154347936304
ycsb_e,4,lock_stripping,32,leveldb,3,0,200000,sync_on,807.7968917316
ycsb_e,4,lock_stripping,32,leveldb,1,0,200000,sync_on,765.7290654677608
ycsb_e,8,engine,1,leveldb,1,0,200000,sync_on,3824.524753315268
ycsb_e,8,hard,32,leveldb,3,10000,200000,sync_on,2141.667089252655
ycsb_e,8,hard,32,leveldb,1,10000,200000,sync_on,1202.0356511409987
ycsb_e,8,hard,32,leveldb,1,0,200000,sync_on,2464.7684638161318
ycsb_e,8,hard,32,leveldb,3,0,200000,sync_on,3600.229037717078
ycsb_e,8,lock_stripping,32,leveldb,1,0,200000,sync_on,940.3100993104233
ycsb_e,8,lock_stripping,32,leveldb,3,0,200000,sync_on,1065.9540919388623
ycsb_e,12,engine,1,leveldb,1,0,200000,sync_on,5635.693279279275
ycsb_e,12,hard,32,leveldb,1,10000,200000,sync_on,1427.2737967500234
ycsb_e,12,hard,32,leveldb,3,0,200000,sync_on,4466.7695647861565
ycsb_e,12,hard,32,leveldb,3,10000,200000,sync_on,2473.534141323995
ycsb_e,12,hard,32,leveldb,1,0,200000,sync_on,2599.907031750371
ycsb_e,12,lock_stripping,32,leveldb,3,0,200000,sync_on,1276.3019259978473
ycsb_e,12,lock_stripping,32,leveldb,1,0,200000,sync_on,1098.4727762113762
ycsb_e,16,engine,1,leveldb,1,0,200000,sync_on,8165.144117620874
ycsb_e,16,hard,32,leveldb,3,0,200000,sync_on,4351.355088297019
ycsb_e,16,hard,32,leveldb,1,0,200000,sync_on,2257.272659052255
ycsb_e,16,hard,32,leveldb,1,10000,200000,sync_on,1666.4593040813666
ycsb_e,16,hard,32,leveldb,3,10000,200000,sync_on,3782.9492637603726
ycsb_e,16,lock_stripping,32,leveldb,1,0,200000,sync_on,1427.6824612822852
ycsb_e,16,lock_stripping,32,leveldb,3,0,200000,sync_on,1637.6380027356238
