elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,34609.68970112317,31058.252427184467,35666.66666666667,925722.4,898852.0,946204.0,161226.6,158124.0,165665.0,0.0,0.0,lock_stripping,32,3,0,100000,sync_off,lock_stripping_p32_w3_i0_t100000
0.2,36962.00266514373,36000.0,37431.37254901961,942715.2,915372.0,962892.0,151948.2,148925.0,163862.0,0.0,0.0,lock_stripping,32,3,0,100000,sync_off,lock_stripping_p32_w3_i0_t100000
0.31,36481.553398058255,35427.18446601942,37019.41747572816,953130.4,925692.0,972644.0,140268.6,135642.0,158267.0,0.0,0.0,lock_stripping,32,3,0,100000,sync_off,lock_stripping_p32_w3_i0_t100000
0.41,36392.307692307695,36192.307692307695,36923.07692307692,961952.0,934572.0,981580.0,131863.6,126389.0,152554.0,0.0,0.0,lock_stripping,32,3,0,100000,sync_off,lock_stripping_p32_w3_i0_t100000
0.52,36482.69230769231,35480.769230769234,36750.0,969319.2,941640.0,990160.0,132378.0,126159.0,150845.0,0.0,0.0,lock_stripping,32,3,0,100000,sync_off,lock_stripping_p32_w3_i0_t100000
0.62,36025.24271844661,35077.669902912625,36398.05825242719,977748.0,950720.0,997236.0,130607.8,123617.0,145269.0,0.0,0.0,lock_stripping,32,3,0,100000,sync_off,lock_stripping_p32_w3_i0_t100000
0.72,35990.38461538462,35201.92307692308,36500.0,985172.0,957664.0,1004772.0,129928.2,125057.0,139598.0,0.0,0.0,lock_stripping,32,3,0,100000,sync_off,lock_stripping_p32_w3_i0_t100000
0.83,35759.98879761016,34740.38461538462,36184.46601941748,992336.8,964344.0,1011812.0,129779.6,126371.0,137713.0,0.0,0.0,lock_stripping,32,3,0,100000,sync_off,lock_stripping_p32_w3_i0_t100000
0.93,35807.710978342046,35086.53846153846,36475.728155339806,1000034.4,973536.0,1018840.0,130081.8,128116.0,133438.0,0.0,0.0,lock_stripping,32,3,0,100000,sync_off,lock_stripping_p32_w3_i0_t100000
1.03,36228.696788648245,34865.38461538462,36912.6213592233,1007432.8,980560.0,1025924.0,130215.0,121010.0,135599.0,0.0,0.0,lock_stripping,32,3,0,100000,sync_off,lock_stripping_p32_w3_i0_t100000
1.14,35816.89693801345,35192.307692307695,36673.07692307692,1014822.4,987636.0,1034208.0,132454.0,125110.0,135730.0,0.0,0.0,lock_stripping,32,3,0,100000,sync_off,lock_stripping_p32_w3_i0_t100000
1.24,36197.75952203137,35221.15384615385,36971.15384615385,1022275.2,996076.0,1041804.0,131995.4,126635.0,135761.0,0.0,0.0,lock_stripping,32,3,0,100000,sync_off,lock_stripping_p32_w3_i0_t100000
1.34,35108.1217326363,33298.07692307692,36029.12621359224,1028690.4,1002584.0,1047172.0,128802.8,128316.0,130413.0,0.0,0.0,lock_stripping,32,3,0,100000,sync_off,lock_stripping_p32_w3_i0_t100000
1.45,36204.480955937266,35865.38461538462,36548.07692307692,1036032.8,1009468.0,1054800.0,128877.4,123148.0,132364.0,0.0,0.0,lock_stripping,32,3,0,100000,sync_off,lock_stripping_p32_w3_i0_t100000
1.55,36567.550410754295,35000.0,37165.04854368932,1043230.4,1015764.0,1063484.0,128713.0,121282.0,133762.0,0.0,0.0,lock_stripping,32,3,0,100000,sync_off,lock_stripping_p32_w3_i0_t100000
1.65,36221.86955439383,35174.7572815534,37048.54368932039,1062114.6666666667,1052908.0,1069952.0,128647.66666666667,123332.0,135842.0,0.0,0.0,lock_stripping,32,3,0,100000,sync_off,lock_stripping_p32_w3_i0_t100000
