elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,583.7045497810775,533.9805825242719,611.6504854368933,1449460.8,1425112.0,1536756.0,177330.0,177300.0,177338.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
0.2,645.8214353702647,578.4313725490197,696.0784313725491,1452896.8,1428700.0,1540240.0,177367.6,177340.0,177376.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
0.31,658.2524271844661,631.0679611650486,699.0291262135922,1456077.6,1431740.0,1543672.0,177511.6,177409.0,177638.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
0.41,561.9678864824497,524.2718446601942,592.2330097087379,1458473.6,1434224.0,1546108.0,173655.2,173626.0,173663.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
0.51,655.3398058252428,631.0679611650486,679.6116504854369,1440552.0,1440164.0,1440940.0,173700.5,173700.0,173701.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
0.52,675.2862832959921,644.2307692307693,692.3076923076924,1473854.6666666667,1436408.0,1547880.0,173688.66666666666,173664.0,173703.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
0.62,729.7610156833458,701.9230769230769,766.990291262136,1462816.0,1438732.0,1550300.0,173735.6,173706.0,173745.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
0.72,588.0881254667663,557.6923076923077,621.3592233009709,1464428.8,1440336.0,1551876.0,173768.0,173739.0,173778.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
0.82,607.2395444361464,586.5384615384615,625.0,1472091.0,1443044.0,1553652.0,173800.75,173771.0,173812.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
0.83,669.9029126213593,669.9029126213593,669.9029126213593,1442216.0,1442216.0,1442216.0,173809.0,173809.0,173809.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
0.93,706.1239731142643,644.2307692307693,757.2815533980583,1467952.8,1444080.0,1555260.0,173836.2,173816.0,173843.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
1.03,489.07766990291265,184.46601941747574,621.3592233009709,1468836.0,1445100.0,1556408.0,173868.6,173845.0,173882.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
1.13,650.4854368932039,650.4854368932039,650.4854368932039,1450152.0,1450152.0,1450152.0,173917.0,173917.0,173917.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
1.14,539.4184092606423,153.84615384615384,766.990291262136,1475020.0,1445652.0,1558096.0,173896.0,173866.0,173919.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
1.24,469.90291262135923,165.0485436893204,582.5242718446602,1470950.4,1445932.0,1559148.0,173923.6,173877.0,173947.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
1.34,488.46153846153845,182.6923076923077,605.7692307692308,1472178.4,1446368.0,1560280.0,173952.2,173891.0,173976.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
1.44,699.0291262135922,699.0291262135922,699.0291262135922,1454136.0,1454136.0,1454136.0,174009.0,174009.0,174009.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
1.45,546.1165048543689,233.0097087378641,689.3203883495146,1478166.0,1447016.0,1561488.0,173974.0,173904.0,174008.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
1.55,550.0,269.2307692307692,673.0769230769231,1474352.0,1447544.0,1562648.0,174010.0,173917.0,174043.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
1.65,520.0522778192682,173.0769230769231,621.3592233009709,1475408.8,1447752.0,1563884.0,174039.2,173927.0,174075.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
1.75,584.4380134428679,563.1067961165049,605.7692307692308,1511294.0,1457584.0,1565004.0,174086.0,174075.0,174097.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
1.76,452.60766741349266,213.59223300970876,576.9230769230769,1453088.0,1447976.0,1457768.0,174045.0,173939.0,174098.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
1.86,544.6228528752802,278.84615384615387,634.6153846153846,1477548.8,1448724.0,1566220.0,174086.0,173953.0,174125.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
1.96,542.201617390795,300.97087378640776,634.6153846153846,1483950.0,1449584.0,1566884.0,174107.75,173966.0,174163.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
1.97,611.6504854368933,611.6504854368933,611.6504854368933,1455432.0,1455432.0,1455432.0,174160.0,174160.0,174160.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
2.06,720.0336071695295,673.0769230769231,766.990291262136,1514358.0,1460908.0,1567808.0,174189.0,174184.0,174194.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
2.07,553.7092357480707,182.6923076923077,757.2815533980583,1455913.3333333333,1450192.0,1460920.0,174122.66666666666,173975.0,174198.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
2.17,510.28752800597465,194.1747572815534,757.2815533980583,1479981.6,1450416.0,1568740.0,174176.0,173988.0,174237.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
2.27,471.0138162808066,252.42718446601944,689.3203883495146,1486303.0,1450880.0,1569688.0,174183.0,173998.0,174262.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
2.28,586.5384615384615,586.5384615384615,586.5384615384615,1458168.0,1458168.0,1458168.0,174276.0,174276.0,174276.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
2.38,495.9111277072443,213.59223300970876,692.3076923076924,1481364.0,1451260.0,1570480.0,174228.6,174009.0,174309.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
2.48,479.7796863330844,310.67961165048547,592.2330097087379,1482100.0,1451928.0,1571328.0,174253.4,174024.0,174338.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
2.58,466.7351257157083,230.76923076923077,621.3592233009709,1500125.3333333333,1462824.0,1572216.0,173067.33333333334,170583.0,174369.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
2.59,447.11538461538464,221.15384615384616,673.0769230769231,1456908.0,1452308.0,1461508.0,172317.0,170597.0,174037.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
2.69,455.1530993278567,184.46601941747574,679.6116504854369,1483486.4,1452520.0,1573276.0,172038.6,170616.0,174265.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
2.79,391.411501120239,115.38461538461539,576.9230769230769,1484110.4,1452764.0,1574300.0,172061.4,170648.0,174274.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
2.89,406.4911625591237,174.75728155339806,650.4854368932039,1502176.0,1463656.0,1575060.0,171883.66666666666,170681.0,174287.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
2.9,492.11165048543694,359.2233009708738,625.0,1458676.0,1453700.0,1463652.0,172388.0,170700.0,174076.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
3.0,418.40926064227034,174.75728155339806,747.5728155339806,1485387.2,1454320.0,1576044.0,172104.0,170687.0,174298.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
3.1,439.4697535474235,173.0769230769231,759.6153846153846,1486096.0,1454524.0,1577316.0,172127.4,170698.0,174315.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
3.2,394.293004729898,163.46153846153848,796.1165048543689,1503922.6666666667,1464712.0,1578324.0,171942.66666666666,170710.0,174326.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
3.21,567.3076923076924,355.7692307692308,778.8461538461539,1461168.0,1455344.0,1466992.0,172463.5,170813.0,174114.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
3.31,418.9880507841673,223.3009708737864,711.5384615384615,1487448.8,1455744.0,1579540.0,172171.2,170722.0,174336.0,0.0,0.0,hard,32,1,0,10000000,sync_on,hard_p32_w1_i0_t10000000
