elapsed_s,mean,min,max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,line_label
1.0,165489.34108527133,165489.34108527133,165489.34108527133,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
2.1,165062.92352371733,165062.92352371733,165062.92352371733,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
3.1,166735.52123552124,166735.52123552124,166735.52123552124,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
4.1,169777.45664739885,169777.45664739885,169777.45664739885,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
5.2,166659.59498553522,166659.59498553522,166659.59498553522,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
1.0,190321.35922330097,190321.35922330097,190321.35922330097,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
2.1,190701.16054158605,190701.16054158605,190701.16054158605,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
3.1,193847.3429951691,193847.3429951691,193847.3429951691,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
4.1,197881.3886210222,197881.3886210222,197881.3886210222,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
5.2,192980.73217726397,192980.73217726397,192980.73217726397,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
1.0,161767.4418604651,161767.4418604651,161767.4418604651,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
2.1,162925.53191489363,162925.53191489363,162925.53191489363,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
3.1,169097.58454106282,169097.58454106282,169097.58454106282,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
4.1,168290.94412331405,168290.94412331405,168290.94412331405,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
5.2,163813.8862102218,163813.8862102218,163813.8862102218,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
1.0,157066.86046511628,157066.86046511628,157066.86046511628,1.0,0.0,hard,8,1,1000,hard_p8_w1_i1000
2.1,153448.30917874398,153448.30917874398,153448.30917874398,0.0,1.0,hard,8,1,1000,hard_p8_w1_i1000
3.1,148112.93436293435,148112.93436293435,148112.93436293435,1.0,0.0,hard,8,1,1000,hard_p8_w1_i1000
4.1,143258.18882466282,143258.18882466282,143258.18882466282,0.0,1.0,hard,8,1,1000,hard_p8_w1_i1000
5.2,144619.46050096338,144619.46050096338,144619.46050096338,1.0,0.0,hard,8,1,1000,hard_p8_w1_i1000
6.2,144648.0769230769,144648.0769230769,144648.0769230769,0.0,1.0,hard,8,1,1000,hard_p8_w1_i1000
1.0,160922.4054316198,160922.4054316198,160922.4054316198,1.0,1.0,hard,1,1,1000,hard_p1_w1_i1000
2.1,162380.07736943907,162380.07736943907,162380.07736943907,1.0,1.0,hard,1,1,1000,hard_p1_w1_i1000
3.1,169976.83397683396,169976.83397683396,169976.83397683396,1.0,1.0,hard,1,1,1000,hard_p1_w1_i1000
4.1,171007.71456123434,171007.71456123434,171007.71456123434,1.0,1.0,hard,1,1,1000,hard_p1_w1_i1000
5.2,160306.65380906462,160306.65380906462,160306.65380906462,1.0,1.0,hard,1,1,1000,hard_p1_w1_i1000
