elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,318.8118811881188,217.8217821782178,356.43564356435644,2574166.4,2573912.0,2574392.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
0.2,352.4752475247525,257.4257425742574,396.039603960396,2574183.2,2573928.0,2574412.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
0.3,293.0693069306931,148.5148514851485,336.63366336633663,2574191.2,2573936.0,2574420.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
0.4,263.36633663366337,237.6237623762376,287.1287128712871,2574198.4,2573944.0,2574424.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
0.51,375.3640069889342,138.6138613861386,445.5445544554455,2574198.4,2573944.0,2574424.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
0.61,300.6600660066007,166.66666666666669,336.63366336633663,2574200.8,2573944.0,2574436.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
0.71,261.7549990293147,198.019801980198,297.029702970297,2574200.8,2573944.0,2574436.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
0.81,334.20695010677537,225.49019607843138,366.3366336633663,2574201.6,2573944.0,2574440.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
0.91,322.0927975150456,227.7227722772277,356.43564356435644,2574201.6,2573944.0,2574440.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
1.01,268.20034944670937,217.8217821782178,287.1287128712871,2574201.6,2573944.0,2574440.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
1.11,305.88235294117646,196.07843137254903,346.53465346534654,2574201.6,2573944.0,2574440.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
1.21,254.95049504950492,247.5247524752475,267.3267326732673,2574142.0,2573944.0,2574324.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
1.22,188.1188118811881,188.1188118811881,188.1188118811881,2574440.0,2574440.0,2574440.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
1.31,393.5643564356435,356.43564356435644,435.6435643564356,2574142.0,2573944.0,2574324.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
1.32,237.6237623762376,237.6237623762376,237.6237623762376,2574440.0,2574440.0,2574440.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
1.42,278.9361289070083,257.4257425742574,303.921568627451,2574201.6,2573944.0,2574440.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
1.52,290.8367307318967,127.45098039215686,346.53465346534654,2574201.6,2573944.0,2574440.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
1.62,271.2871287128713,158.41584158415841,326.73267326732673,2574204.8,2573948.0,2574440.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
1.72,264.3176082314114,198.019801980198,306.9306930693069,2574204.8,2573948.0,2574440.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
1.82,334.82818870122304,196.07843137254903,386.1386138613861,2574204.8,2573948.0,2574440.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
1.92,309.6039603960396,138.6138613861386,386.1386138613861,2574204.8,2573948.0,2574440.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
2.02,291.08910891089107,207.9207920792079,326.73267326732673,2574204.8,2573948.0,2574440.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
2.12,300.475635798874,297.029702970297,303.921568627451,2574138.0,2573948.0,2574328.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
2.13,278.58668219763155,247.5247524752475,303.921568627451,2574249.3333333335,2574036.0,2574440.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,10000000,sync_on,lock_stripping_p32_w1_i0_t10000000
