elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,72299.00990099009,72118.81188118811,72574.25742574257,3199596.0,3199368.0,3199820.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,100000,sync_off,lock_stripping_p32_w1_i0_t100000
0.2,74609.900990099,74356.43564356436,74841.58415841583,3199600.0,3199372.0,3199824.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,100000,sync_off,lock_stripping_p32_w1_i0_t100000
0.3,73716.8316831683,73633.66336633662,73811.8811881188,3199604.0,3199376.0,3199828.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,100000,sync_off,lock_stripping_p32_w1_i0_t100000
0.4,74326.73267326732,74227.72277227722,74405.9405940594,3199660.0,3199376.0,3199828.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,100000,sync_off,lock_stripping_p32_w1_i0_t100000
0.41,73563.72549019608,73558.82352941178,73568.62745098039,3199520.0,3199444.0,3199596.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,100000,sync_off,lock_stripping_p32_w1_i0_t100000
0.51,73231.68316831683,73148.51485148515,73326.73267326732,3199604.0,3199376.0,3199828.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,100000,sync_off,lock_stripping_p32_w1_i0_t100000
0.61,73210.658124636,72725.49019607843,73524.75247524751,3199604.0,3199376.0,3199828.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,100000,sync_off,lock_stripping_p32_w1_i0_t100000
0.71,72964.47291788002,72509.80392156863,73514.85148514851,3199604.0,3199376.0,3199828.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,100000,sync_off,lock_stripping_p32_w1_i0_t100000
0.81,73697.02970297029,73544.55445544554,73782.17821782178,3199604.0,3199376.0,3199828.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,100000,sync_off,lock_stripping_p32_w1_i0_t100000
0.91,74161.34731120171,73715.6862745098,74564.35643564355,3199604.0,3199376.0,3199828.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,100000,sync_off,lock_stripping_p32_w1_i0_t100000
1.01,73850.94156474472,73274.50980392157,74277.22772277227,3199604.0,3199376.0,3199828.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,100000,sync_off,lock_stripping_p32_w1_i0_t100000
1.11,75528.59638905067,75058.82352941178,75702.9702970297,3199604.0,3199376.0,3199828.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,100000,sync_off,lock_stripping_p32_w1_i0_t100000
1.21,74201.32013201319,74089.10891089108,74326.73267326732,3199660.0,3199376.0,3199828.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,100000,sync_off,lock_stripping_p32_w1_i0_t100000
1.22,73898.46631721995,73509.80392156863,74287.12871287129,3199520.0,3199444.0,3199596.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,100000,sync_off,lock_stripping_p32_w1_i0_t100000
1.31,72851.48514851485,72851.48514851485,72851.48514851485,3199776.0,3199776.0,3199776.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,100000,sync_off,lock_stripping_p32_w1_i0_t100000
1.32,72416.4725296059,72166.66666666667,72920.79207920791,3199561.0,3199376.0,3199828.0,1935856.0,1935856.0,1935856.0,0.0,0.0,lock_stripping,32,1,0,100000,sync_off,lock_stripping_p32_w1_i0_t100000
