elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,96434.24771888953,94754.90196078432,99650.0,2048072.8,2021404.0,2070096.0,148398.6,120369.0,168090.0,0.0,0.0,engine,1,1,0,100000,sync_off,engine_p1_w1_i0_t100000
0.2,100923.09756800922,100237.62376237623,101300.0,2067664.0,2040732.0,2090312.0,154259.2,125535.0,174312.0,0.0,0.0,engine,1,1,0,100000,sync_off,engine_p1_w1_i0_t100000
0.3,100270.67326732674,99752.47524752475,100660.0,2077181.6,2050408.0,2098840.0,163322.6,134593.0,182503.0,0.0,0.0,engine,1,1,0,100000,sync_off,engine_p1_w1_i0_t100000
0.4,97813.38613861386,86455.44554455444,103460.0,2039896.0,1959204.0,2093620.0,121042.4,75313.0,187615.0,0.0,0.0,engine,1,1,0,100000,sync_off,engine_p1_w1_i0_t100000
0.5,99265.20792079208,90620.0,102020.0,2015101.6,1963044.0,2099160.0,126339.6,79952.0,192806.0,0.0,0.0,engine,1,1,0,100000,sync_off,engine_p1_w1_i0_t100000
0.6,100414.33663366336,98712.87128712871,101310.0,2019840.0,1966904.0,2104652.0,132310.4,87072.0,197947.0,0.0,0.0,engine,1,1,0,100000,sync_off,engine_p1_w1_i0_t100000
0.7,96688.39603960395,89300.0,99440.0,1976703.2,1972048.0,1985044.0,102751.6,90334.0,142056.0,0.0,0.0,engine,1,1,0,100000,sync_off,engine_p1_w1_i0_t100000
0.8,101633.79537953796,100861.38613861386,102440.0,1978286.6666666667,1975408.0,1980656.0,100711.0,97232.0,103475.0,0.0,0.0,engine,1,1,0,100000,sync_off,engine_p1_w1_i0_t100000
0.81,101434.85148514851,101029.70297029702,101840.0,1984190.0,1978864.0,1989516.0,121921.5,96508.0,147335.0,0.0,0.0,engine,1,1,0,100000,sync_off,engine_p1_w1_i0_t100000
0.9,101513.5313531353,100871.28712871287,102600.0,1982910.6666666667,1979828.0,1985940.0,107605.0,104489.0,109620.0,0.0,0.0,engine,1,1,0,100000,sync_off,engine_p1_w1_i0_t100000
0.91,101263.0198019802,100396.0396039604,102130.0,1988892.0,1983048.0,1994736.0,128155.0,103789.0,152521.0,0.0,0.0,engine,1,1,0,100000,sync_off,engine_p1_w1_i0_t100000
1.0,102610.0,102300.0,103250.0,1988292.0,1985196.0,1990296.0,113705.0,111148.0,116856.0,0.0,0.0,engine,1,1,0,100000,sync_off,engine_p1_w1_i0_t100000
1.01,102130.0,102130.0,102130.0,2000144.0,2000144.0,2000144.0,157854.0,157854.0,157854.0,0.0,0.0,engine,1,1,0,100000,sync_off,engine_p1_w1_i0_t100000
1.1,100526.76567656767,99970.29702970297,100990.0,1993245.3333333333,1991508.0,1994484.0,121432.33333333333,118032.0,124075.0,0.0,0.0,engine,1,1,0,100000,sync_off,engine_p1_w1_i0_t100000
