elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,642.0,620.0,670.0,1386511.2,1383256.0,1390460.0,115458.8,115447.0,115471.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
0.2,709.2079207920792,683.1683168316831,720.0,1386620.0,1383348.0,1390584.0,115499.8,115488.0,115511.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
0.3,642.1782178217821,623.7623762376237,660.0,1386740.0,1383468.0,1390688.0,115533.6,115524.0,115543.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
0.4,614.8316831683168,584.1584158415841,630.0,1386875.2,1383616.0,1390832.0,115561.8,115550.0,115571.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
0.5,728.5940594059406,700.0,770.0,1386972.0,1383700.0,1390936.0,115604.6,115593.0,115616.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
0.6,747.4653465346535,690.0,780.0,1387098.4,1383832.0,1391060.0,115645.2,115636.0,115656.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
0.7,618.7128712871287,590.0,643.5643564356435,1387214.4,1383948.0,1391172.0,115678.8,115671.0,115688.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
0.8,694.6138613861386,640.0,750.0,1387330.4,1384080.0,1391284.0,115715.2,115707.0,115727.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
0.9,706.3762376237623,673.2673267326733,732.6732673267326,1387457.6,1384200.0,1391416.0,115748.6,115738.0,115760.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
1.0,628.0,600.0,640.0,1387547.2,1384312.0,1391488.0,115788.2,115778.0,115799.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
1.1,656.8118811881188,594.059405940594,700.0,1387635.2,1384396.0,1391588.0,115825.0,115814.0,115837.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
1.2,552.2277227722772,544.5544554455445,564.3564356435643,1388101.0,1384496.0,1391684.0,115852.0,115844.0,115866.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
1.21,554.4554455445544,554.4554455445544,554.4554455445544,1386240.0,1386240.0,1386240.0,115854.0,115854.0,115854.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
1.3,674.6336633663366,620.0,740.0,1387849.6,1384628.0,1391808.0,115885.6,115873.0,115898.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
1.4,652.5,570.0,730.0,1388342.0,1384744.0,1391912.0,115915.5,115906.0,115928.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
1.41,712.8712871287129,712.8712871287129,712.8712871287129,1386492.0,1386492.0,1386492.0,115920.0,115920.0,115920.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
1.5,637.7722772277227,603.9603960396039,663.3663366336633,1388447.0,1384856.0,1392028.0,115949.25,115940.0,115961.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
1.51,630.0,630.0,630.0,1386588.0,1386588.0,1386588.0,115956.0,115956.0,115956.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
1.6,655.9158415841584,630.0,700.0,1388580.0,1385008.0,1392132.0,115974.75,115964.0,115987.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
1.61,600.0,600.0,600.0,1386712.0,1386712.0,1386712.0,115979.0,115979.0,115979.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
1.71,560.6534653465346,260.0,673.2673267326733,1388307.2,1385100.0,1392248.0,116001.4,115980.0,116015.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
1.8,670.0,670.0,670.0,1392388.0,1392388.0,1392388.0,116039.0,116039.0,116039.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
1.81,578.3910891089108,386.1386138613861,670.0,1387421.0,1385200.0,1390304.0,116029.25,115994.0,116049.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
1.91,680.4950495049504,360.0,800.0,1388528.8,1385344.0,1392496.0,116063.0,116008.0,116083.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
2.01,660.5346534653465,310.0,810.0,1388624.8,1385460.0,1392604.0,116095.0,116029.0,116120.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
2.11,634.4158415841583,366.3366336633663,722.7722772277227,1388732.8,1385580.0,1392732.0,116127.2,116048.0,116156.0,0.0,0.0,engine,1,1,0,10000000,sync_on,engine_p1_w1_i0_t10000000
