elapsed_s,mean,min,max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,line_label
1.0,95885.65891472869,95885.65891472869,95885.65891472869,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
2.1,103463.69796708616,103463.69796708616,103463.69796708616,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
3.1,103857.00483091788,103857.00483091788,103857.00483091788,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
4.1,102891.0318225651,102891.0318225651,102891.0318225651,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
5.2,103326.58959537571,103326.58959537571,103326.58959537571,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
6.2,103745.90952839269,103745.90952839269,103745.90952839269,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
7.3,103804.6198267565,103804.6198267565,103804.6198267565,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
8.3,103028.84615384616,103028.84615384616,103028.84615384616,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
9.3,102752.1613832853,102752.1613832853,102752.1613832853,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
10.4,103285.98848368521,103285.98848368521,103285.98848368521,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
11.4,103761.03646833013,103761.03646833013,103761.03646833013,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
12.5,102818.61804222649,102818.61804222649,102818.61804222649,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
13.5,100550.7662835249,100550.7662835249,100550.7662835249,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
14.5,96083.4932821497,96083.4932821497,96083.4932821497,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
15.6,99863.72360844529,99863.72360844529,99863.72360844529,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
16.6,100242.80230326296,100242.80230326296,100242.80230326296,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
17.7,88312.85988483684,88312.85988483684,88312.85988483684,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
18.7,99742.80230326296,99742.80230326296,99742.80230326296,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
19.8,99717.43295019156,99717.43295019156,99717.43295019156,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
20.8,99568.55225311602,99568.55225311602,99568.55225311602,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
21.8,99629.91371045064,99629.91371045064,99629.91371045064,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
22.9,96668.26462128476,96668.26462128476,96668.26462128476,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
23.9,97148.46743295019,97148.46743295019,97148.46743295019,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
25.0,98239.69319271334,98239.69319271334,98239.69319271334,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
26.0,98137.10450623203,98137.10450623203,98137.10450623203,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
27.1,99757.43048897412,99757.43048897412,99757.43048897412,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
28.1,98989.46360153257,98989.46360153257,98989.46360153257,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
29.1,97755.51294343242,97755.51294343242,97755.51294343242,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
30.2,99631.83125599234,99631.83125599234,99631.83125599234,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
31.2,99651.96548418025,99651.96548418025,99651.96548418025,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
32.3,99904.12272291468,99904.12272291468,99904.12272291468,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
33.3,96709.49185043146,96709.49185043146,96709.49185043146,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
34.4,98294.62571976967,98294.62571976967,98294.62571976967,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
35.4,98223.62052274928,98223.62052274928,98223.62052274928,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
36.4,100009.59692898272,100009.59692898272,100009.59692898272,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
37.5,100021.09300095878,100021.09300095878,100021.09300095878,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
38.5,98959.69289827255,98959.69289827255,98959.69289827255,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
39.6,97461.16970278045,97461.16970278045,97461.16970278045,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
40.6,99964.52540747843,99964.52540747843,99964.52540747843,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
41.6,96880.03838771593,96880.03838771593,96880.03838771593,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
42.7,97379.07869481765,97379.07869481765,97379.07869481765,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
43.7,97154.36241610738,97154.36241610738,97154.36241610738,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
44.8,99269.41514860978,99269.41514860978,99269.41514860978,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
45.8,99306.14203454895,99306.14203454895,99306.14203454895,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
46.9,98923.22456813819,98923.22456813819,98923.22456813819,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
47.9,98701.82166826463,98701.82166826463,98701.82166826463,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
48.9,100755.2783109405,100755.2783109405,100755.2783109405,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
50.0,101887.82358581017,101887.82358581017,101887.82358581017,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
51.0,101889.52929875121,101889.52929875121,101889.52929875121,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
52.1,102380.9980806142,102380.9980806142,102380.9980806142,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
53.1,103152.59117082533,103152.59117082533,103152.59117082533,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
54.2,101072.93666026871,101072.93666026871,101072.93666026871,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
55.2,100268.7140115163,100268.7140115163,100268.7140115163,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
56.2,100219.76967370442,100219.76967370442,100219.76967370442,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
57.3,89430.90211132438,89430.90211132438,89430.90211132438,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
58.3,100720.30651340996,100720.30651340996,100720.30651340996,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
59.4,100011.49425287356,100011.49425287356,100011.49425287356,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
60.4,99609.61538461538,99609.61538461538,99609.61538461538,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
61.5,98027.8310940499,98027.8310940499,98027.8310940499,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
62.5,97827.42090124641,97827.42090124641,97827.42090124641,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
63.5,97536.46833013435,97536.46833013435,97536.46833013435,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
64.6,99132.43761996161,99132.43761996161,99132.43761996161,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
65.6,99044.18828049953,99044.18828049953,99044.18828049953,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
66.7,99598.27420901247,99598.27420901247,99598.27420901247,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
67.7,97970.24952015355,97970.24952015355,97970.24952015355,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
68.7,99307.76605944392,99307.76605944392,99307.76605944392,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
69.8,97692.23394055609,97692.23394055609,97692.23394055609,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
70.8,98611.32437619961,98611.32437619961,98611.32437619961,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
71.9,100202.49520153551,100202.49520153551,100202.49520153551,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
72.9,97821.66826462129,97821.66826462129,97821.66826462129,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
74.0,99623.80038387715,99623.80038387715,99623.80038387715,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
75.0,99676.89357622244,99676.89357622244,99676.89357622244,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
76.0,99218.60019175457,99218.60019175457,99218.60019175457,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
77.1,98672.74472168906,98672.74472168906,98672.74472168906,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
78.1,97785.02879078695,97785.02879078695,97785.02879078695,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
79.2,99028.7631831256,99028.7631831256,99028.7631831256,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
80.2,99002.87631831257,99002.87631831257,99002.87631831257,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
81.3,100059.5009596929,100059.5009596929,100059.5009596929,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
82.3,99513.90220517738,99513.90220517738,99513.90220517738,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
83.3,98388.67562380039,98388.67562380039,98388.67562380039,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
84.4,98933.84467881113,98933.84467881113,98933.84467881113,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
85.4,99471.71620325983,99471.71620325983,99471.71620325983,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
86.5,98851.39022051774,98851.39022051774,98851.39022051774,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
87.5,99901.15163147793,99901.15163147793,99901.15163147793,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
88.6,95084.3720038351,95084.3720038351,95084.3720038351,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
89.6,100180.42226487523,100180.42226487523,100180.42226487523,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
90.6,101544.13191076626,101544.13191076626,101544.13191076626,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
91.7,102247.60076775431,102247.60076775431,102247.60076775431,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
92.7,103121.88099808061,103121.88099808061,103121.88099808061,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
93.8,102603.64683301344,102603.64683301344,102603.64683301344,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
94.8,100598.84836852207,100598.84836852207,100598.84836852207,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
95.8,100902.97790585976,100902.97790585976,100902.97790585976,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
96.9,99885.16746411484,99885.16746411484,99885.16746411484,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
97.9,96040.30710172745,96040.30710172745,96040.30710172745,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
99.0,99853.16698656429,99853.16698656429,99853.16698656429,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
