elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,3944.6411574338476,1715.686274509804,5725.490196078432,892504.0,854716.0,909308.0,192652.2,175078.0,205553.0,0.0,0.0,lock_stripping,32,1,0,200000,sync_on,lock_stripping_p32_w1_i0_t200000
0.2,3807.538549400343,1882.3529411764707,5582.524271844661,895221.6,856412.0,913744.0,185121.6,167558.0,201767.0,0.0,0.0,lock_stripping,32,1,0,200000,sync_on,lock_stripping_p32_w1_i0_t200000
0.31,4425.242718446602,1456.3106796116506,6708.737864077671,898727.2,858032.0,918824.0,179101.8,167594.0,198003.0,0.0,0.0,lock_stripping,32,1,0,200000,sync_on,lock_stripping_p32_w1_i0_t200000
0.41,4353.342046303212,1660.1941747572816,6747.572815533981,902232.8,859160.0,924500.0,172258.6,163849.0,190469.0,0.0,0.0,lock_stripping,32,1,0,200000,sync_on,lock_stripping_p32_w1_i0_t200000
0.51,5699.0291262135925,5699.0291262135925,5699.0291262135925,904756.0,904756.0,904756.0,179168.0,179168.0,179168.0,0.0,0.0,lock_stripping,32,1,0,200000,sync_on,lock_stripping_p32_w1_i0_t200000
0.52,5288.018110530246,2192.3076923076924,6815.533980582524,906403.0,860652.0,927092.0,164794.0,163871.0,167544.0,0.0,0.0,lock_stripping,32,1,0,200000,sync_on,lock_stripping_p32_w1_i0_t200000
0.62,4968.707991038088,1211.5384615384617,6592.233009708738,908642.4,861220.0,929548.0,165380.2,163906.0,167608.0,0.0,0.0,lock_stripping,32,1,0,200000,sync_on,lock_stripping_p32_w1_i0_t200000
0.72,5819.2307692307695,2368.9320388349515,7586.538461538462,912024.0,863296.0,932580.0,164654.2,163863.0,167562.0,0.0,0.0,lock_stripping,32,1,0,200000,sync_on,lock_stripping_p32_w1_i0_t200000
0.82,6868.122977346279,4750.0,8650.485436893205,927896.0,916332.0,936032.0,163957.66666666666,163898.0,163996.0,0.0,0.0,lock_stripping,32,1,0,200000,sync_on,lock_stripping_p32_w1_i0_t200000
0.83,5019.2307692307695,2346.153846153846,7692.307692307692,895242.0,865056.0,925428.0,165776.0,163978.0,167574.0,0.0,0.0,lock_stripping,32,1,0,200000,sync_on,lock_stripping_p32_w1_i0_t200000
0.93,5815.496639283047,1679.611650485437,7786.407766990292,917262.4,866236.0,938236.0,164715.0,163932.0,167584.0,0.0,0.0,lock_stripping,32,1,0,200000,sync_on,lock_stripping_p32_w1_i0_t200000
1.03,5591.150112023899,1451.923076923077,7105.769230769231,919601.6,867208.0,940672.0,164743.8,163966.0,167595.0,0.0,0.0,lock_stripping,32,1,0,200000,sync_on,lock_stripping_p32_w1_i0_t200000
1.14,5412.994772218074,2320.3883495145633,7097.087378640777,921805.6,869252.0,942524.0,164775.0,163999.0,167608.0,0.0,0.0,lock_stripping,32,1,0,200000,sync_on,lock_stripping_p32_w1_i0_t200000
1.24,5451.21359223301,1000.0,6902.9126213592235,923468.0,869948.0,944436.0,164857.2,164033.0,167877.0,0.0,0.0,lock_stripping,32,1,0,200000,sync_on,lock_stripping_p32_w1_i0_t200000
1.34,6075.784167289023,2728.1553398058254,7490.384615384616,925643.2,872700.0,945928.0,164079.4,163847.0,164171.0,0.0,0.0,lock_stripping,32,1,0,200000,sync_on,lock_stripping_p32_w1_i0_t200000
