elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,124829.37369122407,122087.3786407767,127127.45098039217,874491.2,862064.0,911988.0,174222.2,174203.0,174258.0,0.0,0.0,hard,32,3,0,20000,sync_off,hard_p32_w3_i0_t20000
0.2,142082.98115362652,141679.61165048546,143088.23529411765,894821.6,882964.0,931680.0,171477.0,171458.0,171491.0,0.0,0.0,hard,32,3,0,20000,sync_off,hard_p32_w3_i0_t20000
0.31,142671.84466019418,140893.20388349515,144640.77669902914,909447.2,898304.0,946368.0,168630.2,164691.0,172270.0,0.0,0.0,hard,32,3,0,20000,sync_off,hard_p32_w3_i0_t20000
0.41,139555.76923076922,136067.3076923077,141788.46153846153,922435.2,911252.0,960124.0,163502.0,161417.0,169443.0,0.0,0.0,hard,32,3,0,20000,sync_off,hard_p32_w3_i0_t20000
0.52,143615.5153099328,140971.15384615384,147067.96116504856,936857.6,926000.0,973488.0,160699.2,155564.0,171666.0,0.0,0.0,hard,32,3,0,20000,sync_off,hard_p32_w3_i0_t20000
0.62,140463.46153846156,125288.46153846155,144682.6923076923,949121.6,938580.0,983916.0,158988.2,155902.0,167049.0,0.0,0.0,hard,32,3,0,20000,sync_off,hard_p32_w3_i0_t20000
0.72,142642.36370425692,135519.23076923078,145461.53846153847,961923.2,951200.0,997700.0,158778.8,156275.0,167849.0,0.0,0.0,hard,32,3,0,20000,sync_off,hard_p32_w3_i0_t20000
0.83,139844.4738399538,134169.81132075473,143586.53846153847,975926.4,963260.0,1010536.0,153469.4,146129.0,164869.0,0.0,0.0,hard,32,3,0,20000,sync_off,hard_p32_w3_i0_t20000
0.93,143786.33308439134,138990.38461538462,146298.07692307694,988328.0,975168.0,1022680.0,153018.0,146455.0,165688.0,0.0,0.0,hard,32,3,0,20000,sync_off,hard_p32_w3_i0_t20000
1.03,140151.48898431665,137692.3076923077,142586.53846153847,1002642.0,986724.0,1034592.0,154321.5,149009.0,160067.0,0.0,0.0,hard,32,3,0,20000,sync_off,hard_p32_w3_i0_t20000
1.04,136817.3076923077,136817.3076923077,136817.3076923077,994316.0,994316.0,994316.0,148830.0,148830.0,148830.0,0.0,0.0,hard,32,3,0,20000,sync_off,hard_p32_w3_i0_t20000
1.14,140715.01120238987,136259.6153846154,144126.21359223302,1013100.8,998280.0,1045728.0,153309.0,149582.0,161292.0,0.0,0.0,hard,32,3,0,20000,sync_off,hard_p32_w3_i0_t20000
