elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,6764.3564356435645,3811.8811881188117,8930.69306930693,4498372.0,4497532.0,4499092.0,1982660.8,1982200.0,1983052.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
0.2,4961.522034556397,1673.2673267326732,7529.411764705883,4498429.6,4497608.0,4499116.0,1982721.6,1982276.0,1983088.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
0.3,4333.546884100175,1633.6633663366335,6584.1584158415835,4498496.8,4497708.0,4499148.0,1982791.2,1982388.0,1983116.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
0.41,4546.554067171423,656.8627450980392,7099.009900990099,4498564.0,4497808.0,4499180.0,1982858.4,1982476.0,1983204.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
0.51,5328.130460104834,2257.425742574257,8274.50980392157,4498623.2,4497884.0,4499208.0,1982906.4,1982548.0,1983272.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
0.61,5905.183459522423,2519.6078431372553,9287.128712871287,4498677.6,4497960.0,4499276.0,1982961.6,1982628.0,1983344.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
0.71,5284.488448844884,1405.9405940594058,8333.333333333334,4498724.0,4498032.0,4499336.0,1983013.6,1982696.0,1983416.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
0.81,5694.486507474277,1460.7843137254904,10029.702970297029,4498784.0,4498112.0,4499412.0,1983070.4,1982752.0,1983484.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
0.91,5682.4111822947,2495.049504950495,7754.901960784314,4498836.0,4498176.0,4499496.0,1983124.0,1982832.0,1983560.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
1.01,4249.932052028732,1882.3529411764707,6683.168316831683,4498884.0,4498244.0,4499560.0,1983178.4,1982904.0,1983636.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
1.11,5227.722772277228,1514.8514851485147,8445.544554455446,4499105.0,4498668.0,4499648.0,1983301.0,1982984.0,1983720.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
1.12,6754.901960784314,6754.901960784314,6754.901960784314,4498312.0,4498312.0,4498312.0,1982968.0,1982968.0,1982968.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
1.22,5286.4298194525345,2294.117647058824,8079.207920792079,4499002.4,4498396.0,4499732.0,1983288.8,1983004.0,1983792.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
1.32,4757.348087749951,376.2376237623762,9445.544554455444,4499052.8,4498460.0,4499788.0,1983336.8,1983036.0,1983860.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
1.42,5183.24597165599,1980.3921568627452,7774.509803921569,4499103.2,4498528.0,4499856.0,1983385.6,1983048.0,1983920.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
1.52,5421.840419336051,2465.3465346534654,7980.19801980198,4499148.8,4498604.0,4499904.0,1983435.2,1983084.0,1983980.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
1.62,4431.8578916715205,1722.7722772277227,6900.9900990099,4499202.4,4498680.0,4499988.0,1983483.2,1983096.0,1984048.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
1.72,4251.213356629781,1108.9108910891089,7475.247524752474,4499264.0,4498756.0,4500056.0,1983544.8,1983124.0,1984140.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
1.82,5196.51523975927,3303.921568627451,7089.108910891088,4499494.0,4498848.0,4500140.0,1983684.0,1983148.0,1984220.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
1.83,5366.013071895425,3000.0,6823.529411764706,4499198.666666667,4498832.0,4499556.0,1983545.3333333333,1983496.0,1983636.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
1.93,5240.555231993787,1762.3762376237623,7519.607843137255,4499365.6,4498872.0,4500200.0,1983656.0,1983180.0,1984276.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
2.03,5444.962143273151,1549.0196078431375,7950.980392156864,4499443.2,4498904.0,4500264.0,1983704.0,1983188.0,1984340.0,0.0,0.2,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
2.13,6021.199767035527,3274.5098039215686,8267.326732673268,4499492.0,4498916.0,4500328.0,1983749.6,1983208.0,1984408.0,0.0,0.2,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
2.23,5101.611337604349,1127.450980392157,8564.356435643564,4499536.8,4498928.0,4500416.0,1983803.2,1983244.0,1984480.0,0.0,0.2,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
2.33,5530.130071830712,2784.3137254901962,9500.0,4499591.2,4498956.0,4500476.0,1983852.8,1983264.0,1984556.0,0.0,0.2,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
2.43,4654.266161910308,1676.4705882352941,7881.1881188118805,4499737.0,4498988.0,4500560.0,1983896.0,1983296.0,1984616.0,0.0,0.25,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
2.44,7754.901960784314,7754.901960784314,7754.901960784314,4499288.0,4499288.0,4499288.0,1983940.0,1983940.0,1983940.0,0.0,0.0,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
2.54,4665.618326538536,2078.4313725490197,7217.821782178217,4499700.0,4499016.0,4500624.0,1983950.4,1983308.0,1984692.0,0.0,0.2,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
2.64,4752.242283051834,2568.6274509803925,8287.128712871287,4499749.6,4499044.0,4500696.0,1984002.4,1983328.0,1984756.0,0.0,0.2,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
2.74,5035.5270821199765,2742.5742574257424,7534.653465346534,4499800.0,4499064.0,4500752.0,1984058.4,1983364.0,1984840.0,0.0,0.2,hard,32,1,10000,200000,sync_on,hard_p32_w1_i10000_t200000
