elapsed_s,mean,min,max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,line_label
1.1,522996.215704825,522996.215704825,522996.215704825,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
2.1,382614.2034548944,382614.2034548944,382614.2034548944,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
3.1,261869.73180076628,261869.73180076628,261869.73180076628,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
4.2,259830.29721955897,259830.29721955897,259830.29721955897,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
5.2,259006.79611650485,259006.79611650485,259006.79611650485,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
6.3,261607.10854947168,261607.10854947168,261607.10854947168,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
7.3,260673.39097022096,260673.39097022096,260673.39097022096,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
8.3,278376.4367816092,278376.4367816092,278376.4367816092,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
9.4,263739.2138063279,263739.2138063279,263739.2138063279,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
10.4,264098.6590038314,264098.6590038314,264098.6590038314,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
11.5,262925.2873563218,262925.2873563218,262925.2873563218,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
12.5,263629.3103448276,263629.3103448276,263629.3103448276,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
13.6,228639.846743295,228639.846743295,228639.846743295,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
14.6,272986.57718120806,272986.57718120806,272986.57718120806,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
15.6,326080.61420345487,326080.61420345487,326080.61420345487,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
16.7,260768.19923371647,260768.19923371647,260768.19923371647,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
17.7,259681.0344827586,259681.0344827586,259681.0344827586,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
18.8,260462.80193236718,260462.80193236718,260462.80193236718,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
19.8,259795.97701149425,259795.97701149425,259795.97701149425,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
20.9,263310.6423777565,263310.6423777565,263310.6423777565,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
21.9,257560.3448275862,257560.3448275862,257560.3448275862,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
22.9,232398.84947267498,232398.84947267498,232398.84947267498,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
24.0,257256.70498084291,257256.70498084291,257256.70498084291,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
25.0,261239.46360153257,261239.46360153257,261239.46360153257,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
26.1,257639.50143815918,257639.50143815918,257639.50143815918,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
27.1,209830.45977011495,209830.45977011495,209830.45977011495,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
28.2,251359.19540229885,251359.19540229885,251359.19540229885,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
29.2,257716.47509578543,257716.47509578543,257716.47509578543,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
30.2,259224.13793103446,259224.13793103446,259224.13793103446,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
31.3,256465.5172413793,256465.5172413793,256465.5172413793,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
32.3,199556.1959654179,199556.1959654179,199556.1959654179,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
33.4,260618.77394636013,260618.77394636013,260618.77394636013,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
34.4,261063.27900287634,261063.27900287634,261063.27900287634,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
35.5,262814.1762452107,262814.1762452107,262814.1762452107,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
36.5,260950.19157088123,260950.19157088123,260950.19157088123,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
1.0,527087.2093023256,527087.2093023256,527087.2093023256,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
2.1,471415.2952565344,471415.2952565344,471415.2952565344,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
3.1,422492.277992278,422492.277992278,422492.277992278,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
4.1,323464.80231436837,323464.80231436837,323464.80231436837,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
5.2,257384.0230991338,257384.0230991338,257384.0230991338,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
6.2,256350.3368623677,256350.3368623677,256350.3368623677,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
7.3,261784.82228626322,261784.82228626322,261784.82228626322,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
8.3,263251.4395393474,263251.4395393474,263251.4395393474,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
9.3,272625.36023054755,272625.36023054755,272625.36023054755,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
10.4,262644.5725264169,262644.5725264169,262644.5725264169,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
11.4,259975.98463016332,259975.98463016332,259975.98463016332,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
12.5,266135.44668587897,266135.44668587897,266135.44668587897,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
13.5,263869.3563880884,263869.3563880884,263869.3563880884,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
14.5,263620.5571565802,263620.5571565802,263620.5571565802,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
15.6,263601.3448607109,263601.3448607109,263601.3448607109,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
16.6,421247.83861671475,421247.83861671475,421247.83861671475,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
17.7,404274.47216890595,404274.47216890595,404274.47216890595,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
18.7,304336.8522072937,304336.8522072937,304336.8522072937,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
19.8,271481.3039309684,271481.3039309684,271481.3039309684,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
20.8,264247.1264367816,264247.1264367816,264247.1264367816,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
21.8,261221.2643678161,261221.2643678161,261221.2643678161,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
22.9,399879.1946308725,399879.1946308725,399879.1946308725,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
23.9,333856.0460652591,333856.0460652591,333856.0460652591,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
25.0,268094.8275862069,268094.8275862069,268094.8275862069,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
26.0,271680.72866730584,271680.72866730584,271680.72866730584,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
27.1,263210.5263157895,263210.5263157895,263210.5263157895,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
28.1,264573.4870317003,264573.4870317003,264573.4870317003,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
29.1,265598.6590038314,265598.6590038314,265598.6590038314,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
30.2,267018.21668264625,267018.21668264625,267018.21668264625,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
31.2,272228.92720306513,272228.92720306513,272228.92720306513,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
32.3,329570.6051873199,329570.6051873199,329570.6051873199,1.0,1.0,hard,1,1,5000,hard_p1_w1_i5000
1.0,718231.5891472868,718231.5891472868,718231.5891472868,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
2.1,722944.820909971,722944.820909971,722944.820909971,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
3.1,722947.8260869565,722947.8260869565,722947.8260869565,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
4.1,721095.4676952749,721095.4676952749,721095.4676952749,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
5.2,715665.380906461,715665.380906461,715665.380906461,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
6.2,617939.364773821,617939.364773821,617939.364773821,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
7.3,628891.2415784409,628891.2415784409,628891.2415784409,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
8.3,627523.0769230769,627523.0769230769,627523.0769230769,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
9.3,639870.3170028819,639870.3170028819,639870.3170028819,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
10.4,641076.7754318618,641076.7754318618,641076.7754318618,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
11.4,642790.7869481766,642790.7869481766,642790.7869481766,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
12.5,636490.874159462,636490.874159462,636490.874159462,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
13.5,644255.2783109405,644255.2783109405,644255.2783109405,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
14.5,655182.3416506718,655182.3416506718,655182.3416506718,1.0,1.0,hard,8,1,0,hard_p8_w1_i0
1.0,715068.8651794374,715068.8651794374,715068.8651794374,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
2.1,545539.1304347826,545539.1304347826,545539.1304347826,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
3.1,670407.7294685991,670407.7294685991,670407.7294685991,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
4.1,682547.7338476374,682547.7338476374,682547.7338476374,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
5.2,699995.1783992286,699995.1783992286,699995.1783992286,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
6.2,645815.2069297401,645815.2069297401,645815.2069297401,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
7.3,583614.423076923,583614.423076923,583614.423076923,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
8.3,668758.4215591915,668758.4215591915,668758.4215591915,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
9.3,792065.3021442496,792065.3021442496,792065.3021442496,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
10.4,804195.9654178675,804195.9654178675,804195.9654178675,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
11.4,552579.6545105566,552579.6545105566,552579.6545105566,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
12.4,639728.6673058486,639728.6673058486,639728.6673058486,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
13.5,685656.0999039386,685656.0999039386,685656.0999039386,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
14.5,740915.547024952,740915.547024952,740915.547024952,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
1.0,505297.5047984645,505297.5047984645,505297.5047984645,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
2.1,471133.5282651072,471133.5282651072,471133.5282651072,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
3.1,464908.7415946206,464908.7415946206,464908.7415946206,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
4.2,466048.0307396734,466048.0307396734,466048.0307396734,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
5.2,459916.4265129683,459916.4265129683,459916.4265129683,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
6.2,464852.065321806,464852.065321806,464852.065321806,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
7.3,463726.2247838617,463726.2247838617,463726.2247838617,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
8.3,469814.9568552253,469814.9568552253,469814.9568552253,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
9.4,460073.75478927203,460073.75478927203,460073.75478927203,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
10.4,460282.8379674018,460282.8379674018,460282.8379674018,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
11.4,466099.61685823754,466099.61685823754,466099.61685823754,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
12.5,468948.22627037397,468948.22627037397,468948.22627037397,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
13.5,468908.0459770115,468908.0459770115,468908.0459770115,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
14.6,465763.40996168583,465763.40996168583,465763.40996168583,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
15.6,384734.87031700293,384734.87031700293,384734.87031700293,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
16.7,458231.80076628353,458231.80076628353,458231.80076628353,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
17.7,457727.01149425283,457727.01149425283,457727.01149425283,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
18.8,457177.3729626079,457177.3729626079,457177.3729626079,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
19.8,467256.48414985597,467256.48414985597,467256.48414985597,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
20.8,469417.6245210728,469417.6245210728,469417.6245210728,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
