elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,206149.52475247523,196059.40594059404,224326.7326732673,2034928.8,2024612.0,2057824.0,154604.4,116494.0,164262.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.2,178320.0396039604,151980.19801980196,233230.0,2049001.6,2038636.0,2072640.0,155534.8,117460.0,165475.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.3,163893.08910891088,151514.8514851485,181940.59405940594,2051402.4,2041100.0,2074596.0,156387.6,118409.0,166395.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.4,158305.30693069304,152500.0,176630.0,2052667.2,2042412.0,2075860.0,157197.6,119315.0,167165.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.5,161012.01980198018,149460.0,192640.0,2053752.0,2043356.0,2077104.0,158028.4,120294.0,167908.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.6,156046.0792079208,147504.9504950495,169455.44554455444,2054842.4,2044572.0,2078576.0,158851.8,121184.0,168681.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.7,157193.94059405942,148690.0,182110.0,2055896.8,2045608.0,2079516.0,159663.6,121957.0,169450.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.8,154568.53465346532,147772.27722772275,168168.31683168316,2056856.0,2046540.0,2080492.0,160453.2,122704.0,170196.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.9,152763.09405940594,150040.0,158800.0,2058653.0,2047400.0,2081296.0,158923.5,123454.0,170968.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.91,152079.20792079208,152079.20792079208,152079.20792079208,2054088.0,2054088.0,2054088.0,170494.0,170494.0,170494.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
1.0,153322.17821782178,149910.8910891089,154740.0,2058612.0,2048180.0,2082272.0,162035.0,124252.0,171741.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
1.1,154543.72277227725,150346.53465346535,160000.0,2059533.6,2049132.0,2083184.0,164838.0,129092.0,176555.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
1.2,159310.0,159310.0,159310.0,2084012.0,2084012.0,2084012.0,129902.0,129902.0,129902.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
1.21,178684.3316831683,160495.0495049505,223750.0,2054626.0,2050304.0,2058024.0,177196.5,176867.0,177387.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
1.3,134240.0,134240.0,134240.0,1951948.0,1951948.0,1951948.0,65910.0,65910.0,65910.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
1.31,163226.33663366336,146560.0,186881.18811881187,1993732.0,1951064.0,2051564.0,94133.5,65501.0,178268.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
1.41,158968.2376237624,144870.0,167160.0,1952484.0,1952028.0,1952820.0,67662.6,66595.0,68947.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
1.5,170470.0,170470.0,170470.0,1952836.0,1952836.0,1952836.0,70706.0,70706.0,70706.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
1.51,169904.40594059406,165940.59405940594,173650.0,1952906.0,1952424.0,1953292.0,70561.0,69575.0,71859.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
1.61,169540.21782178216,164257.42574257424,174500.0,1953464.0,1952932.0,1954400.0,73308.8,72454.0,74773.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
1.71,171562.099009901,163287.1287128713,176730.0,1954204.8,1953728.0,1955300.0,76242.4,75395.0,77644.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
1.81,175386.51485148515,170180.0,191420.0,1954768.8,1954368.0,1955652.0,78566.2,78077.0,79520.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
1.91,181767.2673267327,166366.33663366336,224540.0,1955909.6,1954996.0,1956404.0,81365.0,80294.0,82494.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
2.01,175066.33663366336,165336.63366336632,188287.1287128713,1957076.0,1956056.0,1957468.0,84105.4,83261.0,85350.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
2.11,173551.78217821784,167690.0,177340.0,1958005.6,1956584.0,1958488.0,87034.0,86178.0,88215.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
2.21,173572.99009900988,165870.0,179970.0,1958984.8,1957544.0,1959572.0,89784.6,89098.0,91146.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
2.31,173610.0198019802,167633.66336633664,177430.0,1959845.6,1958648.0,1960596.0,92137.4,91058.0,93059.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
2.41,173991.9603960396,170960.0,176830.0,1960686.4,1959792.0,1961672.0,94895.0,94045.0,95968.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
2.51,174055.66336633664,171920.79207920792,177130.0,1962771.2,1960812.0,1964628.0,97841.8,97007.0,98898.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
2.61,173401.48514851485,169790.0,175554.45544554453,1964400.0,1963036.0,1965716.0,100780.0,99969.0,101804.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
2.71,173632.41584158415,170613.8613861386,179500.0,1965371.2,1963424.0,1966860.0,103116.6,102080.0,103881.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
2.81,173398.69306930693,170370.0,175210.0,1966373.6,1964384.0,1967948.0,105678.2,104898.0,106708.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
2.91,173167.36633663366,168980.19801980196,175970.0,1967388.8,1965440.0,1968968.0,108624.2,107838.0,109665.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
3.01,175690.77227722772,172050.0,179890.0,1968672.0,1966528.0,1969972.0,111579.4,110799.0,112608.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
3.11,174055.74257425743,170250.0,177810.0,1970036.8,1968080.0,1971484.0,113897.6,112883.0,114742.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
3.21,173953.28712871287,166049.50495049503,179306.9306930693,1972234.4,1968964.0,1974552.0,116635.6,115547.0,117708.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
3.31,172338.8514851485,168790.0,177230.0,1973945.6,1971368.0,1975784.0,119366.4,118464.0,120390.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
3.41,174472.20297029702,171980.0,175790.0,1974762.0,1972332.0,1976976.0,122036.75,121367.0,122525.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
3.42,163554.45544554453,163554.45544554453,163554.45544554453,1975572.0,1975572.0,1975572.0,123269.0,123269.0,123269.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
3.51,176265.0,173860.0,178930.0,1975805.0,1973556.0,1978176.0,124501.0,123727.0,125516.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
3.52,169260.0,169260.0,169260.0,1976480.0,1976480.0,1976480.0,125170.0,125170.0,125170.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
3.61,174740.26402640264,169920.79207920792,177800.0,1977078.6666666667,1974844.0,1979376.0,127096.33333333333,126666.0,127330.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
3.62,171118.31683168316,167900.0,174336.63366336632,1976828.0,1976044.0,1977612.0,128300.0,128079.0,128521.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
3.71,175717.5,173970.0,177900.0,1980836.0,1977944.0,1984396.0,130132.5,129186.0,131468.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
3.72,171178.21782178216,171178.21782178216,171178.21782178216,1982668.0,1982668.0,1982668.0,131044.0,131044.0,131044.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
3.81,206536.66666666666,172450.0,272640.0,1983182.6666666667,1981048.0,1986096.0,132420.66666666666,131516.0,133689.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
3.82,172199.30693069307,169260.0,175138.61386138614,1983118.0,1982412.0,1983824.0,134207.0,133940.0,134474.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
3.91,276277.2277227723,276277.2277227723,276277.2277227723,1987852.0,1987852.0,1987852.0,136168.0,136168.0,136168.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
3.92,174741.43564356436,168810.0,178425.74257425743,1983567.0,1982252.0,1984980.0,135423.25,134480.0,136373.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
4.01,308830.0,308830.0,308830.0,1989800.0,1989800.0,1989800.0,139819.0,139819.0,139819.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
4.02,198637.62376237623,167089.10891089108,274570.0,1984889.0,1983444.0,1986152.0,138496.75,137950.0,139346.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
4.11,328630.0,328630.0,328630.0,1991752.0,1991752.0,1991752.0,143518.0,143518.0,143518.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
4.12,196435.79207920792,169460.0,269170.0,1986180.0,1984592.0,1987300.0,141541.5,140858.0,142283.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
4.21,339039.603960396,339039.603960396,339039.603960396,1993512.0,1993512.0,1993512.0,147340.0,147340.0,147340.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
4.22,195863.83663366336,165871.28712871287,265445.54455445544,1987437.0,1985764.0,1988376.0,144055.25,142752.0,145217.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
4.32,225506.0,171920.0,340550.0,1989997.6,1986936.0,1994892.0,147910.4,145643.0,151137.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
4.42,236829.6831683168,169510.0,343881.1881188119,1991542.4,1988404.0,1997104.0,150768.4,148798.0,153999.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
4.52,254073.6633663366,175140.0,342060.0,1993057.6,1990232.0,1999188.0,153908.6,152328.0,157779.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
4.62,255711.24752475246,172376.23762376237,338970.0,2000394.4,1992180.0,2010400.0,158265.8,155950.0,161614.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
4.72,256025.50495049506,162534.65346534652,335712.8712871287,2005756.8,2002860.0,2012048.0,161858.8,158792.0,166841.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
4.82,254385.56435643564,148080.0,344178.21782178216,2007127.2,2003720.0,2013848.0,163192.2,159549.0,168623.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
4.92,252594.7128712871,147350.0,347600.0,2008448.0,2004588.0,2015608.0,164491.0,160290.0,170367.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
5.02,252840.7326732673,147287.1287128713,346870.0,2009732.8,2005432.0,2017056.0,165803.4,160986.0,172113.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
5.12,265529.9603960396,148620.0,340019.801980198,2010973.6,2006404.0,2018104.0,167140.8,161715.0,173834.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
5.22,268200.6732673267,146534.65346534652,346000.0,2012360.0,2007236.0,2019832.0,168521.4,162465.0,175607.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
5.32,268256.21782178216,149860.0,347430.0,2013767.2,2008036.0,2021676.0,169901.4,163206.0,177383.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
5.42,267316.09900990094,144782.17821782178,353000.0,2015192.8,2008872.0,2023548.0,171300.6,163972.0,179177.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
5.52,268560.6138613861,150510.0,348830.0,2016567.2,2009660.0,2025296.0,172670.2,164759.0,180900.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
5.62,266284.03960396035,148990.0,346079.20792079205,2017884.8,2010232.0,2027056.0,174024.0,165484.0,182657.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
5.72,267912.4950495049,147980.19801980196,349830.0,2019168.8,2010484.0,2028836.0,175405.4,166299.0,184420.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
5.82,268981.88118811883,147270.0,350290.0,2020451.2,2011052.0,2030632.0,176794.4,167055.0,186202.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
5.92,268753.98019801977,147603.9603960396,349029.702970297,2021786.4,2011856.0,2032444.0,178218.0,167834.0,187997.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.02,297322.5,154370.0,345880.0,2025640.0,2012636.0,2034244.0,182339.0,170027.0,189770.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.03,149570.0,149570.0,149570.0,2013304.0,2013304.0,2013304.0,168574.0,168574.0,168574.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.12,266702.6732673267,147470.0,350350.0,2024585.6,2013416.0,2036072.0,181384.4,169324.0,193568.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.22,293166.88118811883,149346.53465346535,349540.0,2022813.0,1990392.0,2037848.0,186409.5,171529.0,197299.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.23,145702.9702970297,145702.9702970297,145702.9702970297,1990980.0,1990980.0,1990980.0,170111.0,170111.0,170111.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.32,173460.0,0.0,348830.0,2027508.0,2012172.0,2037848.0,192264.66666666666,189531.0,197299.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.33,150985.0,149220.0,152750.0,1994146.0,1993824.0,1994468.0,171570.0,170841.0,172299.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.42,194209.57095709568,94500.0,339118.81188118807,2013770.6666666667,2012288.0,2014896.0,172893.33333333334,133506.0,194826.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.43,150980.198019802,148287.1287128713,153673.26732673266,1994926.0,1994624.0,1995228.0,172326.0,171571.0,173081.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.52,148880.0,148880.0,148880.0,2017856.0,2017856.0,2017856.0,134274.0,134274.0,134274.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.53,202240.0,150050.0,344350.0,2005136.0,1995452.0,2015912.0,183992.5,172355.0,197529.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.62,222137.7887788779,150663.36633663366,348340.0,2016649.3333333333,2014116.0,2018184.0,134334.66666666666,71874.0,196066.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.63,150875.0,148470.0,153280.0,1996526.0,1996240.0,1996812.0,173898.5,173133.0,174664.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.72,155620.0,155620.0,155620.0,2018220.0,2018220.0,2018220.0,135874.0,135874.0,135874.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.73,202076.7326732673,148306.9306930693,344722.7722772277,2006903.0,1997108.0,2017960.0,123084.75,69208.0,175553.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.83,193454.0,147740.0,350380.0,2009625.6,1997900.0,2018220.0,126650.8,70027.0,176357.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.92,154760.0,154760.0,154760.0,2018220.0,2018220.0,2018220.0,137486.0,137486.0,137486.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
6.93,202141.43564356436,147980.0,349160.0,2007886.0,1998692.0,2017960.0,125177.75,70851.0,177137.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
7.03,196819.52475247523,148148.51485148515,346089.10891089105,2010286.4,1999524.0,2018260.0,128656.2,71665.0,177924.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
7.13,193389.78217821784,146310.0,350000.0,2010708.8,2000332.0,2018740.0,129657.6,72475.0,178733.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
7.23,204297.44554455444,149485.14851485146,351020.0,2011277.6,2001204.0,2019332.0,130707.4,73603.0,179553.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
7.33,205632.01980198018,148673.26732673266,342316.8316831683,2011960.0,2002052.0,2020104.0,131762.0,74767.0,180396.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
7.43,195722.55445544556,148640.0,353220.0,2012414.4,2002796.0,2020556.0,132775.2,75656.0,181136.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
7.53,192304.19801980196,150722.77227722772,350980.0,2012904.8,2003584.0,2020896.0,133775.2,76426.0,181943.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
7.63,191161.10891089108,147360.0,347900.9900990099,2013494.4,2004428.0,2021460.0,134747.4,77219.0,182765.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
