elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,7344.0,1630.0,9100.0,765896.0,757004.0,787952.0,115478.8,115439.0,115503.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.2,7878.39603960396,3020.0,9430.0,766570.4,757216.0,788728.0,115520.0,115452.0,115550.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.3,7480.871287128713,2019.8019801980197,9000.0,767342.4,757392.0,789648.0,115558.2,115465.0,115595.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.4,7198.0,2510.0,8540.0,768000.8,757608.0,790432.0,115600.0,115477.0,115645.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.5,7867.6435643564355,2320.0,9550.0,768688.0,757820.0,791284.0,115640.2,115492.0,115690.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.6,8382.158415841583,3158.415841584158,10356.435643564355,769469.6,758064.0,792052.0,115676.8,115503.0,115735.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.7,7942.0,2170.0,9830.0,770144.8,758248.0,792904.0,115715.2,115518.0,115780.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.8,7102.0,1900.9900990099009,8574.257425742573,770772.8,758432.0,793648.0,115755.8,115530.0,115827.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.9,7936.178217821782,2990.0,9530.0,771476.0,758744.0,794436.0,115796.0,115543.0,115875.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.0,7257.485148514851,1860.0,9257.425742574256,772166.4,758964.0,795208.0,115836.6,115555.0,115921.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.1,7121.0099009901,1841.5841584158416,8772.277227722772,772851.2,759180.0,796064.0,115879.0,115571.0,115972.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.2,8092.0,2450.0,9780.0,773557.6,759368.0,796876.0,115920.0,115587.0,116018.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.3,7560.316831683168,2410.0,9660.0,774232.0,759592.0,797740.0,115960.4,115599.0,116064.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.41,7555.821782178218,2148.5148514851485,9277.227722772277,774951.2,759788.0,798656.0,115999.4,115612.0,116112.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.5,7734.0,3030.0,9400.0,775703.2,760072.0,799464.0,116041.4,115625.0,116160.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.6,7360.0,3030.0,9420.0,776788.0,760316.0,800236.0,116052.5,115641.0,116209.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.61,8544.554455445545,8544.554455445545,8544.554455445545,775068.0,775068.0,775068.0,116209.0,116209.0,116209.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.71,7772.3564356435645,2059.4059405940593,9670.0,777099.2,760484.0,801020.0,116123.4,115655.0,116254.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.81,8108.891089108911,2320.0,10440.0,777895.2,760700.0,801960.0,116161.8,115671.0,116300.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.91,7998.297029702971,3090.0,9620.0,778655.2,761020.0,802848.0,116201.2,115684.0,116346.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
2.01,8519.90099009901,4019.8019801980195,10029.702970297029,779459.2,761388.0,803664.0,116239.4,115700.0,116387.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
2.11,7713.425742574257,2730.0,10300.0,780223.2,761648.0,804564.0,116275.4,115712.0,116431.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
2.21,7186.574257425743,3495.049504950495,9290.0,780921.6,761964.0,805480.0,116311.0,115728.0,116476.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
2.31,6999.069306930693,3080.0,10150.0,781598.4,762232.0,806292.0,116344.0,115742.0,116518.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
2.41,6557.5841584158425,2830.0,9750.0,782292.0,762464.0,807120.0,116377.8,115756.0,116562.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
2.51,6890.950495049505,2693.069306930693,10158.415841584158,783014.4,762688.0,808108.0,116411.2,115773.0,116609.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
2.61,6824.495049504951,2310.0,10100.0,783628.8,762844.0,808860.0,116443.2,115788.0,116655.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
2.71,7214.6138613861385,4080.0,9620.0,784336.0,763264.0,809712.0,116477.4,115802.0,116699.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
2.81,6206.554455445545,1730.0,9580.0,784973.6,763556.0,810720.0,116512.0,115818.0,116745.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
2.91,7085.960396039603,3861.386138613861,9420.0,785640.8,764012.0,811512.0,116544.4,115831.0,116792.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
3.01,6550.0,3060.0,8910.0,786226.4,764240.0,812304.0,116577.8,115844.0,116838.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
3.11,7097.841584158416,2227.7227722772277,10930.0,786905.6,764460.0,813292.0,116608.2,115857.0,116883.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
3.21,7169.861386138614,3128.7128712871286,10370.0,787575.2,764788.0,814204.0,116640.0,115871.0,116925.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
3.31,6914.0,2140.0,9900.0,788227.2,765000.0,815160.0,116673.0,115885.0,116970.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
