elapsed_s,mean,min,max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,line_label
1.0,159233.52713178293,159233.52713178293,159233.52713178293,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
2.1,189807.54352030947,189807.54352030947,189807.54352030947,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
3.1,188246.3768115942,188246.3768115942,188246.3768115942,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
4.1,188341.04046242774,188341.04046242774,188341.04046242774,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
5.2,186843.78013500484,186843.78013500484,186843.78013500484,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
6.2,187790.94412331405,187790.94412331405,187790.94412331405,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
7.3,187561.11645813283,187561.11645813283,187561.11645813283,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
8.3,189161.53846153847,189161.53846153847,189161.53846153847,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
9.3,187881.73076923075,187881.73076923075,187881.73076923075,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
10.4,189677.5431861804,189677.5431861804,189677.5431861804,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
11.4,188779.2706333973,188779.2706333973,188779.2706333973,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
12.5,187674.6641074856,187674.6641074856,187674.6641074856,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
13.5,188597.8886756238,188597.8886756238,188597.8886756238,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
14.5,189548.9443378119,189548.9443378119,189548.9443378119,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
15.6,187987.53595397892,187987.53595397892,187987.53595397892,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
16.6,186515.35508637235,186515.35508637235,186515.35508637235,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
17.7,187098.84836852207,187098.84836852207,187098.84836852207,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
18.7,187061.42034548943,187061.42034548943,187061.42034548943,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
19.8,187936.660268714,187936.660268714,187936.660268714,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
20.8,183805.36912751678,183805.36912751678,183805.36912751678,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
21.8,187773.51247600766,187773.51247600766,187773.51247600766,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
22.9,183965.45105566218,183965.45105566218,183965.45105566218,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
23.9,139434.74088291745,139434.74088291745,139434.74088291745,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
25.0,164360.15325670497,164360.15325670497,164360.15325670497,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
26.0,181041.2272291467,181041.2272291467,181041.2272291467,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
27.1,179908.8291746641,179908.8291746641,179908.8291746641,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
28.1,179425.14395393475,179425.14395393475,179425.14395393475,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
29.1,127000.0,127000.0,127000.0,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
30.2,160246.16858237548,160246.16858237548,160246.16858237548,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
31.2,180825.96153846153,180825.96153846153,180825.96153846153,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
32.3,180642.03454894433,180642.03454894433,180642.03454894433,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
33.3,179515.35508637235,179515.35508637235,179515.35508637235,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
34.3,178768.93576222437,178768.93576222437,178768.93576222437,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
35.4,176666.9865642994,176666.9865642994,176666.9865642994,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
36.4,177367.56238003838,177367.56238003838,177367.56238003838,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
37.5,176251.4395393474,176251.4395393474,176251.4395393474,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
38.5,178298.46449136277,178298.46449136277,178298.46449136277,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
39.6,179297.50479846448,179297.50479846448,179297.50479846448,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
40.6,177405.95009596928,177405.95009596928,177405.95009596928,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
41.6,176377.75647171622,176377.75647171622,176377.75647171622,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
42.7,177157.38963531668,177157.38963531668,177157.38963531668,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
43.7,176771.59309021113,176771.59309021113,176771.59309021113,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
44.8,176167.94625719768,176167.94625719768,176167.94625719768,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
45.8,175110.36468330133,175110.36468330133,175110.36468330133,1.0,1.0,hard,1,1,0,hard_p1_w1_i0
