elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,464.70588235294116,431.37254901960785,480.39215686274514,1011327.2,988008.0,1045936.0,176070.2,175315.0,179090.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.2,728.1553398058253,679.6116504854369,747.5728155339806,1118580.8,1095976.0,1155952.0,167501.6,167501.0,167503.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.31,766.990291262136,679.6116504854369,854.368932038835,1194727.2,1171896.0,1234764.0,167507.4,167504.0,167510.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.41,962.9387602688573,737.8640776699029,1145.6310679611652,1222490.4,1191060.0,1266796.0,167512.6,167510.0,167515.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.52,979.1262135922331,701.9230769230769,1145.6310679611652,1237711.2,1194784.0,1271940.0,167519.4,167512.0,167524.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.62,963.4802091112772,807.6923076923077,1135.9223300970875,1247243.2,1206884.0,1277224.0,167528.0,167521.0,167533.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.72,830.3584764749814,759.6153846153846,980.7692307692308,1258589.6,1230000.0,1292200.0,167534.0,167531.0,167539.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.82,928.8025889967638,873.7864077669904,990.2912621359224,1279729.3333333333,1250680.0,1296312.0,167541.33333333334,167535.0,167548.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.83,759.6153846153846,596.1538461538462,923.0769230769231,1254230.0,1238644.0,1269816.0,167541.0,167538.0,167544.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
0.93,1063.8162808065722,798.0769230769231,1174.7572815533981,1275008.0,1246712.0,1305792.0,167547.6,167541.0,167553.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.03,864.8618371919343,711.5384615384615,980.5825242718447,1289044.0,1256404.0,1314904.0,167551.8,167547.0,167556.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.14,820.5750560119492,692.3076923076924,961.5384615384615,1300552.0,1274884.0,1324180.0,167557.0,167553.0,167565.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.24,908.0690155076221,784.3137254901961,1009.7087378640778,1308513.6,1282960.0,1347836.0,167564.0,167556.0,167573.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.34,854.7236743838687,757.2815533980583,923.0769230769231,1314755.2,1283144.0,1361064.0,167570.0,167562.0,167577.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.45,917.1209858103063,826.9230769230769,1009.7087378640778,1316012.8,1283152.0,1361184.0,167577.0,167571.0,167586.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.55,934.0179238237491,679.6116504854369,1009.7087378640778,1316012.8,1283152.0,1361184.0,167584.4,167576.0,167592.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.65,918.8946975354744,711.5384615384615,1067.3076923076924,1316669.6,1283156.0,1361184.0,167591.6,167586.0,167598.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.75,1067.9611650485438,1067.9611650485438,1067.9611650485438,1324274.0,1287364.0,1361184.0,167594.5,167593.0,167596.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.76,787.3101817276574,640.7766990291262,942.3076923076924,1313006.6666666667,1296604.0,1339140.0,167594.66666666666,167589.0,167601.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.86,913.1441374159822,737.8640776699029,1097.0873786407767,1319656.8,1290476.0,1361184.0,167598.6,167594.0,167603.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.96,840.0158700522778,689.3203883495146,1000.0,1322868.0,1290476.0,1361184.0,167600.5,167596.0,167604.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
1.97,682.6923076923077,682.6923076923077,682.6923076923077,1317928.0,1317928.0,1317928.0,167600.0,167600.0,167600.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
2.07,828.024645257655,625.0,1087.378640776699,1327952.8,1295208.0,1361184.0,167602.8,167599.0,167610.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
2.17,870.687079910381,728.1553398058253,1029.1262135922332,1336096.8,1299004.0,1363392.0,166096.4,163834.0,167603.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
2.27,862.0005601194922,766.990291262136,1057.6923076923078,1338038.0,1299068.0,1363684.0,164779.5,163834.0,167602.0,0.0,0.0,lock_stripping,32,1,0,20000,sync_off,lock_stripping_p32_w1_i0_t20000
