elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,3102.9126213592235,1640.7766990291263,3601.9417475728155,1566871.2,1505392.0,1631192.0,176015.2,170763.0,177332.0,0.0,0.0,hard,32,3,10000,200000,sync_on,hard_p32_w3_i10000_t200000
0.2,2811.274509803922,2176.470588235294,3068.6274509803925,1587193.0,1538376.0,1659644.0,177349.75,177332.0,177356.0,0.0,0.0,hard,32,3,10000,200000,sync_on,hard_p32_w3_i10000_t200000
0.21,2873.7864077669906,2873.7864077669906,2873.7864077669906,1668836.0,1668836.0,1668836.0,170785.0,170785.0,170785.0,0.0,0.0,hard,32,3,10000,200000,sync_on,hard_p32_w3_i10000_t200000
0.31,2943.1292008961914,750.0,3611.650485436893,1634588.8,1546744.0,1704928.0,176055.8,170808.0,177379.0,0.0,0.0,hard,32,3,10000,200000,sync_on,hard_p32_w3_i10000_t200000
0.41,2588.872292755788,1213.5922330097087,3000.0,1662553.6,1562752.0,1737084.0,176078.4,170834.0,177404.0,0.0,0.0,hard,32,3,10000,200000,sync_on,hard_p32_w3_i10000_t200000
0.52,3621.153846153846,875.0,4759.615384615385,1698974.4,1572464.0,1773952.0,176093.8,170852.0,177421.0,0.0,0.0,hard,32,3,10000,200000,sync_on,hard_p32_w3_i10000_t200000
0.62,3313.1684981684984,1403.8461538461538,4152.380952380952,1728196.0,1587420.0,1811040.0,173848.4,170872.0,177367.0,0.0,0.0,hard,32,3,10000,200000,sync_on,hard_p32_w3_i10000_t200000
0.72,3072.7221807318897,1252.4271844660195,3932.692307692308,1728223.0,1600632.0,1827008.0,174611.5,173687.0,177373.0,0.0,0.0,hard,32,3,10000,200000,sync_on,hard_p32_w3_i10000_t200000
0.73,3038.4615384615386,3038.4615384615386,3038.4615384615386,1830788.0,1830788.0,1830788.0,170896.0,170896.0,170896.0,0.0,0.0,hard,32,3,10000,200000,sync_on,hard_p32_w3_i10000_t200000
0.83,3300.0,1875.0,3875.0,1763834.4,1621684.0,1848936.0,173890.0,170915.0,177388.0,0.0,0.0,hard,32,3,10000,200000,sync_on,hard_p32_w3_i10000_t200000
0.93,3588.461538461539,1240.3846153846155,4721.153846153847,1770872.0,1634060.0,1854780.0,173910.6,170941.0,177397.0,0.0,0.0,hard,32,3,10000,200000,sync_on,hard_p32_w3_i10000_t200000
1.03,2019.2307692307693,2019.2307692307693,2019.2307692307693,1652688.0,1652688.0,1652688.0,177411.0,177411.0,177411.0,0.0,0.0,hard,32,3,10000,200000,sync_on,hard_p32_w3_i10000_t200000
1.04,4245.192307692308,3423.0769230769233,4682.692307692308,1807594.0,1757964.0,1858364.0,173061.25,170962.0,173767.0,0.0,0.0,hard,32,3,10000,200000,sync_on,hard_p32_w3_i10000_t200000
1.14,3640.6273338312176,1298.076923076923,4442.307692307692,1780796.0,1666748.0,1860020.0,173950.8,170982.0,177418.0,0.0,0.0,hard,32,3,10000,200000,sync_on,hard_p32_w3_i10000_t200000
1.24,4112.887415982076,2961.1650485436894,4750.0,1769256.0,1695644.0,1851356.0,173769.0,173652.0,173819.0,0.0,0.0,hard,32,3,10000,200000,sync_on,hard_p32_w3_i10000_t200000
1.25,4346.153846153847,4346.153846153847,4346.153846153847,1861420.0,1861420.0,1861420.0,171006.0,171006.0,171006.0,0.0,0.0,hard,32,3,10000,200000,sync_on,hard_p32_w3_i10000_t200000
1.35,3690.3846153846157,1490.3846153846155,4451.923076923077,1790744.8,1707204.0,1863680.0,173237.4,171026.0,173846.0,0.0,0.0,hard,32,3,10000,200000,sync_on,hard_p32_w3_i10000_t200000
