elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,98289.16715200932,96910.8910891089,101148.51485148515,3876136.0,3874932.0,3877188.0,1983918.4,1983168.0,1984680.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
0.2,112026.67443214911,111215.6862745098,112784.31372549021,3877243.2,3876032.0,3878244.0,1985034.4,1984276.0,1985764.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
0.3,111241.00174723353,110294.11764705883,112297.02970297029,3879296.0,3877116.0,3884136.0,1986129.6,1985328.0,1986948.0,0.2,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
0.41,109372.23840031063,101803.92156862745,111841.58415841583,3882911.2,3878200.0,3897792.0,1987257.6,1986440.0,1988168.0,0.0,0.2,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
0.51,105297.12677150068,76643.56435643564,113920.79207920791,3884112.8,3879252.0,3899304.0,1988451.2,1987468.0,1989660.0,0.0,0.2,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
0.61,103875.01456027955,71762.37623762376,112683.16831683168,3885252.0,3880416.0,3900472.0,1989586.4,1988612.0,1990848.0,0.0,0.2,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
0.71,102867.15200931858,68245.09803921569,112673.26732673266,3886378.4,3881512.0,3901656.0,1990712.0,1989716.0,1992028.0,0.0,0.2,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
0.81,102054.94078819647,63277.22772277227,112264.70588235295,3887478.4,3882584.0,3902784.0,1991796.8,1990796.0,1993088.0,0.0,0.2,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
0.91,101745.87458745875,60264.705882352944,113138.61386138613,3888576.0,3883688.0,3903820.0,1992890.4,1991904.0,1994124.0,0.0,0.2,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
1.01,106890.60376625898,97247.52475247525,111470.58823529413,3890850.0,3885880.0,3904620.0,1994211.0,1993780.0,1994976.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
1.02,111068.6274509804,111068.6274509804,111068.6274509804,3884812.0,3884812.0,3884812.0,1993004.0,1993004.0,1993004.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
1.12,111502.95088332363,110504.9504950495,112686.27450980393,3890712.0,3885832.0,3905676.0,1995033.6,1994024.0,1996012.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
1.22,111532.65385362066,110039.21568627452,112762.37623762376,3891866.4,3886904.0,3906816.0,1996177.6,1995092.0,1997132.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
1.32,96012.25004853428,34068.62745098039,113247.52475247523,3892849.6,3887984.0,3907944.0,1997166.4,1996172.0,1998276.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
1.42,89754.57192778101,0.0,113198.01980198019,3893777.6,3889100.0,3909136.0,1998088.0,1996924.0,1999452.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
1.52,88646.94234129295,0.0,111940.59405940594,3894734.4,3889600.0,3910324.0,1999052.8,1996924.0,2000672.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
1.62,84008.71190060183,0.0,112578.43137254902,3896696.0,3889600.0,3911516.0,2000041.0,1996924.0,2001860.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
1.63,112107.84313725491,112107.84313725491,112107.84313725491,3891392.0,3891392.0,3891392.0,1999556.0,1999556.0,1999556.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
1.73,90037.85672684915,0.0,113277.22772277227,3896529.6,3889600.0,3912732.0,2000835.2,1996924.0,2003072.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
1.83,89856.86274509804,0.0,113382.35294117648,3897407.2,3889600.0,3913828.0,2001722.4,1996924.0,2004172.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
1.93,89598.29159386527,0.0,113732.67326732673,3898300.8,3889600.0,3915016.0,2002610.4,1996924.0,2005356.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
2.03,89795.90370801787,0.0,113237.62376237623,3899191.2,3889600.0,3916164.0,2003501.6,1996924.0,2006508.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
2.13,89347.87419918462,0.0,113178.21782178216,3900097.6,3889600.0,3917268.0,2004399.2,1996924.0,2007592.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
2.23,84076.44146767618,0.0,113188.11881188118,3901708.0,3889600.0,3918388.0,2005049.0,1996924.0,2008716.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
2.24,110862.74509803922,110862.74509803922,110862.74509803922,3898076.0,3898076.0,3898076.0,2006256.0,2006256.0,2006256.0,0.0,0.0,hard,32,3,10000,20000,sync_off,hard_p32_w3_i10000_t20000
