elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,3522.0,1560.0,4760.0,2488056.8,2487988.0,2488152.0,1850218.4,1850192.0,1850236.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.2,3295.7623762376234,1100.0,4890.0,2488102.4,2488004.0,2488212.0,1850256.8,1850204.0,1850300.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.3,2762.316831683168,1170.0,3950.49504950495,2488145.6,2488032.0,2488276.0,1850292.0,1850216.0,1850344.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.4,4352.455445544554,660.0,6790.0,2488191.2,2488064.0,2488336.0,1850328.0,1850232.0,1850392.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.5,3035.7227722772277,960.0,4680.0,2488231.2,2488076.0,2488392.0,1850362.4,1850240.0,1850448.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.6,3820.950495049505,1019.8019801980197,6120.0,2488272.8,2488088.0,2488452.0,1850402.4,1850256.0,1850504.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.7,3475.6039603960394,1180.0,5420.0,2488305.6,2488104.0,2488500.0,1850436.8,1850272.0,1850552.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.8,2647.2871287128714,1356.4356435643563,6180.0,2488327.2,2488116.0,2488524.0,1850456.0,1850280.0,1850588.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.9,2285.1881188118814,820.0,6690.0,2488348.0,2488132.0,2488532.0,1850479.2,1850296.0,1850648.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.0,2094.237623762376,465.3465346534653,5227.722772277228,2488370.4,2488144.0,2488556.0,1850499.2,1850308.0,1850700.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.1,2070.7128712871286,643.5643564356435,5120.0,2488389.6,2488160.0,2488604.0,1850520.0,1850324.0,1850752.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.2,2128.0,1230.0,5360.0,2488417.6,2488180.0,2488676.0,1850545.6,1850344.0,1850820.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.3,2354.5544554455446,1485.148514851485,4910.891089108911,2488437.6,2488200.0,2488720.0,1850564.0,1850356.0,1850864.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.4,3433.5148514851485,1594.059405940594,6970.0,2488511.0,2488220.0,2488772.0,1850641.0,1850380.0,1850912.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.41,3029.7029702970294,3029.7029702970294,3029.7029702970294,2488252.0,2488252.0,2488252.0,1850368.0,1850368.0,1850368.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.5,2528.0,890.0,6390.0,2488482.4,2488240.0,2488824.0,1850608.0,1850376.0,1850964.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.6,1880.6930693069305,530.0,5080.0,2488500.0,2488248.0,2488872.0,1850627.2,1850388.0,1851016.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.71,2164.0198019801983,990.09900990099,6000.0,2488524.0,2488268.0,2488932.0,1850648.0,1850396.0,1851068.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.8,2120.0,440.0,6330.0,2488606.0,2488284.0,2488980.0,1850733.0,1850436.0,1851116.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.81,792.079207920792,792.079207920792,792.079207920792,2488296.0,2488296.0,2488296.0,1850408.0,1850408.0,1850408.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.91,2132.574257425743,670.0,4900.0,2488566.4,2488296.0,2489040.0,1850690.4,1850420.0,1851176.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
2.01,2617.089108910891,800.0,8316.831683168317,2488588.8,2488312.0,2489104.0,1850711.2,1850428.0,1851240.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
2.11,2324.633663366337,1070.0,6560.0,2488607.2,2488324.0,2489144.0,1850732.0,1850440.0,1851300.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
2.21,2180.0,700.0,6090.0,2488628.0,2488332.0,2489200.0,1850751.2,1850464.0,1851336.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
