elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,78975.97553873034,73705.88235294117,84712.87128712871,2684309.0,2675812.0,2703020.0,115863.75,115840.0,115894.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.11,85905.6603773585,85905.6603773585,85905.6603773585,2672724.0,2672724.0,2672724.0,115912.0,115912.0,115912.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.2,111605.0,110410.0,113500.0,2685303.0,2676620.0,2704172.0,116418.5,116385.0,116484.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.21,112390.0,112390.0,112390.0,2673800.0,2673800.0,2673800.0,116498.0,116498.0,116498.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.3,110818.11881188118,107570.0,112950.0,2686513.0,2677628.0,2705440.0,116997.5,116941.0,117078.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.31,112070.0,112070.0,112070.0,2674960.0,2674960.0,2674960.0,117074.0,117074.0,117074.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.4,111699.92574257425,110742.57425742573,113140.0,2687474.0,2678524.0,2706292.0,117591.0,117530.0,117658.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.41,111009.900990099,111009.900990099,111009.900990099,2675864.0,2675864.0,2675864.0,117640.0,117640.0,117640.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.5,112217.54901960785,111490.19607843139,113070.0,2688348.0,2679432.0,2707316.0,118163.5,118070.0,118247.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.51,112415.8415841584,112415.8415841584,112415.8415841584,2676812.0,2676812.0,2676812.0,118252.0,118252.0,118252.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.6,111286.9306930693,110178.21782178218,112514.85148514851,2689250.0,2680260.0,2708280.0,118755.75,118633.0,118874.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.61,111670.0,111670.0,111670.0,2677420.0,2677420.0,2677420.0,118801.0,118801.0,118801.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.7,112059.30693069307,111297.02970297029,112980.19801980197,2690164.0,2681168.0,2709008.0,119342.0,119230.0,119444.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.71,111560.0,111560.0,111560.0,2678224.0,2678224.0,2678224.0,119402.0,119402.0,119402.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.8,113350.0,113280.0,113420.0,2683958.0,2682088.0,2685828.0,120051.0,120038.0,120064.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.81,112757.2607260726,111821.78217821782,113260.0,2691514.6666666665,2679096.0,2709704.0,119882.0,119794.0,120000.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.9,111841.58415841583,111841.58415841583,111841.58415841583,2682900.0,2682900.0,2682900.0,120624.0,120624.0,120624.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
0.91,111159.53407105416,110772.27722772276,111540.0,2690782.0,2679664.0,2710416.0,120492.25,120366.0,120640.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
1.0,111870.0,111870.0,111870.0,2711160.0,2711160.0,2711160.0,120974.0,120974.0,120974.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
1.01,111846.40776699029,109780.0,113145.63106796118,2684657.0,2680452.0,2687464.0,121134.25,120964.0,121251.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
1.1,112550.0,112550.0,112550.0,2711928.0,2711928.0,2711928.0,121525.0,121525.0,121525.0,0.0,0.0,engine,1,1,0,20000,sync_off,engine_p1_w1_i0_t20000
