elapsed_s,mean,min,max,memory_kb_mean,memory_kb_min,memory_kb_max,disk_kb_mean,disk_kb_min,disk_kb_max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,thinking_time,sync_mode,line_label
0.1,5212.0,4790.0,5560.0,781213.6,736372.0,812268.0,115466.4,115456.0,115479.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.2,4998.0,1730.0,5990.0,791684.0,748180.0,822760.0,115499.4,115486.0,115517.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.3,5300.9900990099,2534.6534653465346,6287.128712871287,794304.8,748948.0,825556.0,115528.2,115500.0,115548.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.4,5562.0,1950.0,6630.0,795568.8,749664.0,826536.0,115559.4,115515.0,115584.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.5,5401.465346534654,2130.0,6267.326732673267,796260.8,750448.0,826832.0,115591.6,115530.0,115620.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.6,5561.267326732674,2396.039603960396,6623.762376237623,797024.8,751324.0,827860.0,115620.6,115542.0,115654.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.7,6540.0,3430.0,7900.0,797668.0,753036.0,828004.0,115648.8,115554.0,115687.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.8,5822.19801980198,2435.6435643564355,7260.0,797924.0,753260.0,828324.0,115679.6,115567.0,115722.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
0.9,5668.198019801979,1640.0,7089.108910891088,798189.6,754092.0,828688.0,115710.0,115579.0,115758.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.0,5858.9900990099,2720.0,7504.950495049505,798667.2,754128.0,828692.0,115738.8,115595.0,115787.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.1,5830.792079207921,2603.960396039604,7200.0,798722.4,754164.0,828692.0,115769.2,115609.0,115823.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.2,5865.108910891089,2420.0,6990.09900990099,798793.6,754196.0,828692.0,115799.2,115622.0,115855.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.3,5741.287128712871,1720.0,7090.0,799208.0,754232.0,828828.0,115829.8,115638.0,115890.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.4,7086.666666666667,6960.0,7240.0,795785.3333333334,754264.0,829828.0,115911.66666666667,115902.0,115926.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.41,5031.485148514851,2702.9702970297026,7360.0,805054.0,804880.0,805228.0,115777.0,115650.0,115904.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.5,6536.792079207921,3600.0,7485.148514851485,799549.6,754300.0,829828.0,115887.2,115663.0,115961.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.6,6287.5,3200.0,8390.0,798250.0,754336.0,829828.0,115903.75,115674.0,115999.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
1.61,6722.772277227722,6722.772277227722,6722.772277227722,805404.0,805404.0,805404.0,115975.0,115975.0,115975.0,0.0,0.0,engine,1,1,0,200000,sync_on,engine_p1_w1_i0_t200000
