elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,1.914.776,71.838,x,x
101,10.124,1.980.644,70.457,x,x
203,21.116,1.984.656,73.059,x,x
304,31.655,1.987.420,71.718,x,x
406,38.069,1.987.804,72.669,x,x
508,40.093,1.988.420,75.276,x,x
609,42.016,1.988.804,77.368,x,x
711,43.953,1.989.428,76.304,x,x
813,45.955,1.989.812,79.181,x,x
915,47.925,1.989.996,81.582,x,x
1.017,49.938,1.993.752,83.870,x,x
1.118,51.816,1.985.292,69.799,x,x
1.220,53.653,1.989.144,72.751,x,x
1.321,55.572,1.987.592,70.687,x,x
1.423,57.578,1.989.304,73.050,x,x
1.525,59.536,1.989.456,69.022,x,x
1.626,61.489,1.990.568,71.314,x,x
1.728,63.402,1.989.296,70.475,x,x
1.829,65.248,1.990.356,72.135,x,x
1.931,67.167,1.990.832,69.399,x,x
2.032,69.151,1.991.084,70.537,x,x
2.134,71.068,1.990.828,71.275,x,x
2.235,73.047,1.992.084,73.574,x,x
2.337,73.972,1.993.284,75.665,x,x
2.438,73.972,1.991.484,73.975,x,x
2.540,73.972,1.989.436,72.400,x,x
2.641,73.972,1.988.728,71.901,x,x
2.743,73.972,1.988.916,72.335,x,x
2.844,73.972,1.988.852,72.475,x,x
2.946,73.972,1.988.468,72.371,x,x
3.047,73.972,1.987.720,71.901,x,x
3.149,73.972,1.989.424,73.963,x,x
3.250,73.972,1.989.424,73.833,x,x
3.351,73.972,1.989.560,74.976,x,x
3.453,73.972,1.989.900,76.334,x,x
3.554,73.972,1.987.220,73.998,x,x
3.656,73.972,1.985.688,72.314,x,x
3.757,73.972,1.987.032,74.000,x,x
3.859,73.972,1.986.200,73.302,x,x
3.960,73.972,1.987.232,74.261,x,x
4.061,73.972,1.986.644,74.005,x,x
4.163,73.972,1.985.292,72.547,x,x
4.264,73.972,1.986.444,74.007,x,x
4.366,73.972,1.986.168,73.842,x,x
4.467,73.972,1.984.480,72.105,x,x
4.569,73.972,1.986.080,74.011,x,x
4.670,73.972,1.983.908,72.044,x,x
4.772,73.972,1.984.160,72.870,x,x
4.873,73.972,1.984.160,73.131,x,x
4.975,73.972,1.984.156,73.392,x,x
5.076,73.972,1.984.156,73.652,x,x
5.177,73.972,1.984.220,73.811,x,x
5.279,73.972,1.982.584,72.222,x,x
5.380,73.972,1.984.184,74.030,x,x
5.482,73.972,1.981.352,72.012,x,x
5.583,73.972,1.981.152,72.132,x,x
5.684,73.972,1.981.404,72.835,x,x
5.786,73.972,1.981.404,73.300,x,x
5.887,73.972,1.981.612,73.650,x,x
5.988,73.972,1.980.776,72.841,x,x
6.090,73.972,1.981.744,74.079,x,x
6.191,73.972,1.981.484,74.052,x,x
6.292,73.972,1.979.564,72.391,x,x
6.394,73.972,1.979.432,72.377,x,x
6.495,73.972,1.979.560,73.031,x,x
6.596,73.972,1.978.392,73.180,x,x
6.698,73.972,1.978.520,74.997,x,x
6.799,73.972,1.978.664,76.045,x,x
6.900,73.972,1.978.664,77.540,x,x
7.002,73.972,1.978.804,79.719,x,x
7.103,73.972,1.978.936,81.399,x,x
7.204,73.972,1.979.280,82.599,x,x
7.305,73.972,1.979.488,84.078,x,x
7.407,73.972,1.979.832,86.257,x,x
7.508,73.972,1.979.964,88.067,x,x
7.609,73.972,1.980.308,89.414,x,x
7.711,73.972,1.980.652,90.781,x,x
7.812,73.972,1.980.860,92.796,x,x
7.913,73.972,1.981.204,94.975,x,x
8.015,73.972,1.981.336,96.276,x,x
8.116,73.972,1.981.680,97.630,x,x
8.218,73.972,1.981.892,99.334,x,x
8.319,73.972,1.982.236,101.513,x,x
