elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,3.737.720,1.850.180,x,x
100,80,3.737.912,1.850.180,x,x
200,142,3.737.916,1.850.180,x,x
300,206,3.737.920,1.850.180,x,x
401,274,3.737.920,1.850.180,x,x
501,331,3.737.920,1.850.180,x,x
601,392,3.737.920,1.850.180,x,x
701,456,3.737.920,1.850.180,x,x
802,523,3.737.920,1.850.180,x,x
902,594,3.737.920,1.850.180,x,x
1.002,652,3.737.920,1.850.180,x,x
1.103,714,3.737.920,1.850.180,x,x
1.203,777,3.737.920,1.850.180,x,x
1.303,833,3.737.920,1.850.180,x,x
1.403,899,3.737.920,1.850.180,x,x
1.504,969,3.737.920,1.850.180,x,x
1.604,995,3.737.920,1.850.180,x,x
1.704,1.015,3.737.920,1.850.180,x,x
1.804,1.038,3.737.920,1.850.180,x,x
1.905,1.067,3.737.920,1.850.180,x,x
2.005,1.084,3.737.920,1.850.180,x,x
2.105,1.101,3.737.920,1.850.180,x,x
2.206,1.130,3.737.920,1.850.180,x,x
2.306,1.147,3.737.920,1.850.180,x,x
2.406,1.163,3.737.920,1.850.180,x,x
2.506,1.175,3.737.920,1.850.180,x,x
2.607,1.188,3.737.920,1.850.180,x,x
2.707,1.200,3.737.920,1.850.180,x,x
2.807,1.216,3.737.920,1.850.180,x,x
2.907,1.240,3.737.920,1.850.180,x,x
3.008,1.266,3.737.920,1.850.180,x,x
3.108,1.281,3.737.920,1.850.180,x,x
3.208,1.302,3.737.920,1.850.180,x,x
3.309,1.320,3.737.920,1.850.180,x,x
3.409,1.343,3.737.920,1.850.180,x,x
3.509,1.357,3.737.920,1.850.180,x,x
3.609,1.373,3.737.920,1.850.180,x,x
3.710,1.398,3.737.920,1.850.180,x,x
3.810,1.423,3.737.920,1.850.180,x,x
3.910,1.442,3.737.920,1.850.180,x,x
4.010,1.454,3.737.920,1.850.180,x,x
4.111,1.467,3.737.920,1.850.180,x,x
4.211,1.482,3.737.920,1.850.180,x,x
4.311,1.504,3.737.920,1.850.180,x,x
4.412,1.523,3.737.920,1.850.180,x,x
4.512,1.541,3.737.920,1.850.180,x,x
4.612,1.560,3.737.920,1.850.180,x,x
4.712,1.576,3.737.920,1.850.180,x,x
4.813,1.595,3.737.920,1.850.180,x,x
4.913,1.620,3.737.920,1.850.180,x,x
5.013,1.638,3.737.920,1.850.180,x,x
5.114,1.661,3.737.920,1.850.180,x,x
5.214,1.678,3.737.920,1.850.180,x,x
5.314,1.696,3.737.920,1.850.180,x,x
5.414,1.717,3.737.920,1.850.180,x,x
5.515,1.735,3.737.920,1.850.180,x,x
5.615,1.753,3.737.920,1.850.180,x,x
5.715,1.777,3.737.920,1.850.180,x,x
5.815,1.800,3.737.920,1.850.180,x,x
5.916,1.821,3.737.920,1.850.180,x,x
6.016,1.839,3.737.920,1.850.180,x,x
6.116,1.861,3.737.920,1.850.180,x,x
6.217,1.883,3.737.920,1.850.180,x,x
6.317,1.900,3.737.920,1.850.180,x,x
