elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,2.012.444,163.096,x,x
101,105,2.016.000,115.508,x,x
201,200,2.016.160,115.560,x,x
301,287,2.016.352,115.605,x,x
402,376,2.016.492,115.655,x,x
502,483,2.016.684,115.714,x,x
602,593,2.016.892,115.769,x,x
703,693,2.017.076,115.825,x,x
803,793,2.017.216,115.877,x,x
903,897,2.017.404,115.927,x,x
1.004,990,2.017.556,115.977,x,x
1.104,1.095,2.017.760,116.018,x,x
1.204,1.178,2.017.916,116.057,x,x
1.305,1.271,2.018.044,116.102,x,x
1.405,1.374,2.018.196,116.152,x,x
1.505,1.470,2.018.404,116.196,x,x
1.606,1.560,2.018.588,116.249,x,x
1.706,1.664,2.018.792,116.301,x,x
1.806,1.767,2.018.992,116.351,x,x
1.907,1.884,2.019.228,116.401,x,x
2.007,1.992,2.019.516,116.446,x,x
2.107,2.105,2.019.752,116.500,x,x
2.208,2.210,2.019.944,116.558,x,x
2.308,2.314,2.020.172,116.601,x,x
2.408,2.419,2.020.388,116.646,x,x
2.509,2.514,2.020.580,116.696,x,x
2.609,2.606,2.020.800,116.741,x,x
2.709,2.700,2.021.008,116.786,x,x
2.810,2.806,2.021.204,116.843,x,x
2.910,2.912,2.021.428,116.906,x,x
3.010,3.029,2.021.660,116.964,x,x
3.111,3.131,2.021.860,117.014,x,x
3.211,3.242,2.022.092,117.064,x,x
3.311,3.340,2.022.308,117.115,x,x
3.412,3.449,2.022.536,117.163,x,x
3.512,3.540,2.022.712,117.225,x,x
3.612,3.620,2.022.852,117.266,x,x
3.713,3.712,2.023.048,117.314,x,x
3.813,3.805,2.023.228,117.372,x,x
3.913,3.881,2.023.384,117.411,x,x
4.014,3.976,2.023.580,117.453,x,x
4.114,4.072,2.023.792,117.501,x,x
4.214,4.169,2.023.988,117.547,x,x
4.315,4.271,2.024.200,117.601,x,x
4.415,4.356,2.024.364,117.644,x,x
4.515,4.462,2.024.588,117.692,x,x
4.616,4.560,2.024.796,117.747,x,x
4.716,4.663,2.025.024,117.794,x,x
4.816,4.755,2.025.232,117.835,x,x
4.916,4.861,2.025.448,117.888,x,x
5.017,4.963,2.025.644,117.940,x,x
5.117,5.050,2.025.804,117.994,x,x
5.217,5.131,2.025.964,118.036,x,x
5.318,5.231,2.026.192,118.087,x,x
5.418,5.334,2.026.388,118.144,x,x
5.518,5.429,2.026.588,118.192,x,x
5.619,5.527,2.026.796,118.244,x,x
5.719,5.625,2.027.008,118.291,x,x
5.819,5.720,2.027.220,118.340,x,x
5.920,5.821,2.027.444,118.394,x,x
6.020,5.917,2.027.596,118.451,x,x
6.121,6.009,2.027.792,118.499,x,x
6.221,6.100,2.027.944,118.548,x,x
6.321,6.211,2.028.192,118.600,x,x
6.422,6.267,2.028.300,118.624,x,x
6.522,6.314,2.028.416,118.650,x,x
6.622,6.360,2.028.496,118.674,x,x
6.722,6.396,2.028.544,118.700,x,x
6.823,6.441,2.028.628,118.723,x,x
6.923,6.496,2.028.736,118.748,x,x
7.023,6.557,2.028.876,118.774,x,x
7.124,6.616,2.028.980,118.808,x,x
7.224,6.677,2.029.100,118.827,x,x
7.324,6.743,2.029.220,118.858,x,x
7.424,6.787,2.029.304,118.885,x,x
7.525,6.853,2.029.452,118.912,x,x
7.625,6.902,2.029.544,118.942,x,x
7.725,6.960,2.029.644,118.972,x,x
7.826,7.013,2.029.752,118.997,x,x
7.926,7.080,2.029.904,119.031,x,x
8.026,7.130,2.029.992,119.057,x,x
8.127,7.179,2.030.084,119.090,x,x
8.227,7.239,2.030.212,119.123,x,x
8.327,7.295,2.030.324,119.149,x,x
8.428,7.358,2.030.476,119.175,x,x
8.528,7.408,2.030.572,119.202,x,x
8.628,7.454,2.030.672,119.225,x,x
8.729,7.517,2.030.800,119.257,x,x
8.829,7.550,2.030.880,119.268,x,x
8.929,7.606,2.031.024,119.294,x,x
9.030,7.668,2.031.140,119.321,x,x
9.130,7.730,2.031.248,119.357,x,x
9.230,7.784,2.031.364,119.384,x,x
9.331,7.836,2.031.456,119.406,x,x
9.431,7.899,2.031.604,119.431,x,x
9.531,7.954,2.031.736,119.457,x,x
9.631,8.013,2.031.860,119.488,x,x
9.732,8.077,2.031.980,119.517,x,x
9.832,8.142,2.032.120,119.543,x,x
9.932,8.196,2.032.220,119.575,x,x
10.033,8.252,2.032.312,119.605,x,x
10.133,8.298,2.032.380,119.636,x,x
10.233,8.350,2.032.492,119.662,x,x
10.334,8.410,2.032.628,119.688,x,x
10.434,8.465,2.032.728,119.716,x,x
10.534,8.523,2.032.848,119.744,x,x
10.635,8.578,2.032.964,119.769,x,x
10.735,8.638,2.033.080,119.795,x,x
10.835,8.689,2.033.180,119.825,x,x
10.936,8.738,2.033.288,119.847,x,x
11.036,8.802,2.033.408,119.876,x,x
11.136,8.856,2.033.524,119.904,x,x
11.237,8.908,2.033.612,119.931,x,x
11.337,8.971,2.033.724,119.963,x,x
11.437,9.021,2.033.808,119.993,x,x
11.538,9.068,2.033.872,120.024,x,x
11.638,9.121,2.034.008,120.047,x,x
11.738,9.163,2.034.072,120.076,x,x
11.839,9.220,2.034.180,120.113,x,x
11.939,9.270,2.034.272,120.137,x,x
12.039,9.327,2.034.388,120.168,x,x
12.140,9.387,2.034.508,120.194,x,x
12.240,9.434,2.034.576,120.223,x,x
12.340,9.489,2.034.672,120.248,x,x
12.440,9.546,2.034.808,120.277,x,x
12.541,9.600,2.034.912,120.298,x,x
12.641,9.653,2.035.028,120.328,x,x
12.741,9.724,2.035.180,120.356,x,x
12.842,9.782,2.035.300,120.387,x,x
12.942,9.838,2.035.408,120.415,x,x
13.042,9.888,2.035.492,120.435,x,x
13.143,9.944,2.035.600,120.467,x,x
13.243,10.002,2.035.704,120.501,x,x
13.343,10.058,2.035.808,120.533,x,x
13.444,10.110,2.035.908,120.564,x,x
13.544,10.161,2.036.004,120.591,x,x
13.644,10.207,2.036.084,120.617,x,x
13.745,10.268,2.036.208,120.645,x,x
13.845,10.314,2.036.300,120.672,x,x
13.945,10.373,2.036.424,120.696,x,x
14.045,10.430,2.036.520,120.722,x,x
14.146,10.479,2.036.612,120.754,x,x
14.246,10.543,2.036.720,120.784,x,x
14.346,10.608,2.036.836,120.822,x,x
14.447,10.660,2.036.940,120.855,x,x
14.547,10.703,2.037.020,120.883,x,x
14.647,10.763,2.037.108,120.911,x,x
14.748,10.814,2.037.208,120.939,x,x
14.848,10.870,2.037.320,120.969,x,x
14.948,10.925,2.037.416,120.995,x,x
15.049,10.967,2.037.488,121.029,x,x
15.149,11.031,2.037.604,121.055,x,x
15.249,11.089,2.037.748,121.082,x,x
15.350,11.143,2.037.840,121.114,x,x
15.450,11.201,2.037.956,121.139,x,x
15.550,11.261,2.038.048,121.179,x,x
15.651,11.335,2.038.196,121.205,x,x
15.751,11.385,2.038.288,121.237,x,x
15.851,11.437,2.038.364,121.271,x,x
15.951,11.492,2.038.488,121.293,x,x
16.052,11.557,2.038.624,121.323,x,x
16.152,11.615,2.038.724,121.356,x,x
16.252,11.674,2.038.872,121.384,x,x
16.353,11.736,2.038.996,121.412,x,x
16.453,11.789,2.039.080,121.445,x,x
16.553,11.841,2.039.172,121.474,x,x
16.654,11.889,2.039.252,121.500,x,x
16.754,11.951,2.039.356,121.530,x,x
16.854,12.002,2.039.468,121.560,x,x
16.955,12.059,2.039.588,121.584,x,x
17.055,12.115,2.039.712,121.610,x,x
17.155,12.165,2.039.824,121.641,x,x
17.256,12.218,2.039.932,121.674,x,x
17.356,12.272,2.040.016,121.700,x,x
17.456,12.321,2.040.112,121.734,x,x
17.557,12.386,2.040.220,121.760,x,x
17.657,12.438,2.040.316,121.779,x,x
17.757,12.501,2.040.424,121.809,x,x
17.858,12.566,2.040.556,121.839,x,x
17.958,12.624,2.040.668,121.866,x,x
18.058,12.686,2.040.772,121.895,x,x
18.159,12.746,2.040.928,121.920,x,x
18.259,12.802,2.041.032,121.951,x,x
18.359,12.876,2.041.204,121.981,x,x
18.460,12.936,2.041.340,122.003,x,x
18.560,12.983,2.041.436,122.026,x,x
18.660,13.034,2.041.532,122.052,x,x
18.761,13.079,2.041.608,122.081,x,x
18.861,13.139,2.041.728,122.113,x,x
18.961,13.206,2.041.864,122.151,x,x
19.061,13.264,2.041.976,122.183,x,x
19.162,13.321,2.042.116,122.214,x,x
19.262,13.370,2.042.216,122.240,x,x
19.362,13.406,2.042.276,122.265,x,x
19.463,13.461,2.042.388,122.293,x,x
19.563,13.505,2.042.496,122.314,x,x
19.663,13.549,2.042.564,122.338,x,x
19.764,13.603,2.042.672,122.366,x,x
19.864,13.666,2.042.784,122.391,x,x
19.964,13.720,2.042.904,122.417,x,x
20.065,13.765,2.042.996,122.444,x,x
20.165,13.823,2.043.084,122.475,x,x
20.265,13.875,2.043.184,122.506,x,x
20.366,13.924,2.043.268,122.530,x,x
20.466,13.984,2.043.416,122.566,x,x
20.566,14.024,2.043.500,122.589,x,x
20.667,14.085,2.043.620,122.616,x,x
20.767,14.140,2.043.740,122.646,x,x
20.867,14.199,2.043.844,122.670,x,x
20.968,14.249,2.043.932,122.692,x,x
21.068,14.305,2.044.048,122.724,x,x
21.168,14.371,2.044.152,122.754,x,x
21.269,14.425,2.044.272,122.782,x,x
21.369,14.479,2.044.376,122.805,x,x
21.469,14.533,2.044.488,122.833,x,x
21.569,14.594,2.044.572,122.863,x,x
21.670,14.660,2.044.740,122.892,x,x
21.770,14.708,2.044.800,122.913,x,x
21.870,14.760,2.044.912,122.944,x,x
21.971,14.805,2.044.984,122.974,x,x
22.071,14.844,2.045.028,122.999,x,x
22.171,14.899,2.045.140,123.030,x,x
22.272,14.960,2.045.228,123.062,x,x
22.372,15.026,2.045.372,123.089,x,x
22.472,15.078,2.045.508,123.113,x,x
22.573,15.150,2.045.644,123.146,x,x
22.673,15.211,2.045.768,123.171,x,x
22.773,15.266,2.045.908,123.200,x,x
22.874,15.344,2.046.088,123.226,x,x
22.974,15.402,2.046.208,123.256,x,x
23.074,15.457,2.046.304,123.286,x,x
23.175,15.516,2.046.412,123.313,x,x
23.275,15.565,2.046.504,123.344,x,x
23.375,15.643,2.046.688,123.366,x,x
23.476,15.686,2.046.784,123.393,x,x
23.576,15.753,2.046.932,123.420,x,x
23.676,15.807,2.047.076,123.447,x,x
23.777,15.862,2.047.204,123.469,x,x
23.877,15.922,2.047.308,123.502,x,x
23.977,15.965,2.047.376,123.527,x,x
24.078,16.019,2.047.460,123.558,x,x
24.178,16.066,2.047.540,123.582,x,x
24.278,16.110,2.047.644,123.609,x,x
24.379,16.161,2.047.748,123.638,x,x
24.479,16.216,2.047.824,123.661,x,x
24.579,16.261,2.047.920,123.691,x,x
24.680,16.311,2.048.056,127.608,x,x
24.780,16.316,2.048.076,127.608,x,x
24.880,16.316,2.048.076,127.608,x,x
24.981,16.316,2.048.076,127.608,x,x
25.081,16.316,2.048.076,127.608,x,x
25.182,16.316,2.048.076,127.608,x,x
25.282,16.316,2.048.076,127.608,x,x
25.382,16.316,2.048.076,127.608,x,x
25.483,16.316,2.048.076,127.608,x,x
25.583,16.316,2.048.076,127.608,x,x
25.683,16.316,2.048.076,127.608,x,x
25.784,16.316,2.048.076,127.608,x,x
25.884,16.316,2.048.076,127.608,x,x
25.984,16.316,2.048.076,127.608,x,x
26.085,16.316,2.048.076,127.608,x,x
26.185,16.316,2.048.076,127.608,x,x
26.286,16.316,2.048.076,127.608,x,x
26.386,16.316,2.048.076,127.608,x,x
26.486,16.316,2.048.076,127.608,x,x
26.587,16.323,2.048.080,127.613,x,x
26.687,16.346,2.048.124,63.374,x,x
26.787,16.379,1.952.052,64.420,x,x
26.888,16.424,1.952.080,65.476,x,x
26.988,16.483,1.952.172,67.551,x,x
27.089,16.544,1.952.264,69.632,x,x
27.189,16.607,1.952.348,71.707,x,x
27.289,16.668,1.952.488,73.789,x,x
27.390,16.715,1.953.660,75.861,x,x
27.490,16.773,1.953.904,76.915,x,x
27.590,16.836,1.954.172,78.989,x,x
27.691,16.888,1.954.408,81.059,x,x
27.791,16.956,1.954.676,83.134,x,x
27.892,17.003,1.956.812,85.207,x,x
27.992,17.063,1.957.048,87.283,x,x
28.092,17.113,1.957.264,88.338,x,x
28.193,17.152,1.957.536,90.405,x,x
28.293,17.198,1.957.768,92.483,x,x
28.393,17.249,1.958.024,94.560,x,x
28.494,17.295,1.958.820,96.638,x,x
28.594,17.354,1.961.060,97.694,x,x
28.695,17.417,1.961.504,99.770,x,x
28.795,17.476,1.961.892,101.848,x,x
28.895,17.527,1.962.296,103.927,x,x
28.996,17.568,1.962.676,105.999,x,x
29.096,17.611,1.966.872,108.075,x,x
29.196,17.663,1.967.288,109.120,x,x
29.297,17.714,1.967.660,111.197,x,x
29.397,17.764,1.968.028,113.268,x,x
29.497,17.815,1.968.376,115.348,x,x
29.598,17.852,1.968.736,117.420,x,x
29.698,17.895,1.969.088,119.495,x,x
29.798,17.940,1.969.416,120.537,x,x
29.899,18.005,1.969.788,122.608,x,x
29.999,18.036,1.979.744,126.608,x,x
30.100,18.039,1.979.728,126.608,x,x
30.200,18.039,1.979.728,126.608,x,x
30.300,18.039,1.979.728,126.608,x,x
30.401,18.039,1.979.728,126.608,x,x
30.501,18.039,1.979.728,126.608,x,x
30.601,18.039,1.979.728,126.608,x,x
30.702,18.039,1.979.728,126.608,x,x
30.802,18.039,1.979.728,126.608,x,x
30.903,18.039,1.979.728,126.608,x,x
31.003,18.039,1.979.728,126.608,x,x
31.103,18.039,1.979.728,126.608,x,x
31.204,18.039,1.979.728,126.608,x,x
31.304,18.039,1.979.728,126.608,x,x
31.404,18.039,1.979.728,126.608,x,x
31.505,18.039,1.979.728,126.608,x,x
31.605,18.039,1.979.728,126.608,x,x
31.705,18.039,1.979.728,126.608,x,x
31.806,18.039,1.979.728,126.608,x,x
31.906,18.039,1.979.728,126.608,x,x
32.006,18.039,1.979.728,126.608,x,x
32.107,18.039,1.979.728,126.608,x,x
32.207,18.039,1.979.728,126.608,x,x
32.308,18.039,1.979.728,126.608,x,x
32.408,18.039,1.979.728,126.608,x,x
32.508,18.039,1.979.728,126.608,x,x
32.609,18.039,1.979.728,126.608,x,x
32.709,18.039,1.979.728,126.608,x,x
32.810,18.039,1.979.728,126.608,x,x
32.910,18.039,1.979.728,126.608,x,x
