start_ns,end_ns
8507421,8512177
52470360,55617813
59802893,62581500
73407314,73412124
79266430,82729900
86652392,89521884
150136297,153437987
164455511,164459436
183833708,187365732
185735995,185737912
204510415,210052489
247096509,252800524
263250708,263252933
295140850,299688050
308988447,308995098
333476069,346614417
334545358,341621189
362980633,370556126
367463446,367467339
411946959,415870006
433893982,438579080
445688693,445691462
451573170,454797363
453863592,455804539
460572291,460576219
462222609,464828121
462436929,462439661
465144798,465148968
465933254,475416035
474451514,474453906
504086063,506731805
532963005,538456786
563872931,563876213
586166343,588797556
589435968,592556206
593687927,593691041
620745078,624264402
647937364,653191135
653155699,656431233
681569087,681572727
682007231,682010688
695310520,698549010
742477419,753030852
747219941,751955105
748140584,751194527
764794323,764797151
778136402,781380085
853626392,853628388
883868235,883872572
892667326,902526514
926025767,926027641
942297116,944818272
998877799,1001758428
1039638222,1039641028
1103612502,1106714701
1118793203,1118796638
1126235170,1129699655
1141308512,1141311830
1147394561,1147397850
1234085229,1239030610
1259660892,1259665062
1262388050,1262389581
1265048580,1265051266
1308400550,1311097656
1317475289,1317478705
1331550655,1331552926
1378507698,1378510810
1381602321,1381604544
1408156974,1408160231
1522189553,1528259763
1529457213,1534451787
1541166006,1544674454
1555182920,1558612407
1599723321,1617996278
1600752577,1603564108
1601826561,1618025154
1637240422,1639821905
1671503025,1674413859
1676462794,1676465923
1681464038,1713674089
1725611935,1729073638
1749318197,1749322065
1824548577,1827139213
1847670811,1895663726
1866830092,1870032144
1911730465,1911732803
1923976712,1923979214
1925275018,1955287182
1937756264,1968811345
1941377442,1944873141
1975518385,1975523019
2051664947,2051669119
2075529609,2078633665
2150929393,2172462692
2152900294,2155464009
2203508819,2203513370
2254212268,2289357560
2339081317,2359715656
2351768172,2355104764
2371746109,2377788429
2433062032,2433065428
2478646035,2481822927
2496044613,2496047871
2528154422,2530697228
2551816958,2559413390
2556981640,2563672944
2568939084,2601435065
2590337131,2612417652
2594888379,2623839891
2637895724,2637898877
2646649542,2646652160
2653629575,2653635506
