elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,4.363.092,1.850.180,x,x
101,4.057,4.363.336,1.850.180,x,x
202,7.577,4.363.340,1.850.180,x,x
302,11.109,4.363.344,1.850.180,x,x
402,14.708,4.363.344,1.850.180,x,x
503,18.242,4.363.344,1.850.180,x,x
603,21.809,4.363.344,1.850.180,x,x
703,25.434,4.363.344,1.850.180,x,x
804,28.983,4.363.344,1.850.180,x,x
904,32.450,4.363.344,1.850.180,x,x
1.004,35.940,4.363.412,1.850.184,x,x
1.104,39.405,4.363.412,1.850.184,x,x
1.205,42.841,4.363.412,1.850.184,x,x
1.305,46.391,4.363.412,1.850.184,x,x
1.405,49.825,4.363.412,1.850.184,x,x
1.506,53.236,4.363.412,1.850.184,x,x
1.606,56.604,4.363.412,1.850.184,x,x
1.706,60.691,4.363.412,1.850.184,x,x
1.807,64.497,4.363.412,1.850.184,x,x
1.907,67.921,4.363.412,1.850.184,x,x
2.007,71.259,4.363.412,1.850.184,x,x
2.108,74.715,4.363.412,1.850.184,x,x
2.208,78.060,4.363.412,1.850.184,x,x
2.308,81.559,4.363.412,1.850.184,x,x
2.409,85.121,4.363.412,1.850.184,x,x
2.509,88.488,4.363.412,1.850.184,x,x
2.609,91.916,4.363.412,1.850.184,x,x
2.709,95.423,4.363.412,1.850.184,x,x
2.810,98.820,4.363.412,1.850.184,x,x
2.910,102.257,4.363.412,1.850.184,x,x
3.010,105.660,4.363.412,1.850.184,x,x
3.111,109.203,4.363.412,1.850.184,x,x
3.211,112.618,4.363.412,1.850.184,x,x
3.311,116.053,4.363.412,1.850.184,x,x
3.412,119.507,4.363.412,1.850.184,x,x
3.512,123.006,4.363.412,1.850.184,x,x
3.612,126.503,4.363.412,1.850.184,x,x
3.713,130.061,4.363.412,1.850.184,x,x
3.813,133.469,4.363.412,1.850.184,x,x
3.913,137.048,4.363.412,1.850.184,x,x
4.013,140.534,4.363.412,1.850.184,x,x
4.114,143.917,4.363.412,1.850.184,x,x
4.214,147.229,4.363.412,1.850.184,x,x
4.314,150.690,4.363.412,1.850.184,x,x
4.415,154.094,4.363.412,1.850.184,x,x
4.515,157.571,4.363.412,1.850.184,x,x
4.615,160.944,4.363.412,1.850.184,x,x
4.716,164.369,4.363.412,1.850.184,x,x
4.816,167.793,4.363.412,1.850.184,x,x
4.916,171.345,4.363.412,1.850.184,x,x
5.017,175.453,4.363.412,1.850.184,x,x
5.117,179.011,4.363.412,1.850.184,x,x
5.217,182.500,4.363.412,1.850.184,x,x
5.318,185.936,4.363.412,1.850.184,x,x
5.418,189.470,4.363.412,1.850.184,x,x
5.518,192.881,4.363.412,1.850.184,x,x
5.619,196.354,4.363.412,1.850.184,x,x
5.719,199.792,4.363.412,1.850.184,x,x
5.819,203.315,4.363.412,1.850.184,x,x
5.919,206.799,4.363.412,1.850.184,x,x
6.020,210.365,4.363.412,1.850.184,x,x
6.120,213.843,4.363.412,1.850.184,x,x
6.220,217.260,4.363.412,1.850.184,x,x
6.321,220.613,4.363.412,1.850.184,x,x
6.421,224.139,4.363.412,1.850.184,x,x
6.521,227.618,4.363.412,1.850.184,x,x
6.622,231.033,4.363.412,1.850.184,x,x
6.722,234.496,4.363.412,1.850.184,x,x
6.822,237.933,4.363.412,1.850.184,x,x
6.923,241.502,4.363.412,1.850.184,x,x
7.023,245.009,4.363.412,1.850.184,x,x
7.123,248.514,4.363.412,1.850.184,x,x
7.223,252.090,4.363.412,1.850.184,x,x
7.324,255.620,4.363.412,1.850.184,x,x
7.424,259.112,4.363.412,1.850.184,x,x
7.524,262.536,4.363.412,1.850.184,x,x
7.625,265.955,4.363.412,1.850.184,x,x
7.725,269.529,4.363.412,1.850.184,x,x
7.825,273.062,4.363.412,1.850.184,x,x
7.926,276.561,4.363.412,1.850.184,x,x
8.026,279.950,4.363.412,1.850.184,x,x
8.126,283.397,4.363.412,1.850.184,x,x
8.227,287.453,4.363.412,1.850.184,x,x
8.327,291.202,4.363.412,1.850.184,x,x
8.427,294.533,4.363.412,1.850.184,x,x
8.528,298.006,4.363.412,1.850.184,x,x
8.628,301.581,4.363.412,1.850.184,x,x
8.728,305.032,4.363.412,1.850.184,x,x
8.829,308.452,4.363.412,1.850.184,x,x
8.929,311.895,4.363.412,1.850.184,x,x
9.029,315.401,4.363.412,1.850.184,x,x
9.129,318.819,4.363.412,1.850.184,x,x
9.230,322.267,4.363.412,1.850.184,x,x
9.330,325.644,4.363.412,1.850.184,x,x
9.430,329.199,4.363.412,1.850.184,x,x
9.531,332.598,4.363.412,1.850.184,x,x
9.631,335.983,4.363.412,1.850.184,x,x
9.731,339.382,4.363.412,1.850.184,x,x
9.832,342.944,4.363.412,1.850.184,x,x
9.932,346.469,4.363.412,1.850.184,x,x
10.032,350.016,4.363.412,1.850.184,x,x
10.133,353.556,4.363.412,1.850.184,x,x
10.233,357.102,4.363.412,1.850.184,x,x
10.333,360.546,4.363.412,1.850.184,x,x
10.434,363.922,4.363.412,1.850.184,x,x
