elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,4.497.880,1.982.596,x,x
101,119,4.498.104,1.982.596,x,x
202,244,4.498.108,1.982.596,x,x
303,370,4.498.112,1.982.596,x,x
404,491,4.498.112,1.982.596,x,x
505,631,4.498.112,1.982.596,x,x
606,766,4.498.112,1.982.596,x,x
707,882,4.498.112,1.982.596,x,x
808,1.019,4.498.112,1.982.596,x,x
909,1.153,4.498.112,1.982.596,x,x
1.010,1.281,4.498.112,1.982.596,x,x
1.111,1.411,4.498.112,1.982.596,x,x
1.212,1.536,4.498.112,1.982.596,x,x
1.313,1.655,4.498.112,1.982.596,x,x
1.414,1.787,4.498.112,1.982.596,x,x
1.515,1.916,4.498.112,1.982.596,x,x
1.615,2.044,4.498.112,1.982.596,x,x
1.716,2.167,4.498.112,1.982.596,x,x
1.817,2.308,4.498.112,1.982.596,x,x
1.918,2.433,4.498.112,1.982.596,x,x
2.019,2.564,4.498.112,1.982.596,x,x
2.120,2.708,4.498.112,1.982.596,x,x
2.220,2.830,4.498.112,1.982.596,x,x
2.321,2.959,4.498.112,1.982.596,x,x
2.422,3.075,4.498.112,1.982.596,x,x
2.523,3.207,4.498.112,1.982.596,x,x
2.624,3.325,4.498.112,1.982.596,x,x
2.725,3.449,4.498.112,1.982.596,x,x
2.826,3.568,4.498.112,1.982.596,x,x
2.927,3.695,4.498.112,1.982.596,x,x
3.028,3.845,4.498.112,1.982.596,x,x
3.129,3.975,4.498.112,1.982.596,x,x
3.230,4.087,4.498.112,1.982.596,x,x
3.331,4.216,4.498.112,1.982.596,x,x
3.432,4.347,4.498.112,1.982.596,x,x
3.533,4.472,4.498.112,1.982.596,x,x
3.634,4.615,4.498.112,1.982.596,x,x
3.734,4.750,4.498.112,1.982.596,x,x
3.836,4.870,4.498.112,1.982.596,x,x
3.937,4.982,4.498.112,1.982.596,x,x
4.038,5.104,4.498.112,1.982.596,x,x
4.139,5.219,4.498.112,1.982.596,x,x
4.240,5.324,4.498.112,1.982.596,x,x
4.341,5.458,4.498.112,1.982.596,x,x
4.445,5.595,4.498.112,1.982.596,x,x
4.545,5.718,4.498.112,1.982.596,x,x
4.646,5.830,4.498.112,1.982.596,x,x
4.747,5.954,4.498.112,1.982.596,x,x
4.848,6.089,4.498.112,1.982.596,x,x
4.948,6.221,4.498.112,1.982.596,x,x
5.049,6.341,4.498.112,1.982.596,x,x
5.151,6.472,4.498.112,1.982.596,x,x
5.252,6.595,4.498.112,1.982.596,x,x
5.353,6.715,4.498.112,1.982.596,x,x
5.454,6.824,4.498.112,1.982.596,x,x
5.555,6.936,4.498.112,1.982.596,x,x
5.656,7.055,4.498.112,1.982.596,x,x
5.757,7.188,4.498.112,1.982.596,x,x
5.861,7.317,4.498.112,1.982.596,x,x
5.962,7.439,4.498.112,1.982.596,x,x
6.063,7.558,4.498.112,1.982.596,x,x
6.164,7.682,4.498.112,1.982.596,x,x
6.265,7.805,4.498.112,1.982.596,x,x
6.367,7.946,4.498.112,1.982.596,x,x
6.468,8.072,4.498.112,1.982.596,x,x
6.569,8.196,4.498.112,1.982.596,x,x
6.670,8.323,4.498.112,1.982.596,x,x
6.770,8.441,4.498.112,1.982.596,x,x
6.871,8.564,4.498.112,1.982.596,x,x
6.972,8.676,4.498.112,1.982.596,x,x
7.073,8.804,4.498.112,1.982.596,x,x
7.174,8.940,4.498.112,1.982.596,x,x
7.275,9.063,4.498.112,1.982.596,x,x
7.376,9.186,4.498.112,1.982.596,x,x
7.477,9.320,4.498.112,1.982.596,x,x
7.578,9.456,4.498.112,1.982.596,x,x
7.679,9.587,4.498.112,1.982.596,x,x
7.780,9.718,4.498.112,1.982.596,x,x
7.881,9.844,4.498.112,1.982.596,x,x
7.982,9.974,4.498.112,1.982.596,x,x
8.082,10.025,4.498.112,1.982.596,x,x
8.184,10.139,4.498.112,1.982.596,x,x
8.285,10.227,4.498.112,1.982.596,x,x
8.386,10.322,4.498.112,1.982.596,x,x
8.488,10.424,4.498.112,1.982.596,x,x
8.589,10.489,4.498.112,1.982.596,x,x
8.691,10.553,4.498.112,1.982.596,x,x
8.793,10.640,4.498.112,1.982.596,x,x
8.894,10.731,4.498.112,1.982.596,x,x
8.996,10.819,4.498.112,1.982.596,x,x
9.097,10.890,4.498.112,1.982.596,x,x
9.198,10.986,4.498.112,1.982.596,x,x
9.299,11.056,4.498.112,1.982.596,x,x
9.401,11.117,4.498.112,1.982.596,x,x
9.502,11.201,4.498.208,1.982.596,x,o
9.604,11.270,4.498.208,1.982.600,x,o
9.705,11.343,4.498.208,1.982.604,x,o
9.807,11.416,4.498.216,1.982.608,x,o
9.909,11.484,4.498.224,1.982.612,x,o
10.010,11.529,4.498.224,1.982.612,x,o
10.112,11.585,4.498.232,1.982.612,x,o
10.213,11.639,4.498.236,1.982.612,x,o
10.315,11.700,4.498.240,1.982.612,x,o
10.417,11.783,4.498.248,1.982.612,x,o
10.518,11.848,4.498.248,1.982.612,x,x
10.620,11.924,4.498.260,1.982.612,x,x
10.721,11.984,4.498.260,1.982.612,x,x
10.822,12.071,4.498.260,1.982.612,x,x
10.923,12.149,4.498.264,1.982.612,x,x
11.025,12.246,4.498.268,1.982.612,x,x
11.126,12.317,4.498.268,1.982.612,x,x
11.228,12.401,4.498.272,1.982.612,x,x
11.329,12.465,4.498.272,1.982.612,x,x
11.431,12.533,4.498.272,1.982.612,x,x
11.532,12.625,4.498.272,1.982.612,x,x
11.634,12.713,4.498.272,1.982.612,x,x
