elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,4.449.760,1.935.856,x,x
101,84,4.450.036,1.935.856,x,x
202,120,4.450.040,1.935.856,x,x
303,164,4.450.048,1.935.856,x,x
404,200,4.450.056,1.935.856,x,x
505,241,4.450.056,1.935.856,x,x
607,280,4.450.060,1.935.856,x,x
708,331,4.450.060,1.935.856,x,x
809,375,4.450.060,1.935.856,x,x
911,410,4.450.060,1.935.856,x,x
1.012,457,4.450.060,1.935.856,x,x
1.113,492,4.450.060,1.935.856,x,x
1.215,534,4.450.060,1.935.856,x,x
1.316,573,4.450.060,1.935.856,x,x
1.418,622,4.450.060,1.935.856,x,x
1.519,662,4.450.060,1.935.856,x,x
1.620,699,4.450.060,1.935.856,x,x
1.722,731,4.450.060,1.935.856,x,x
1.823,769,4.450.060,1.935.856,x,x
1.925,801,4.450.060,1.935.856,x,x
2.026,833,4.450.060,1.935.856,x,x
2.127,867,4.450.060,1.935.856,x,x
2.228,902,4.450.060,1.935.856,x,x
2.329,946,4.450.060,1.935.856,x,x
2.431,994,4.450.060,1.935.856,x,x
2.532,1.039,4.450.060,1.935.856,x,x
2.634,1.093,4.450.060,1.935.856,x,x
2.735,1.128,4.450.060,1.935.856,x,x
2.836,1.164,4.450.060,1.935.856,x,x
2.938,1.210,4.450.060,1.935.856,x,x
3.039,1.249,4.450.060,1.935.856,x,x
3.140,1.288,4.450.060,1.935.856,x,x
3.242,1.340,4.450.060,1.935.856,x,x
3.343,1.385,4.450.060,1.935.856,x,x
3.444,1.418,4.450.060,1.935.856,x,x
3.546,1.464,4.450.060,1.935.856,x,x
3.647,1.512,4.450.060,1.935.856,x,x
3.748,1.557,4.450.060,1.935.856,x,x
3.850,1.606,4.450.060,1.935.856,x,x
3.951,1.638,4.450.060,1.935.856,x,x
4.052,1.683,4.450.060,1.935.856,x,x
4.154,1.716,4.450.060,1.935.856,x,x
4.255,1.764,4.450.060,1.935.856,x,x
4.357,1.800,4.450.060,1.935.856,x,x
