elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,4.449.732,1.935.856,x,x
102,14.647,4.450.064,1.935.856,x,x
204,29.786,4.450.068,1.935.856,x,x
306,44.559,4.450.072,1.935.856,x,x
407,59.442,4.450.072,1.935.856,x,x
508,74.313,4.450.072,1.935.856,x,x
611,89.471,4.450.072,1.935.856,x,x
712,104.412,4.450.072,1.935.856,x,x
812,119.364,4.450.072,1.935.856,x,x
913,134.505,4.450.072,1.935.856,x,x
1.014,149.295,4.450.072,1.935.856,x,x
1.115,163.745,4.450.072,1.935.856,x,x
1.216,178.619,4.450.072,1.935.856,x,x
1.317,193.417,4.450.072,1.935.856,x,x
1.419,208.582,4.450.072,1.935.856,x,x
1.520,223.374,4.450.072,1.935.856,x,x
1.621,238.410,4.450.072,1.935.856,x,x
1.722,253.297,4.450.072,1.935.856,x,x
1.824,268.752,4.450.072,1.935.856,x,x
1.925,283.686,4.450.072,1.935.856,x,x
2.025,298.719,4.450.072,1.935.856,x,x
2.128,313.596,4.450.072,1.935.856,x,x
2.229,328.347,4.450.072,1.935.856,x,x
2.329,343.130,4.450.072,1.935.856,x,x
2.432,358.443,4.450.072,1.935.856,x,x
2.533,373.546,4.450.072,1.935.856,x,x
2.634,388.501,4.450.072,1.935.856,x,x
2.734,403.573,4.450.072,1.935.856,x,x
2.836,418.429,4.450.072,1.935.856,x,x
2.937,433.445,4.450.072,1.935.856,x,x
3.039,448.397,4.450.072,1.935.856,x,x
3.140,463.282,4.450.072,1.935.856,x,x
3.240,478.155,4.450.072,1.935.856,x,x
3.342,493.280,4.450.072,1.935.856,x,x
3.443,508.340,4.450.072,1.935.856,x,x
3.544,523.504,4.450.072,1.935.856,x,x
3.645,538.398,4.450.072,1.935.856,x,x
3.747,553.529,4.450.072,1.935.856,x,x
3.849,568.519,4.450.072,1.935.856,x,x
3.949,583.543,4.450.072,1.935.856,x,x
4.051,598.617,4.450.072,1.935.856,x,x
4.152,613.520,4.450.072,1.935.856,x,x
4.253,628.393,4.450.072,1.935.856,x,x
