elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,222.864,191.317,x,x
1.023,36.164,261.656,191.317,x,x
2.044,78.444,263.844,191.317,x,x
3.068,121.288,263.928,191.317,x,x
4.093,164.036,263.948,191.317,x,x
5.120,207.093,263.960,191.317,x,x
6.152,250.197,263.960,191.317,x,x
7.183,293.839,263.964,191.317,x,x
8.215,337.508,263.964,191.317,x,x
9.250,380.766,263.968,191.317,x,x
10.288,424.392,263.968,191.317,x,x
11.325,467.672,263.968,191.317,x,x
12.362,510.624,263.968,191.317,x,x
13.402,554.158,263.972,191.317,x,x
14.443,597.684,263.972,191.317,x,x
15.483,641.564,263.972,191.317,x,x
16.523,685.069,263.972,191.317,x,x
17.563,728.238,263.972,191.318,x,x
18.603,771.115,263.972,191.318,x,x
19.643,814.280,263.972,191.318,x,x
20.683,857.434,263.972,191.318,x,x
21.723,901.137,263.976,191.318,x,x
22.763,944.786,263.976,191.318,x,x
23.803,988.060,263.976,191.318,x,x
