elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,2,2.782.532,183.519,x,x
1.032,158.283,2.782.716,183.519,x,x
2.067,317.511,2.782.760,183.519,x,x
3.104,475.522,2.782.760,183.519,x,x
4.143,635.506,2.782.760,183.519,x,x
5.182,795.905,2.782.760,183.519,x,x
6.223,954.576,2.782.760,183.519,x,x
7.265,1.114.442,2.782.760,183.520,x,x
8.306,1.275.416,2.782.760,183.520,x,x
9.348,1.434.598,2.782.760,183.520,x,x
10.389,1.595.273,2.782.760,183.520,x,x
11.430,1.755.005,2.782.760,183.520,x,x
12.472,1.913.879,2.782.760,183.520,x,x
13.513,2.074.504,2.782.760,183.520,x,x
14.557,2.235.700,2.782.760,183.520,x,x
15.601,2.392.820,2.782.764,183.520,x,x
16.646,2.431.628,2.782.764,183.520,x,x
17.692,2.479.833,2.782.764,183.520,x,x
18.735,2.525.033,2.782.764,183.520,x,x
19.777,2.553.436,2.782.764,183.520,x,x
20.820,2.600.727,2.782.764,183.520,x,x
21.863,2.633.962,2.782.764,183.520,x,x
22.906,2.672.226,2.782.764,183.520,x,x
23.947,2.812.967,2.782.764,183.520,x,x
24.990,2.951.871,2.782.764,183.520,x,x
26.033,3.089.613,2.782.764,183.520,x,x
27.076,3.227.499,2.782.764,183.520,x,x
28.120,3.365.842,2.782.764,183.520,x,x
29.163,3.503.987,2.782.764,183.520,x,x
30.206,3.653.266,2.782.764,183.520,x,x
31.247,3.810.340,2.782.764,183.520,x,x
32.288,3.966.367,2.782.764,183.520,x,x
33.330,4.124.501,2.782.764,183.520,x,x
34.371,4.282.377,2.782.764,183.520,x,x
35.415,4.434.251,2.782.764,183.521,x,x
36.461,4.576.852,2.782.764,183.521,x,x
37.504,4.718.671,2.782.764,183.521,x,x
38.546,4.860.190,2.782.764,183.521,x,x
39.589,5.003.550,2.782.764,183.521,x,x
40.631,5.151.748,2.782.764,183.521,x,x
41.674,5.291.227,2.782.764,183.521,x,x
42.717,5.431.250,2.782.764,183.521,x,x
43.761,5.570.179,2.782.764,183.521,x,x
44.804,5.707.051,2.782.764,183.521,x,x
45.847,5.846.570,2.782.764,183.521,x,x
46.888,5.991.986,2.782.764,183.521,x,x
47.930,6.141.104,2.782.764,183.521,x,x
48.971,6.297.248,2.782.764,183.521,x,x
50.012,6.454.335,2.782.764,183.521,x,x
51.054,6.608.293,2.782.764,183.521,x,x
52.096,6.750.041,2.782.764,183.521,x,x
53.139,6.901.550,2.782.764,183.521,x,x
54.180,7.054.981,2.782.764,183.521,x,x
55.214,7.204.417,2.782.764,183.521,x,x
56.257,7.345.089,2.782.764,183.521,x,x
57.300,7.484.206,2.782.764,183.521,x,x
58.343,7.636.941,2.782.764,183.521,x,x
59.384,7.791.511,2.782.764,183.521,x,x
60.425,7.940.955,2.782.764,183.521,x,x
61.468,8.080.351,2.782.764,183.521,x,x
62.510,8.237.047,2.782.764,183.522,x,x
63.551,8.393.758,2.782.764,183.522,x,x
64.592,8.549.871,2.782.764,183.522,x,x
65.633,8.707.605,2.782.764,183.522,x,x
66.675,8.865.700,2.782.764,183.522,x,x
67.716,9.008.481,2.782.764,183.522,x,x
68.762,9.151.259,2.782.764,183.522,x,x
69.804,9.294.125,2.782.764,183.522,x,x
70.847,9.435.968,2.782.764,183.522,x,x
71.890,9.578.838,2.782.764,183.522,x,x
72.933,9.719.896,2.782.764,183.522,x,x
73.976,9.858.580,2.782.764,183.522,x,x
75.019,9.997.019,2.782.764,183.522,x,x
