elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,407.900,191.327,x,x
1.023,29.408,438.060,191.327,x,x
2.046,55.437,442.048,191.327,x,x
3.071,81.763,443.588,191.327,x,x
4.097,109.118,445.096,191.327,x,x
5.126,136.096,445.192,191.327,x,x
6.156,163.180,445.192,191.327,x,x
7.189,189.749,445.192,191.327,x,x
8.222,216.167,445.192,191.327,x,x
9.258,244.013,445.192,191.327,x,x
10.294,270.878,445.192,191.327,x,x
11.333,298.630,445.196,191.327,x,x
12.371,326.148,445.196,191.327,x,x
13.409,352.184,447.264,191.327,x,x
14.448,377.889,449.000,191.327,x,x
15.487,403.453,449.536,191.327,x,x
16.525,429.654,449.536,191.327,x,x
17.567,455.386,449.536,191.327,x,x
18.608,481.230,449.536,191.327,x,x
19.649,507.199,449.536,191.327,x,x
20.691,533.311,449.560,191.327,x,x
21.732,559.498,449.616,191.327,x,x
22.774,585.667,449.772,191.327,x,x
23.815,611.480,450.004,191.327,x,x
24.856,637.786,450.072,191.327,x,x
25.898,663.665,450.072,191.328,x,x
26.939,689.619,450.072,191.328,x,x
27.980,715.343,450.072,191.328,x,x
29.022,740.728,450.072,191.328,x,x
30.063,766.195,450.072,191.328,x,x
31.105,791.100,450.072,191.328,x,x
32.146,816.718,450.072,191.328,x,x
33.187,842.746,450.072,191.328,x,x
34.228,868.483,450.072,191.328,x,x
35.270,893.894,450.072,191.328,x,x
36.309,919.640,450.072,191.328,x,x
37.350,945.528,450.072,191.328,x,x
38.392,971.258,450.072,191.328,x,x
39.433,996.696,450.072,191.328,x,x
40.475,1.022.672,450.072,191.328,x,x
41.517,1.048.496,450.072,191.328,x,x
42.558,1.074.397,450.072,191.328,x,x
43.599,1.100.517,450.072,191.328,x,x
44.641,1.126.406,450.072,191.328,x,x
45.682,1.152.415,450.072,191.328,x,x
46.724,1.178.010,450.072,191.328,x,x
47.765,1.203.888,450.072,191.328,x,x
48.806,1.229.593,450.072,191.328,x,x
49.848,1.255.573,450.072,191.328,x,x
50.890,1.281.307,450.072,191.328,x,x
51.931,1.307.240,450.072,191.328,x,x
52.972,1.333.198,450.072,191.328,x,x
54.014,1.359.184,450.072,191.328,x,x
55.055,1.385.466,450.072,191.328,x,x
56.094,1.411.935,450.072,191.329,x,x
57.135,1.439.020,450.280,191.329,x,x
58.176,1.464.946,450.280,191.329,x,x
59.218,1.489.951,450.280,191.329,x,x
60.259,1.514.817,450.280,191.329,x,x
61.300,1.539.910,450.280,191.329,x,x
62.341,1.565.253,450.280,191.329,x,x
63.383,1.590.574,450.280,191.329,x,x
64.424,1.616.005,450.280,191.329,x,x
65.465,1.641.590,450.280,191.329,x,x
66.507,1.666.884,450.280,191.329,x,x
67.548,1.692.732,450.280,191.329,x,x
68.589,1.718.241,450.280,191.329,x,x
69.631,1.744.126,450.280,191.329,x,x
70.672,1.771.292,450.848,191.329,x,x
71.714,1.798.968,453.820,191.329,x,x
72.755,1.825.734,453.864,191.329,x,x
73.796,1.852.387,453.864,191.329,x,x
74.838,1.878.813,453.864,191.329,x,x
75.879,1.904.332,453.864,191.329,x,x
76.921,1.930.007,453.864,191.329,x,x
77.962,1.955.508,453.868,191.329,x,x
79.003,1.981.024,453.868,191.329,x,x
