start_ns,end_ns
344074,378166
824527,865225
1125322,1136477
1793303,1817090
1927364,1970301
2019796,2050603
2195921,2210477
3709341,3728095
3784173,3800958
4420855,4450427
4657131,4675530
4801491,4814352
4814699,4821490
4874024,4891609
4880751,4903428
6873165,6902837
6895722,6922513
7824236,7832587
8168364,8173726
9359343,9374057
10578549,10585867
11057948,11084487
11394539,11400871
11517032,11540441
13550182,13573136
16412502,16435746
17012587,17026294
17026003,17035064
18260701,18284151
19024334,19049153
19312511,19326939
19824175,19849152
20634737,20642368
20672106,20679952
22076484,22082218
22259039,22260637
22325636,22349422
22455026,22469940
22684741,22690853
22897051,22911104
23412532,23428004
23439312,23473969
24006865,24018528
25706864,25724451
26751060,26766595
26895098,26911917
27308821,27330475
27378816,27381442
28482215,28494996
28523418,28536200
28736081,28758212
28936575,28941789
29175002,29199421
29441177,29451537
29542219,29544009
29598241,29605757
30363353,30383742
31031155,31038744
31298313,31310518
31352690,31379317
32149408,32165490
32707256,32723734
33215462,33234840
33721025,33736224
34675721,34688936
35318062,35344533
37053496,37060547
37712602,37727594
38190312,38191700
39554071,39572814
40019156,40021214
40088869,40097317
42040126,42046267
42120553,42124790
42224313,42230078
42739423,42750094
43099404,43111808
44339371,44348081
45077345,45088267
45180946,45192932
45398743,45418031
45429311,45435455
45644369,45657060
46213485,46231683
46279854,46290868
47031035,47044405
47192404,47197343
47219047,47227348
48278298,48296321
49729649,49745388
50296619,50298534
50324625,50338483
51003793,51032644
52510643,52523934
52801923,52819046
52813616,52825230
53574245,53579618
53766920,53771797
55774195,55791786
57748530,57760724
58969489,58978058
58973736,58975344
59237848,59241605
59494575,59505950
59592323,59599751
59837744,59849186
60053788,60061577
60085999,60091734
60172015,60190159
60546631,60551739
60642467,60651734
61863665,61872319
63295408,63308346
63531833,63547699
63905005,63916181
64182469,64192754
65816405,65830503
66776580,66788494
67595826,67599411
67596327,67608555
67694981,67713252
68028327,68045706
68532512,68537137
68554513,68565308
68776434,68787347
68940115,68941209
69216428,69217949
69509206,69521105
69564944,69566494
69810908,69827456
70150520,70159592
71510083,71515470
71891795,71902468
72170695,72182098
72231459,72237218
73297942,73323391
73518162,73532127
75547771,75558804
76430957,76441842
76566034,76595742
77109487,77112914
77182687,77191640
77705276,77724320
78008664,78020165
79426738,79435865
80823055,80830458
83847652,83852671
85859752,85874230
85950888,85960428
86417309,86449652
86597611,86603121
87892344,87905991
87995662,88004980
88740965,88766912
90764909,90777346
90799571,90810343
90877978,90884195
91867204,91879060
91937664,91947949
92441413,92448077
93098128,93116179
93769248,93790153
94227533,94231890
94824927,94834911
96093604,96098061
96412860,96425191
98948013,98961046
99033234,99034496
99190742,99198815
99756179,99766599
100190851,100206759
100687925,100697316
101194122,101204065
102101597,102125739
103500342,103509028
104781309,104789086
105739820,105749163
106561341,106562802
107416166,107426355
107509195,107520504
107538895,107549624
107869800,107883318
108003546,108010164
108396843,108413251
109563572,109577865
109569956,109583420
109655635,109658750
110976760,110987058
112135919,112140558
112467881,112478832
112495666,112510819
112611939,112626444
114144035,114145109
114146995,114153076
114355257,114359358
114718338,114719493
115551582,115564207
115803023,115808112
118596035,118606311
118682392,118695824
118780783,118791332
118803928,118820844
118905612,118910209
119250600,119266287
119906327,119923281
119960561,119972188
120119460,120124388
