elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,7,2.638.684,183.570,x,x
1.054,126.725,2.638.868,183.570,x,x
2.097,192.740,2.638.912,183.570,x,x
3.141,258.473,2.638.912,183.570,x,x
4.184,324.345,2.638.912,183.570,x,x
5.228,390.797,2.638.912,183.570,x,x
6.271,456.864,2.638.912,183.570,x,x
7.315,523.006,2.638.912,183.570,x,x
8.358,590.755,2.638.972,183.570,x,x
9.401,655.523,2.638.972,183.570,x,x
10.445,720.110,2.638.972,183.570,x,x
11.488,784.642,2.638.972,183.570,x,x
12.532,849.534,2.638.972,183.570,x,x
13.575,914.162,2.638.972,183.570,x,x
14.619,953.717,2.638.976,183.570,x,x
15.662,1.018.202,2.638.976,183.570,x,x
16.706,1.083.649,2.638.976,183.570,x,x
17.750,1.149.632,2.638.976,183.570,x,x
18.793,1.219.998,2.638.976,183.570,x,x
19.835,1.288.769,2.638.976,183.570,x,x
20.878,1.292.832,2.638.976,183.570,x,x
21.921,1.308.216,2.638.976,183.570,x,x
22.965,1.315.891,2.638.976,183.571,x,x
24.007,1.323.061,2.638.976,183.571,x,x
25.050,1.333.739,2.638.976,183.571,x,x
26.094,1.337.115,2.638.976,183.571,x,x
27.135,1.349.566,2.638.976,183.571,x,x
28.178,1.365.134,2.638.976,183.571,x,x
29.222,1.368.827,2.638.976,183.571,x,x
30.263,1.373.673,2.638.976,183.571,x,x
31.296,1.378.356,2.638.976,183.571,x,x
32.336,1.387.690,2.638.976,183.571,x,x
33.376,1.390.419,2.638.976,183.571,x,x
34.416,1.396.306,2.638.976,183.571,x,x
35.460,1.398.784,2.638.976,183.571,x,x
36.500,1.403.498,2.638.976,183.571,x,x
37.542,1.408.390,2.638.976,183.571,x,x
38.585,1.414.078,2.638.976,183.571,x,x
39.627,1.420.347,2.638.976,183.571,x,x
40.668,1.421.978,2.638.976,183.571,x,x
41.711,1.428.826,2.638.976,183.571,x,x
42.753,1.436.508,2.638.976,183.571,x,x
43.795,1.441.662,2.638.976,183.571,x,x
44.839,1.460.668,2.638.976,183.571,x,x
45.882,1.489.787,2.638.976,183.571,x,x
46.925,1.514.141,2.638.976,183.571,x,x
47.970,1.526.986,2.638.976,183.571,x,x
49.013,1.538.952,2.638.976,183.571,x,x
50.056,1.560.740,2.638.976,183.572,x,x
51.099,1.590.314,2.638.976,183.572,x,x
52.143,1.608.117,2.638.976,183.572,x,x
53.186,1.610.298,2.638.976,183.572,x,x
54.229,1.630.284,2.638.976,183.572,x,x
55.274,1.646.304,2.638.976,183.572,x,x
56.317,1.688.416,2.638.976,183.572,x,x
57.360,1.699.004,2.638.976,183.572,x,x
58.404,1.700.733,2.638.976,183.572,x,x
59.444,1.722.432,2.638.976,183.572,x,x
60.474,1.725.766,2.638.976,183.572,x,x
61.513,1.774.535,2.638.976,183.572,x,x
62.554,1.778.331,2.638.976,183.572,x,x
63.595,1.802.268,2.638.976,183.572,x,x
64.638,1.841.411,2.638.976,183.572,x,x
65.682,1.904.899,2.638.976,183.572,x,x
66.726,1.909.349,2.638.976,183.572,x,x
67.766,1.929.187,2.638.976,183.572,x,x
68.810,1.992.859,2.638.976,183.572,x,x
69.852,2.057.216,2.638.976,183.572,x,x
70.895,2.121.099,2.638.976,183.572,x,x
71.939,2.184.771,2.638.976,183.572,x,x
72.982,2.249.233,2.638.976,183.572,x,x
74.026,2.312.926,2.638.976,183.572,x,x
75.069,2.376.303,2.638.976,183.572,x,x
76.113,2.440.448,2.638.976,183.572,x,x
77.156,2.504.515,2.638.976,183.572,x,x
78.199,2.568.686,2.638.976,183.573,x,x
79.243,2.672.031,2.638.976,183.573,x,x
80.284,2.801.620,2.638.976,183.573,x,x
81.328,2.865.281,2.638.976,183.573,x,x
82.371,2.929.651,2.638.976,183.573,x,x
83.415,2.993.887,2.638.976,183.573,x,x
84.458,3.058.550,2.638.976,183.573,x,x
85.502,3.126.382,2.638.976,183.573,x,x
86.545,3.190.921,2.638.976,183.573,x,x
87.589,3.255.018,2.638.976,183.573,x,x
88.632,3.322.038,2.638.976,183.573,x,x
89.675,3.386.366,2.638.976,183.573,x,x
90.716,3.450.732,2.638.976,183.573,x,x
91.760,3.515.553,2.638.976,183.573,x,x
92.803,3.580.387,2.638.976,183.573,x,x
93.847,3.644.263,2.638.976,183.573,x,x
94.890,3.708.389,2.638.976,183.573,x,x
95.934,3.773.151,2.638.976,183.573,x,x
96.977,3.838.124,2.638.976,183.573,x,x
98.021,3.902.673,2.638.976,183.573,x,x
99.064,3.967.072,2.638.976,183.573,x,x
100.107,4.031.431,2.638.976,183.573,x,x
101.151,4.095.777,2.638.976,183.573,x,x
102.194,4.159.822,2.638.976,183.573,x,x
103.238,4.223.291,2.638.976,183.573,x,x
104.281,4.287.367,2.638.976,183.573,x,x
105.324,4.352.920,2.638.976,183.574,x,x
106.366,4.417.126,2.638.976,183.574,x,x
107.410,4.481.635,2.638.976,183.574,x,x
108.453,4.548.344,2.638.976,183.574,x,x
109.497,4.613.071,2.638.976,183.574,x,x
110.540,4.677.699,2.638.976,183.574,x,x
111.584,4.742.536,2.638.976,183.574,x,x
112.625,4.806.557,2.638.976,183.574,x,x
113.669,4.870.469,2.638.976,183.574,x,x
114.712,4.947.299,2.638.976,183.574,x,x
115.754,5.053.596,2.638.976,183.574,x,x
116.797,5.117.750,2.638.976,183.574,x,x
117.841,5.183.781,2.638.976,183.574,x,x
118.884,5.247.778,2.638.976,183.574,x,x
119.928,5.311.494,2.638.976,183.574,x,x
120.971,5.375.939,2.638.976,183.574,x,x
122.004,5.439.618,2.638.976,183.574,x,x
123.045,5.503.541,2.638.976,183.574,x,x
