start_ns,end_ns
24549034,47237139
72245707,72250483
115190511,128817780
217193720,256624920
267556672,286275437
297293025,297299857
318577841,318582159
599364113,599372111
621208944,621213593
819935692,819942912
890449322,890456806
897089270,933376045
909110670,962604041
949548024,1001162668
1054354629,1054359710
1222715097,1222719477
1318034332,1343111390
1463267826,1501114017
1577019686,1577022647
1702431408,1702433841
1900591521,1934105550
2240884803,2240888601
2384844620,2384853003
2396461902,2396466476
2556289488,2590287862
3272045428,3272049281
3292776442,3315295112
3438189206,3473558464
3613031635,3613039827
3788384368,3818438643
3896051135,3934764964
3960766686,3999496715
4278671856,4307097104
4325865715,4325868738
4361078378,4396374444
4377197899,4418074461
4466401523,4466404744
4474834606,4497708785
4585387198,4585394331
4688624724,4688630199
4689751599,4689754319
4830692198,4830697263
5188196370,5188200222
5212095626,5254294972
5399133419,5411723109
5399451849,5416040583
5544770718,5544779501
5679013752,5679016478
5756257081,5777406952
5780366552,5780373902
5892910084,5921709051
5900193245,5926001155
5938075104,5967934789
6040004311,6056758278
6162379810,6200268936
6203811998,6203815603
6221258551,6235239177
6226216996,6246348115
6332642251,6356072662
6368944491,6388322672
6469193057,6469196144
6488787006,6488791416
6788594785,6804078627
6882294629,6882300833
7214582712,7252497422
7270947508,7292378360
7469443814,7480842227
7604853242,7635651283
7815343369,7815349292
7828494588,7828497869
7834230043,7834233141
7873744038,7873746887
8112596378,8112603992
8120025723,8145365269
8155311725,8155318287
8406722718,8406725844
8861072543,8890122826
8929766072,8929773783
8931919410,8931923726
8949297610,9015269916
8987664450,8987672408
9046678648,9046686325
9168277443,9219947081
9341051493,9341059337
9545834096,9595429893
9665391212,9665398846
9807371606,9841679233
10207502689,10237800830
10209948312,10249765298
10267844626,10319245261
10278544842,10332694126
10370757890,10430165413
10959383548,10959388396
10967817494,10989117930
11036286502,11036290965
11164305407,11164313659
11222534069,11222541032
11313000394,11338679636
11608661331,11608668875
11963528254,11963535227
12223728898,12223732128
12246857529,12246861093
12365358273,12410301201
12397605995,12397612897
12418322322,12463709300
12516730194,12554853543
12588334239,12588338659
12604253806,12631802305
12617938716,12655894109
13072089972,13112916895
13311785209,13348447020
13398614207,13398621724
13763341794,13763344811
13811528504,13842375181
13905845787,13917699407
13940504343,13954811026
14070957234,14078931296
14129308863,14160451465
14335378201,14335383450
14410639067,14444959751
14469759078,14489597314
14482724540,14482729136
14493974920,14493981752
14554877844,14554884385
14561573606,14561576681
14632203658,14632208489
14739032236,14739039716
14920117908,14947962682
14983660576,15000101369
15296828391,15296831302
15301986122,15301990422
15366223389,15378604024
15488146512,15505663744
16030201946,16030206362
16056901597,16056904629
16061835671,16061838698
16203700041,16203704739
16256649353,16256656586
16268574429,16268581234
16269069937,16297395433
16432646483,16472529134
16458288113,16485828371
16876482350,16893623948
16897363726,16897367023
17427510819,17427514695
17911508442,17911510823
17994578632,17994582086
18300372317,18300379366
18380626584,18409263214
18443470217,18475922635
18777104985,18799348376
18801566420,18815514679
18819332888,18833351681
18841819459,18841823192
19058645220,19081542240
19529579401,19563611996
19647965081,19647969382
19852998005,19853004804
19930200077,19956774902
20019040977,20019043600
20254446567,20287723261
20284828375,20284836657
20325920365,20325923720
20510248019,20510256952
20743053051,20743056104
20744087133,20744094269
20761411193,20761418286
21336750146,21336755768
21475776506,21475780465
21543934760,21543941109
21658387391,21658391607
21726022389,21726028562
21962930205,21987226984
22216581509,22227414723
22247114535,22274322775
22419652611,22419657131
22430489253,22430492876
22434626722,22434635291
22482620390,22499252540
22551785198,22567289035
22687513460,22687519314
23411521179,23411526211
23413711692,23413719656
23449524152,23463362208
23491171235,23521162144
23612535141,23612539458
23813399237,23813407499
24328648765,24355588865
24471496455,24495577316
24490761724,24508754873
24887747902,24887751522
24937962555,24953228855
25192115910,25235512272
25363046156,25403823226
25478740684,25487073231
25487620613,25487626293
25500932171,25500937147
25716454479,25733657777
25755818655,25755826051
25786724259,25807844746
25806395055,25826242226
25826425846,25826432731
25911654333,25964949665
25916205619,25983039005
25926119021,26000942841
26337184143,26382930402
26414300092,26455638768
26505560829,26536524062
26571547901,26611979061
26611893364,26611897463
27165480278,27165488266
27166743541,27184445321
27192917196,27201079146
27213271010,27213273420
27462141243,27506579688
27790809197,27790815979
27816943412,27816947822
27954300403,27994868129
28078618978,28102054270
28090607534,28090616023
28232133491,28232135942
28331798577,28331804922
28458246853,28496220600
28467985773,28467992649
28519788225,28537203713
28687500216,28687507680
28873818708,28898320160
29109617712,29125789286
29192700186,29216558748
29206537158,29241926929
29327151660,29359298661
29695680362,29715218290
29810108277,29839522857
