start_ns,end_ns
388055,447259
1017966,1022530
1184480,1212383
1763154,1766720
1876977,1902086
1922137,1961366
2222766,2227628
3655514,3659357
4070547,4093364
4656773,4659355
4776335,4779235
4782131,4807534
4873941,4877565
5108535,5188998
5158208,5162057
6923350,6956812
7255644,7279919
7346782,7371294
7518987,7542648
8736224,8739993
10312472,10336396
10461399,10464191
10972594,10975727
11091890,11117999
13011923,13037428
15974293,15997480
16555372,16575264
16563907,16565929
17819701,17822321
18566440,18614812
18930838,18963651
18946079,18950109
20207723,20228885
20258092,20260897
21162789,21165727
21391442,21426367
21674074,21677027
21780755,21784024
21999622,22003070
22190229,22192321
22811052,22813066
22824336,22827336
23717345,23757321
24974983,25007753
26063397,26066502
26240743,26278202
26350019,26370177
27039363,27042314
27459995,27462812
27854733,27857001
28001251,28003754
28502709,28505697
28609894,28612542
28873875,28889334
29128912,29131609
29238406,29284291
29635974,29638886
29967905,29970591
30230129,30232546
30617383,30635030
31837237,31840010
31946937,31971298
32089912,32096810
33461525,33478124
33868200,33870925
35044493,35046387
35784415,35785959
37313471,37316067
37772676,37776198
38931522,38934480
39033274,39035579
39094862,39096865
41347981,41350502
41424782,41445522
41545047,41547744
42227091,42228644
42589581,42604663
43615149,43633673
43895298,43898576
44346193,44363176
44356955,44414152
44667867,44684777
44904457,44922348
44966943,45021253
45252436,45291210
46400199,46401908
46900564,46903817
46942080,46957941
47248579,47250246
48664648,48666884
49194584,49232646
49603433,49637371
50084079,50085852
51379800,51397117
51481632,51483199
52437258,52439739
52558166,52560455
52607307,52626187
55199054,55219194
56631157,56648307
57717755,57736694
57829939,57832408
58085628,58087584
58249572,58251275
58673533,58690991
59206271,59208570
59730513,59747775
59765302,59792970
59828041,59830545
60289617,60306673
60298485,60328998
60668399,60709635
62115850,62118523
62425822,62427888
63716376,63718303
63963029,63964165
65672182,65674057
66449005,66450663
66465314,66467700
66690982,66708250
67402572,67404228
67664954,67667373
67781676,67796559
67876091,67878584
68343180,68360467
68613630,68615579
68738463,68741037
69076094,69104503
69477882,69493138
69536973,69549787
70126671,70165366
71505073,71521703
71784849,71787184
72092709,72095461
72144811,72147261
72305218,72307598
73272969,73275806
75134284,75136332
75260517,75262720
75566747,75569389
75796988,75799105
76511865,76528204
76799031,76828892
77244084,77246139
78143179,78144817
80965120,80982664
82631776,82647179
85149736,85152177
85665483,85683309
86024148,86040222
86259978,86261382
86716753,86719601
86819507,86834617
89129823,89143803
90005605,90022183
90044420,90046943
91082537,91099417
91245287,91247723
91418227,91420823
92077560,92104753
92286138,92302844
94175115,94190194
94636046,94651435
95191439,95193369
95493484,95508697
96342403,96372004
98124077,98151708
98216246,98250071
99276079,99287751
99518147,99533877
99778262,99780073
100082466,100095645
100306536,100308442
101184582,101201147
103838658,103840646
104024256,104040214
104780682,104782914
