start_ns,end_ns
14210794,18182236
63522267,63546821
89343846,89355178
149875432,154142181
151936139,151963559
162981060,166131656
191006433,191034135
331342779,331360492
366265529,366289427
423193753,423211953
441114383,445577772
447602490,450600788
457233171,460545574
465885602,469546863
486686553,486719639
656955294,656973518
669524189,669544261
710188524,710219036
712243377,712275396
820211391,826354767
972911060,978519743
1024820116,1030413789
1102789697,1106272739
1117881591,1117905941
1243858688,1246994966
1553717509,1556542415
1619987020,1619993535
1687866670,1691123614
1805006770,1810912025
1817193479,1817219270
1898379474,1898384313
1923790435,1928677373
1982193308,1986522575
2074941258,2079351645
2109071743,2112276824
2127684872,2131251330
2157714035,2157747327
2165851211,2165873033
2192789685,2192814704
2212468091,2212471571
2232318620,2232354294
2233475655,2233497441
2338448366,2338482963
2450005069,2454609256
2554059900,2554080496
2678872567,2685145445
2683460529,2688135719
2693511206,2696144712
2757112920,2759998351
2795107480,2795131145
2836993615,2837016139
2855000977,2857799300
2857668631,2857694141
2914186681,2914220887
2922577645,2925668528
2922744109,2922749452
2929486036,2932657189
3022930827,3026467470
3055054479,3058401970
3084349948,3084382290
3159760470,3163230576
3175000441,3178143610
3271264678,3273988838
3334529580,3337854931
3364007074,3367795051
3495285619,3495290524
3653592448,3656225020
3736103534,3739068033
3783741120,3783786485
3885930173,3888763818
4055210715,4058424960
4069734920,4072374151
4145551831,4148263406
4155685061,4161226202
4171172566,4176184715
4209587703,4209598944
4245018876,4248058027
4392352939,4392376525
4467916237,4470614686
4498594677,4498627170
4510692743,4513528015
4563843109,4567413525
4626531018,4626564459
4627288380,4630300409
4668510680,4671219063
4690776812,4694171766
4701874466,4707144496
4726159402,4729101984
4926917850,4926938816
5042518069,5047469162
5077712811,5080403485
5128092213,5128125875
5142012182,5145270973
5313665009,5313671736
5314698092,5317974133
5376217782,5376232052
5485808323,5485850057
5505607070,5505651109
5582015970,5582038719
5936573999,5939727599
5980714061,5983632579
5984464710,5984485473
6033053452,6036523803
6040556580,6040588735
6048609807,6051490084
6070791127,6074472661
6087262807,6090406408
6097665379,6100394646
6107034085,6110371298
6147090382,6147115873
6159739668,6163257290
6287075996,6290065308
6438252171,6441681334
6508830070,6511582388
6532293531,6532312771
6554335139,6554367886
6685072182,6688229691
6793891205,6800000333
6892261793,6896786846
6897393892,6897399102
6939024641,6939030749
6973052855,6975678454
6993831707,6996628412
7010749706,7014616817
7069704889,7072467628
7080802750,7085434124
7088363759,7088385532
7092763102,7092784972
7127431457,7127464586
7160291003,7160312382
7229954441,7230006766
7301753295,7301784405
7344583549,7344603759
7371304629,7374868198
7379799216,7382855509
7500579840,7500615783
7502421572,7502441082
7745786187,7745814081
7920786639,7923784559
7923504179,7923524446
7936197843,7936243888
7956487881,7959719172
7986208867,7986227661
7986681889,7991651134
8220545244,8220549708
8332237723,8335116342
8696246847,8699240069
8855774093,8858923769
8891116716,8895831694
8921803630,8925776746
8967824181,8967850532
9129075011,9134390355
9146593883,9149366337
9193309924,9193338117
9380709745,9380727979
9382945966,9386926861
9417199161,9417202967
9496806948,9496839856
9538710406,9538734322
9638021278,9641388153
9707439257,9710247165
9728752187,9734204428
9782023748,9782054716
9852817088,9852841414
10003106899,10003140665
10071910417,10074524525
10252927173,10252951682
10261056564,10261088374
10316289772,10316323191
10366415327,10366426057
10470802473,10473758571
10525917663,10525947407
10587692424,10587735172
10680996084,10684329214
10772082633,10772117618
10947166850,10947170592
11041279963,11046610667
11079812241,11085534685
11185570954,11185575280
11196436580,11196460401
11225956683,11225979388
11227797040,11227821099
11259369946,11259402944
11300198348,11303069647
11434148513,11436839906
11449118113,11453822181
11454827675,11457790810
11599924979,11603504734
11676461675,11681349021
11724045111,11724072016
11763145847,11763153057
