elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,846.528,177.310,x,x
103,37,850.372,177.325,x,x
205,78,853.324,177.343,x,x
308,108,854.796,177.361,x,x
411,140,856.448,177.381,x,x
515,185,858.380,177.403,x,x
618,218,859.676,173.643,x,x
722,249,860.944,173.661,x,x
826,290,862.296,173.676,x,x
929,317,863.060,173.696,x,x
1.033,361,864.660,173.722,x,x
1.136,387,865.336,173.735,x,x
1.240,419,866.028,173.755,x,x
1.344,458,867.020,173.776,x,x
1.447,492,868.108,173.791,x,x
1.551,524,869.088,173.809,x,x
1.654,554,869.712,173.823,x,x
1.758,591,870.828,173.840,x,x
1.862,631,871.372,173.864,x,x
1.965,660,871.920,173.885,x,x
2.069,689,872.756,173.903,x,x
2.172,723,873.220,173.918,x,x
2.276,750,873.732,173.933,x,x
2.380,778,874.332,173.948,x,x
2.483,801,874.632,173.960,x,x
2.587,826,875.524,173.969,x,x
2.690,860,876.324,173.988,x,x
2.794,887,876.772,174.000,x,x
2.898,917,877.208,174.016,x,x
3.001,944,877.836,174.025,x,x
3.105,965,878.044,174.039,x,x
3.208,993,878.568,174.056,x,x
3.312,1.026,879.216,174.072,x,x
3.416,1.071,880.316,174.086,x,x
3.519,1.097,880.620,174.101,x,x
3.623,1.129,881.576,174.110,x,x
3.726,1.155,881.960,174.124,x,x
3.830,1.181,882.132,174.139,x,x
3.933,1.205,882.232,174.153,x,x
4.037,1.233,882.616,174.166,x,x
4.141,1.271,883.480,174.181,x,x
4.244,1.290,883.896,174.189,x,x
4.348,1.321,884.464,174.206,x,x
4.451,1.354,884.964,174.221,x,x
4.555,1.384,885.308,174.236,x,x
4.658,1.408,885.732,174.245,x,x
4.762,1.444,886.160,174.257,x,x
4.866,1.461,886.432,174.273,x,x
4.969,1.486,886.720,174.290,x,x
5.073,1.514,887.072,174.307,x,x
5.176,1.543,887.476,174.321,x,x
5.280,1.573,887.904,174.336,x,x
5.383,1.597,888.256,174.350,x,x
5.487,1.631,888.856,174.366,x,x
5.590,1.661,889.268,174.379,x,x
5.694,1.683,889.664,174.393,x,x
5.798,1.713,889.988,174.411,x,x
5.901,1.743,890.380,174.429,x,x
6.004,1.775,890.904,174.445,x,x
6.107,1.798,891.416,174.456,x,x
6.211,1.828,891.820,174.471,x,x
6.314,1.858,892.236,170.711,x,x
6.417,1.894,892.956,170.729,x,x
6.521,1.922,893.212,170.746,x,x
6.624,1.951,893.464,170.764,x,x
6.728,1.974,893.904,170.777,x,x
6.831,1.995,894.136,170.790,x,x
6.935,2.022,894.368,170.804,x,x
7.039,2.064,894.788,170.830,x,x
7.142,2.082,894.856,170.842,x,x
7.246,2.109,895.068,170.856,x,x
7.349,2.129,895.416,170.867,x,x
7.453,2.159,895.788,170.883,x,x
7.557,2.198,896.208,170.901,x,x
7.660,2.232,896.640,170.917,x,x
7.764,2.257,896.992,170.928,x,x
7.867,2.287,897.224,170.944,x,x
7.971,2.318,897.684,170.955,x,x
8.074,2.352,898.056,170.972,x,x
8.178,2.389,898.340,170.991,x,x
8.282,2.428,898.752,171.011,x,x
8.385,2.457,899.104,171.023,x,x
8.489,2.483,899.428,171.037,x,x
8.592,2.506,899.952,171.047,x,x
8.696,2.535,900.440,171.323,x,x
8.800,2.554,900.748,167.557,x,x
8.903,2.570,900.992,163.527,x,x
9.007,2.605,901.400,163.544,x,x
9.110,2.627,901.672,163.555,x,x
