elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,2.620.452,1.981.868,x,x
101,3.569,2.620.572,1.981.868,x,x
202,7.327,2.620.572,1.981.868,x,x
303,11.074,2.620.572,1.981.868,x,x
405,14.810,2.620.572,1.981.868,x,x
506,18.494,2.620.572,1.981.868,x,x
608,22.186,2.620.572,1.981.868,x,x
709,25.851,2.620.572,1.981.868,x,x
811,29.504,2.620.572,1.981.868,x,x
912,33.149,2.620.572,1.981.868,x,x
1.014,36.820,2.620.572,1.981.868,x,x
1.115,40.590,2.620.572,1.981.868,x,x
1.217,44.293,2.620.572,1.981.868,x,x
1.318,47.963,2.620.572,1.981.868,x,x
1.420,51.639,2.620.572,1.981.868,x,x
1.521,55.370,2.620.572,1.981.868,x,x
1.623,59.056,2.620.572,1.981.868,x,x
1.724,62.838,2.620.572,1.981.868,x,x
1.825,66.701,2.620.572,1.981.868,x,x
1.927,70.372,2.620.572,1.981.868,x,x
2.028,74.129,2.620.572,1.981.868,x,x
2.130,77.750,2.620.572,1.981.868,x,x
2.231,81.546,2.620.572,1.981.868,x,x
2.333,85.207,2.620.572,1.981.868,x,x
2.434,89.003,2.620.572,1.981.868,x,x
2.536,92.782,2.620.572,1.981.868,x,x
2.637,96.539,2.620.572,1.981.868,x,x
2.739,100.252,2.620.572,1.981.868,x,x
2.840,103.905,2.620.572,1.981.868,x,x
2.941,107.573,2.620.572,1.981.868,x,x
3.043,111.231,2.620.572,1.981.868,x,x
3.144,114.942,2.620.572,1.981.868,x,x
3.246,118.673,2.620.572,1.981.868,x,x
3.347,122.378,2.620.572,1.981.868,x,x
3.449,126.177,2.620.572,1.981.868,x,x
3.550,129.998,2.620.572,1.981.868,x,x
3.652,133.731,2.620.572,1.981.868,x,x
3.753,137.447,2.620.572,1.981.868,x,x
3.855,141.155,2.620.572,1.981.868,x,x
3.956,144.926,2.620.572,1.981.868,x,x
4.058,148.736,2.620.572,1.981.868,x,x
4.159,152.414,2.620.572,1.981.868,x,x
4.261,156.090,2.620.572,1.981.868,x,x
4.362,159.826,2.620.572,1.981.868,x,x
4.464,163.585,2.620.572,1.981.868,x,x
4.565,167.272,2.620.572,1.981.868,x,x
4.667,171.058,2.620.572,1.981.868,x,x
4.768,174.939,2.620.572,1.981.868,x,x
4.869,178.661,2.620.572,1.981.868,x,x
4.971,182.482,2.620.572,1.981.868,x,x
5.072,186.249,2.620.572,1.981.868,x,x
5.174,190.043,2.620.572,1.981.868,x,x
5.275,193.825,2.620.572,1.981.868,x,x
5.377,197.470,2.620.572,1.981.868,x,x
5.478,201.270,2.620.572,1.981.868,x,x
5.580,205.030,2.620.572,1.981.868,x,x
5.681,208.575,2.620.572,1.981.868,x,x
5.783,212.296,2.620.572,1.981.868,x,x
5.884,215.950,2.620.572,1.981.868,x,x
5.986,219.716,2.620.572,1.981.868,x,x
6.087,223.425,2.620.572,1.981.868,x,x
6.189,227.202,2.620.572,1.981.868,x,x
6.290,230.836,2.620.572,1.981.868,x,x
6.392,234.623,2.620.572,1.981.868,x,x
6.493,238.364,2.620.572,1.981.868,x,x
6.595,242.117,2.620.572,1.981.868,x,x
6.696,246.000,2.620.572,1.981.868,x,x
6.798,249.708,2.620.572,1.981.868,x,x
6.899,253.513,2.620.572,1.981.868,x,x
7.001,257.144,2.620.572,1.981.868,x,x
7.102,260.991,2.620.572,1.981.868,x,x
7.204,264.731,2.620.572,1.981.868,x,x
7.305,268.504,2.620.572,1.981.868,x,x
7.407,272.279,2.620.572,1.981.868,x,x
7.508,276.077,2.620.572,1.981.868,x,x
