elapsed_time_ms,executed_count,memory_kb,disk_kb,Tracking,Repartitioning
0,0,1.289.300,71.898,x,x
101,61,1.293.596,69.737,x,x
202,103,1.295.900,70.659,x,x
304,149,1.298.380,71.986,x,x
405,210,1.301.916,74.177,x,x
507,249,1.303.904,75.305,x,x
609,281,1.305.556,76.524,x,x
710,334,1.308.116,78.607,x,x
812,391,1.311.008,80.246,x,x
914,442,1.300.420,68.758,x,x
1.015,485,1.300.644,67.912,x,x
1.117,547,1.303.596,70.009,x,x
1.218,593,1.303.740,68.969,x,x
1.320,618,1.305.376,70.123,x,x
1.421,685,1.305.576,69.149,x,x
1.523,734,1.307.108,70.290,x,x
1.624,785,1.307.396,69.475,x,x
1.726,823,1.309.244,70.478,x,x
1.827,888,1.308.456,68.503,x,x
1.928,947,1.310.072,69.005,x,x
2.030,1.000,1.310.720,69.228,x,x
2.131,1.046,1.311.664,69.007,x,x
2.233,1.095,1.311.720,68.594,x,x
2.334,1.137,1.313.912,70.009,x,x
2.436,1.211,1.314.820,70.147,x,x
2.537,1.254,1.313.988,68.674,x,x
2.639,1.309,1.316.756,70.466,x,x
2.740,1.356,1.315.820,68.970,x,x
2.841,1.412,1.317.072,69.258,x,x
2.943,1.466,1.317.876,69.548,x,x
3.044,1.528,1.318.964,69.839,x,x
3.146,1.586,1.319.804,70.135,x,x
3.247,1.637,1.320.476,69.785,x,x
3.348,1.678,1.319.808,68.759,x,x
3.450,1.731,1.322.468,70.701,x,x
3.551,1.780,1.322.016,69.366,x,x
3.652,1.813,1.323.544,70.751,x,x
3.754,1.875,1.322.256,68.794,x,x
3.855,1.938,1.323.336,69.174,x,x
3.956,1.996,1.323.856,69.066,x,x
4.058,2.041,1.323.592,68.777,x,x
4.159,2.110,1.325.536,70.521,x,x
4.260,2.170,1.325.876,70.660,x,x
4.362,2.213,1.325.252,69.521,x,x
4.463,2.250,1.326.836,70.996,x,x
4.564,2.307,1.325.612,69.211,x,x
4.666,2.368,1.327.404,71.055,x,x
4.767,2.419,1.325.852,69.068,x,x
4.868,2.473,1.328.200,71.110,x,x
4.970,2.509,1.327.388,69.578,x,x
5.071,2.540,1.329.028,71.143,x,x
5.172,2.609,1.329.468,70.584,x,x
5.274,2.636,1.330.568,71.460,x,x
5.375,2.701,1.330.620,71.232,x,x
5.476,2.744,1.329.300,69.399,x,x
5.578,2.787,1.331.276,71.284,x,x
5.679,2.830,1.330.168,69.817,x,x
5.780,2.867,1.332.072,71.324,x,x
5.882,2.915,1.330.636,69.692,x,x
5.983,2.975,1.330.776,69.480,x,x
6.084,3.031,1.331.172,69.691,x,x
6.185,3.076,1.330.956,69.321,x,x
6.287,3.126,1.332.872,71.107,x,x
6.388,3.181,1.333.384,70.911,x,x
6.489,3.224,1.332.588,69.623,x,x
6.591,3.278,1.334.640,71.566,x,x
6.692,3.330,1.333.492,70.071,x,x
6.793,3.378,1.335.728,71.611,x,x
6.894,3.434,1.334.508,70.121,x,x
6.996,3.493,1.335.092,70.413,x,x
7.097,3.558,1.335.488,66.942,x,x
7.198,3.600,1.335.812,66.840,x,x
7.299,3.643,1.335.304,66.312,x,x
7.401,3.683,1.336.480,67.785,x,x
7.502,3.748,1.336.884,67.614,x,x
7.603,3.785,1.335.276,65.890,x,x
7.704,3.847,1.337.856,68.093,x,x
7.805,3.887,1.336.224,66.256,x,x
7.907,3.936,1.336.968,66.731,x,x
8.008,3.991,1.337.592,67.025,x,x
8.109,4.048,1.338.172,67.308,x,x
8.210,4.105,1.338.696,67.598,x,x
8.311,4.159,1.339.168,67.543,x,x
8.413,4.200,1.338.332,66.583,x,x
8.514,4.246,1.340.160,68.308,x,x
8.615,4.293,1.338.820,66.841,x,x
8.716,4.337,1.340.476,68.361,x,x
8.817,4.391,1.338.504,66.269,x,x
8.918,4.442,1.338.880,66.554,x,x
9.019,4.501,1.339.064,66.420,x,x
9.120,4.549,1.340.568,67.764,x,x
9.221,4.614,1.340.724,68.046,x,x
9.322,4.675,1.341.016,67.829,x,x
9.424,4.713,1.340.096,66.785,x,x
9.525,4.770,1.341.800,68.590,x,x
9.626,4.814,1.340.408,67.012,x,x
9.727,4.863,1.340.088,66.538,x,x
9.828,4.922,1.340.292,66.745,x,x
9.929,4.978,1.340.212,66.643,x,x
10.030,5.043,1.341.640,68.175,x,x
10.131,5.100,1.341.964,68.468,x,x
10.232,5.135,1.341.272,67.528,x,x
10.333,5.169,1.342.464,68.769,x,x
10.435,5.233,1.342.720,68.857,x,x
10.536,5.268,1.340.872,67.035,x,x
10.637,5.324,1.341.212,67.703,x,x
10.738,5.376,1.341.520,67.991,x,x
10.839,5.426,1.341.936,68.275,x,x
10.940,5.486,1.342.148,68.380,x,x
11.041,5.535,1.341.996,67.699,x,x
11.142,5.566,1.343.164,68.863,x,x
11.243,5.626,1.343.380,69.068,x,x
11.344,5.670,1.342.324,67.683,x,x
11.445,5.704,1.344.036,69.117,x,x
11.546,5.754,1.342.316,67.564,x,x
11.647,5.811,1.342.100,67.238,x,x
11.748,5.866,1.343.428,68.775,x,x
11.849,5.936,1.343.876,68.838,x,x
11.950,5.979,1.343.152,67.804,x,x
12.051,6.017,1.344.688,69.283,x,x
12.152,6.076,1.344.248,68.270,x,x
12.253,6.114,1.345.408,69.591,x,x
12.354,6.181,1.345.240,69.111,x,x
12.455,6.212,1.343.468,67.235,x,x
12.556,6.269,1.344.100,68.015,x,x
12.657,6.322,1.344.260,68.300,x,x
12.758,6.382,1.344.568,68.589,x,x
12.859,6.438,1.344.772,68.537,x,x
12.960,6.487,1.344.340,67.992,x,x
13.061,6.530,1.345.380,69.447,x,x
13.162,6.595,1.345.476,69.123,x,x
13.263,6.631,1.343.856,67.553,x,x
13.364,6.696,1.346.084,69.651,x,x
13.465,6.735,1.344.120,67.821,x,x
13.566,6.785,1.344.460,68.438,x,x
13.666,6.843,1.344.972,68.731,x,x
13.767,6.888,1.345.132,69.013,x,x
13.868,6.940,1.345.304,69.198,x,x
13.969,6.989,1.344.704,68.390,x,x
14.070,7.025,1.345.876,69.599,x,x
14.171,7.085,1.346.076,69.873,x,x
14.272,7.122,1.344.216,68.044,x,x
14.373,7.186,1.344.240,67.874,x,x
14.474,7.236,1.345.084,69.961,x,x
14.575,7.284,1.345.480,71.063,x,x
14.675,7.322,1.346.084,72.328,x,x
